Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2B.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
DDO_70   Model -0.18711 -4.2185E+00 0.0347 
DDO_70   Model -0.14240 -4.2896E+00 0.0338 
DDO_70   Model -0.10619 -4.3495E+00 0.0366 
DDO_70   Model -0.07277 -4.4061E+00 0.0403 
DDO_70   Model -0.04173 -4.4592E+00 0.0397 
DDO_70   Model -0.00928 -4.5148E+00 0.0385 
DDO_70   Model  0.01766 -4.5605E+00 0.0409 
DDO_70   Model  0.04303 -4.6034E+00 0.0425 
DDO_70   Model  0.06990 -4.6489E+00 0.0413 
DDO_70   Model  0.09246 -4.6877E+00 0.0381 
DDO_70   Model  0.11392 -4.7260E+00 0.0335 
DDO_70   Model  0.13685 -4.7701E+00 0.0331 
DDO_70   Model  0.15626 -4.8121E+00 0.0354 
DDO_70   Model  0.17484 -4.8585E+00 0.0414 
DDO_70   Model  0.19484 -4.9194E+00 0.0451 
IC_10    Data  -0.85387 -2.3068E-01 0.2073 
IC_10    Data  -0.79588 -3.4975E-01 0.2227 
IC_10    Data  -0.74473 -3.2686E-01 0.2143 
IC_10    Data  -0.69897 -4.0286E-01 0.2118 
IC_10    Data  -0.65758 -4.9581E-01 0.2038 
IC_10    Data  -0.61979 -4.5179E-01 0.1691 
IC_10    Data  -0.58503 -4.8350E-01 0.1529 
IC_10    Data  -0.55284 -4.8597E-01 0.1192 
IC_10    Data  -0.52288 -5.1794E-01 0.0912 
IC_10    Data  -0.49485 -5.5424E-01 0.0811 
IC_10    Data  -0.46852 -6.0817E-01 0.0885 
IC_10    Data  -0.44370 -6.6229E-01 0.0845 
IC_10    Data  -0.42022 -7.4971E-01 0.1013 
IC_10    Data  -0.39794 -7.1833E-01 0.1032 
IC_10    Data  -0.37675 -6.8537E-01 0.1026 
IC_10    Data  -0.35655 -6.4954E-01 0.0979 
IC_10    Data  -0.33724 -6.0811E-01 0.0898 
IC_10    Data  -0.31876 -5.7561E-01 0.0788 
IC_10    Data  -0.30103 -5.6277E-01 0.0757 
IC_10    Data  -0.28400 -5.4070E-01 0.0635 
IC_10    Data  -0.26761 -5.3990E-01 0.0667 
IC_10    Model -0.95296 -4.0640E+00 0.8978 
IC_10    Model -0.82801 -4.0690E+00 0.5685 
IC_10    Model -0.73109 -4.0749E+00 0.4203 
IC_10    Model -0.65191 -4.0817E+00 0.3475 
IC_10    Model -0.58498 -4.0895E+00 0.2416 
IC_10    Model -0.52698 -4.0982E+00 0.2122 
IC_10    Model -0.47582 -4.1077E+00 0.2231 
IC_10    Model -0.43006 -4.1180E+00 0.2030 
IC_10    Model -0.38867 -4.1291E+00 0.1764 
IC_10    Model -0.35089 -4.1409E+00 0.1710 
IC_10    Model -0.31612 -4.1534E+00 0.1571 
IC_10    Model -0.28394 -4.1665E+00 0.1292 
IC_10    Model -0.25397 -4.1803E+00 0.0987 
IC_10    Model -0.22595 -4.1945E+00 0.0863 
IC_10    Model -0.19962 -4.2093E+00 0.0899 
IC_10    Model -0.17479 -4.2244E+00 0.0813 
IC_10    Model -0.15131 -4.2400E+00 0.0874 
IC_10    Model -0.12903 -4.2558E+00 0.0932 
IC_10    Model -0.10785 -4.2718E+00 0.0962 
IC_10    Model -0.08765 -4.2879E+00 0.0951 
IC_10    Model -0.06834 -4.3040E+00 0.0905 
IC_10    Model -0.04985 -4.3201E+00 0.0812 
IC_10    Model -0.03212 -4.3360E+00 0.0773 
IC_10    Model -0.01509 -4.3516E+00 0.0657 
IC_10    Model  0.00130 -4.3667E+00 0.0683 
IC_1613  Data  -1.15490 -3.9503E+00 0.1284 
IC_1613  Data  -1.07058 -3.8760E+00 0.3090 
IC_1613  Data  -1.02228 -3.6171E+00 0.1319 
IC_1613  Data  -0.97881 -3.8160E+00 0.1215 
IC_1613  Data  -0.92082 -4.0576E+00 0.1908 
IC_1613  Data  -0.88606 -4.0984E+00 0.1791 
IC_1613  Data  -0.83863 -4.2480E+00 0.2114 
IC_1613  Data  -0.80967 -4.3456E+00 0.1905 
IC_1613  Data  -0.78252 -4.3437E+00 0.1935 
IC_1613  Data  -0.74473 -4.3813E+00 0.2240 
IC_1613  Data  -0.72125 -4.4705E+00 0.2844 
IC_1613  Data  -0.69897 -4.4296E+00 0.2487 
IC_1613  Data  -0.66756 -4.3239E+00 0.2024 
IC_1613  Data  -0.64782 -4.3396E+00 0.1822 
IC_1613  Data  -0.61979 -4.5379E+00 0.2274 
IC_1613  Data  -0.60206 -4.4925E+00 0.1894 
IC_1613  Data  -0.58503 -4.4223E+00 0.1645 
IC_1613  Data  -0.56067 -4.2770E+00 0.1302 
IC_1613  Data  -0.54516 -4.3161E+00 0.1335 
IC_1613  Data  -0.53018 -4.3899E+00 0.1461 
IC_1613  Data  -0.50864 -4.3900E+00 0.1214 
IC_1613  Data  -0.49485 -4.4207E+00 0.1124 
IC_1613  Data  -0.47496 -4.4369E+00 0.1169 
IC_1613  Data  -0.46218 -4.3953E+00 0.1164 
IC_1613  Data  -0.44977 -4.3773E+00 0.1077 
IC_1613  Data  -0.43180 -4.4632E+00 0.1262 
IC_1613  Data  -0.42022 -4.3962E+00 0.1033 
IC_1613  Data  -0.40894 -4.3770E+00 0.0974 
IC_1613  Data  -0.39254 -4.3840E+00 0.1019 
IC_1613  Data  -0.38195 -4.4228E+00 0.1083 
IC_1613  Data  -0.36653 -4.4593E+00 0.1045 
IC_1613  Data  -0.35655 -4.3936E+00 0.0921 
IC_1613  Data  -0.34679 -4.3235E+00 0.0813 
IC_1613  Data  -0.33255 -4.2518E+00 0.0740 
IC_1613  Data  -0.32331 -4.2350E+00 0.0743 
IC_1613  Data  -0.31426 -4.2090E+00 0.0656 
IC_1613  Data  -0.30103 -4.2315E+00 0.0614 
IC_1613  Data  -0.29243 -4.2328E+00 0.0517 
IC_1613  Data  -0.27984 -4.2600E+00 0.0523 
IC_1613  Data  -0.27165 -4.2940E+00 0.0558 
IC_1613  Data  -0.26360 -4.3139E+00 0.0612 
IC_1613  Data  -0.25181 -4.3306E+00 0.0634 
IC_1613  Data  -0.24413 -4.3181E+00 0.0647 
IC_1613  Data  -0.23657 -4.2805E+00 0.0621 
IC_1613  Data  -0.22548 -4.2883E+00 0.0607 
IC_1613  Data  -0.21824 -4.3000E+00 0.0651 
IC_1613  Data  -0.20761 -4.3376E+00 0.0644 
IC_1613  Data  -0.20066 -4.3226E+00 0.0636 
IC_1613  Data  -0.19382 -4.3391E+00 0.0689 
IC_1613  Data  -0.18376 -4.3345E+00 0.0679 
IC_1613  Data  -0.17718 -4.3249E+00 0.0639 
IC_1613  Data  -0.17070 -4.3344E+00 0.0653 
IC_1613  Data  -0.16115 -4.3177E+00 0.0637 
IC_1613  Data  -0.15490 -4.3347E+00 0.0608 
IC_1613  Data  -0.14569 -4.3273E+00 0.0596 
IC_1613  Data  -0.13966 -4.3164E+00 0.0568 
IC_1613  Data  -0.13371 -4.3003E+00 0.0533 
IC_1613  Data  -0.12494 -4.2920E+00 0.0502 
IC_1613  Data  -0.11919 -4.2746E+00 0.0472 
IC_1613  Data  -0.11351 -4.2588E+00 0.0464 
IC_1613  Data  -0.10513 -4.2651E+00 0.0498 
IC_1613  Data  -0.09963 -4.2623E+00 0.0479 
IC_1613  Data  -0.09151 -4.2591E+00 0.0434 
IC_1613  Data  -0.08619 -4.2492E+00 0.0417 
IC_1613  Data  -0.08092 -4.2436E+00 0.0417 
IC_1613  Data  -0.07314 -4.2421E+00 0.0401 
IC_1613  Data  -0.06803 -4.2360E+00 0.0406 
IC_1613  Data  -0.06298 -4.2364E+00 0.0415 
IC_1613  Data  -0.05552 -4.2444E+00 0.0441 
IC_1613  Data  -0.05061 -4.2317E+00 0.0406 
IC_1613  Data  -0.04335 -4.2353E+00 0.0396 
IC_1613  Data  -0.03858 -4.2585E+00 0.0404 
IC_1613  Data  -0.03386 -4.2580E+00 0.0384 
IC_1613  Data  -0.02687 -4.2766E+00 0.0390 
IC_1613  Data  -0.02228 -4.2980E+00 0.0393 
IC_1613  Data  -0.01773 -4.3034E+00 0.0375 
IC_1613  Data  -0.01100 -4.3328E+00 0.0395 
IC_1613  Data  -0.00656 -4.3274E+00 0.0385 
IC_1613  Data   0.00000 -4.3438E+00 0.0390 
IC_1613  Data   0.00432 -4.3667E+00 0.0361 
IC_1613  Data   0.00860 -4.3964E+00 0.0392 
IC_1613  Data   0.01494 -4.4203E+00 0.0410 
IC_1613  Data   0.01912 -4.4396E+00 0.0410 
IC_1613  Data   0.02325 -4.4740E+00 0.0436 
IC_1613  Data   0.02938 -4.5222E+00 0.0437 
IC_1613  Data   0.03342 -4.5460E+00 0.0436 
IC_1613  Data   0.03941 -4.6083E+00 0.0487 
IC_1613  Data   0.04336 -4.6657E+00 0.0500 
IC_1613  Data   0.04727 -4.7277E+00 0.0560 
IC_1613  Data   0.05308 -4.8075E+00 0.0714 
IC_1613  Data   0.05690 -4.9119E+00 0.0848 
IC_1613  Data   0.06070 -5.0196E+00 0.1085 
IC_1613  Data   0.06633 -5.2909E+00 0.1971 
IC_1613  Data   0.07004 -5.7989E+00 0.6731 
IC_1613  Model -1.28685 -3.9345E+00 0.1883 
