dataset_id,dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,10,0.5,1760,50,31,0.0311697935605864,1760,50,5.511509349737475e-09,-0.4829545454545454,0.0213516708118641,0.0477505123352961,-0.0263988415234319,0.4471506119544081,31,31,0.3313383886465048,-0.1446409989594173,0.0261051873806477,0.0394909751721792,-0.0133857877915314,0.6610418523936186,0.0693883724602428
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,20,1.0,418,16,9,0.0217479459975691,418,16,0.4943462107781786,0.1007775119617224,0.0475120059554669,0.0420255461312412,0.0054864598242256,1.1305505895650232,9,9,0.4799286921459572,0.2098765432098766,0.041055961469975,0.036019935464758,0.005036026005217,1.1398121884517072,0.0669135290239826
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,20,0.5,418,16,9,0.0217479459975691,418,16,0.9797464438124311,0.0038875598086125,0.0475120059554669,0.0436039897834034,0.0039080161720634,1.0896251969481678,9,9,0.4799286921459572,0.2098765432098766,0.041055961469975,0.036019935464758,0.005036026005217,1.1398121884517072,0.0669135290239826
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,20,0.0,418,17,9,0.0217479459975691,418,17,0.9396023312258092,-0.0109766394596115,0.0475120059554669,0.0423412341112659,0.0051707718442009,1.1221214249592495,9,9,0.4799286921459572,0.2098765432098766,0.041055961469975,0.036019935464758,0.005036026005217,1.1398121884517072,0.0669135290239826
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,15,0.0,1174,32,22,0.0269454226491131,1174,32,0.0004000306162661,-0.3663756388415673,0.0308707365882665,0.0471990233754543,-0.0163282867871877,0.6540545625848848,22,22,0.3787382518865304,-0.1570247933884297,0.0267717462055046,0.0386604867418653,-0.0118887405363607,0.6924834233013827,0.0662112046632463
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,15,2.0,1582,25,19,0.0090018775473637,1582,25,0.0209693084312978,-0.2687737041719342,0.027843903612493,0.0394613458431417,-0.0116174422306487,0.7055994421267879,19,19,0.397191535998369,-0.1634349030470914,0.0290026714795508,0.0329341683922816,-0.0039314969127308,0.88062559024104,0.0655373985291894
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,15,0.5,1582,32,21,0.0277546195986131,1582,32,1.047480172857254e-05,-0.4544879898862199,0.027843903612493,0.0484436411212046,-0.0205997375087115,0.5747690092664262,21,21,0.4208290941795192,-0.1473922902494331,0.029715414033935,0.042552941830915,-0.0128375277969799,0.6983163268008558,0.0554039133234459
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,20,0.5,1773,25,18,0.0094306550246637,1773,25,0.0076796597449593,-0.3100958826847152,0.0301470184605513,0.0479755767089405,-0.0178285582483892,0.62838261733565,18,18,0.4963589047945871,-0.1358024691358025,0.0258636919632595,0.0413031093680481,-0.0154394174047885,0.62619237047726,0.0413116790873137
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,15,1.0,1174,29,20,0.0110135679818041,1174,29,0.021247516325753,-0.2501321741173706,0.0308707365882665,0.0415790148174875,-0.010708278229221,0.7424595489761994,20,20,0.507505297961912,-0.125,0.0267717462055046,0.0346674071559971,-0.0078956609504925,0.7722454144042712,0.0368199274616678
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,20,1.0,661,19,12,0.0143868827053563,661,19,0.5696508027891649,0.0765188311171272,0.0435828895636435,0.0415790148174875,0.0020038747461559,1.0481943777396374,12,12,0.5833604667027033,0.1388888888888888,0.030865154250601,0.0346674071559971,-0.0038022529053961,0.8903219704811884,0.0325087507748229
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,20,0.5,661,19,12,0.0143868827053563,661,19,0.9896041502236176,0.0018313559996814,0.0435828895636435,0.044866745455541,-0.0012838558918975,0.9713851343826646,12,12,0.5833604667027033,0.1388888888888888,0.030865154250601,0.0346674071559971,-0.0038022529053961,0.8903219704811884,0.0325087507748229
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,20,0.0,661,20,12,0.0143868827053563,661,20,0.904954381510004,-0.0157337367624811,0.0435828895636435,0.0428256852489705,0.0007572043146729,1.0176810787794963,12,12,0.5833604667027033,0.1388888888888888,0.030865154250601,0.0346674071559971,-0.0038022529053961,0.8903219704811884,0.0325087507748229
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,20,0.0,1773,27,19,0.0090707550833107,1773,27,0.0020691935547699,-0.3449478807628836,0.0301470184605513,0.0485606307223271,-0.0184136122617758,0.6208119213470261,19,19,0.5592909954296594,-0.113573407202216,0.0279829152835218,0.0433671523549384,-0.0153842370714166,0.6452560005438139,0.0286616318076289
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,10,2.0,1760,41,29,0.0268871520888485,1760,41,2.1297900433493595e-06,-0.4325388026607538,0.0213516708118641,0.0394613458431417,-0.0181096750312776,0.5410781197564,29,29,0.5339077513811128,-0.0963139120095124,0.0261051873806477,0.0373369902584763,-0.0112318028778285,0.6991776037631031,0.0262487939210355
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,15,0.5,1174,31,21,0.0277546195986131,1174,31,0.001898638205883,-0.3264274330933671,0.0308707365882665,0.0461603953257618,-0.0152896587374953,0.6687710616515826,21,21,0.5799715449870863,-0.1020408163265306,0.0274383050303614,0.0378299983115514,-0.0103916932811899,0.7253054785884876,0.0241421748578004
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.4,20,2.0,1773,20,16,0.004759678349945,1773,20,0.2494854669164845,-0.1495769881556683,0.0301470184605513,0.0393502061121497,-0.0092031876515984,0.7661209797638933,16,16,0.6375611304257702,-0.1015625,0.0251762244836532,0.0360866173867197,-0.0109103929030664,0.6976609698230799,0.0198532514392754
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,2.0,1008,15,11,0.0149866855534411,1008,15,0.9050456045218636,0.017989417989418,0.0378525254748578,0.0394613458431417,-0.0016088203682839,0.9592304739255728,11,11,0.6935883744907081,0.1074380165289257,0.029715414033935,0.0329341683922816,-0.0032187543583465,0.9022670218962966,0.0170717068849859
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.7,15,2.0,1174,25,19,0.0090018775473637,1174,25,0.1973563668591799,-0.1505281090289608,0.0308707365882665,0.0370410791718402,-0.0061703425835737,0.8334189305082494,19,19,0.6827404131976329,-0.0803324099722991,0.0261051873806477,0.0311174728891268,-0.005012285508479,0.8389237607328184,0.0133146462364195
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,0.0,783,29,19,0.0314127561671782,783,29,0.0044267384651937,-0.3109613775487735,0.0343508325187408,0.0468725987892569,-0.012521766270516,0.7328553015202979,19,19,0.7481026173282347,-0.0637119113573406,0.041055961469975,0.036019935464758,0.005036026005217,1.1398121884517072,0.0080301744983407
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,2.0,783,22,16,0.010942421393488,783,22,0.6903607936517205,-0.0498084291187739,0.0343508325187408,0.0344770519285198,-0.0001262194097789,0.9963390312477792,16,16,0.8357841257402611,0.046875,0.0351393166848056,0.0313570656377382,0.0037822510470673,1.1206187814498612,0.0036518382084014
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,1.0,783,26,17,0.013194966384234,783,26,0.1358096054386705,-0.1718243442381373,0.0343508325187408,0.0416444364843521,-0.0072936039656112,0.8248600634000208,17,17,0.8904189322440568,0.0311418685121107,0.041055961469975,0.0316220723057792,0.0094338891641958,1.298332413921896,0.0015697250199487
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.8,15,0.5,783,28,18,0.0326050044703762,783,28,0.0177155350172209,-0.2635467980295566,0.0343508325187408,0.0436039897834034,-0.0092531572646626,0.7877910413559314,18,18,0.9621482836066156,0.0123456790123457,0.042258189945282,0.0338210038852686,0.0084371860600134,1.2494658670876524,0.0002068887722369
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,0.0,1008,20,12,0.0138702520847412,1008,20,0.1725431681235185,-0.1779761904761905,0.0378525254748578,0.0460732705842301,-0.0082207451093722,0.8215723562679733,12,12,0.9769702553219756,-0.0138888888888888,0.0293590427567429,0.037028878915679,-0.007669836158936,0.7928687990689224,0.0001405369241575
TNG_RAR_3000x50_SOFT1p5_RUN201626_VERIFIED,-10.6,20,0.5,1008,19,12,0.0138702520847412,1008,19,0.2094847867161079,-0.1679197994987469,0.0378525254748578,0.0452739423792032,-0.0074214169043454,0.8360775202171369,12,12,0.9769702553219756,-0.0138888888888888,0.0293590427567429,0.037028878915679,-0.007669836158936,0.7928687990689224,0.0001405369241575
