# logmstar_GL_min[m]    logmstar_GL_min[n]    Radius[i](mps2/h70)    Radius[j](mps2/h70)    covariance(h70*M_sun/pc^2)^2    correlation    bias(1+K[m,i])(1+K[n,j])
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.298241530590361534e-13 2.512608329047414909e-04 1.080378957815816355e-03 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.290622373441387703e-13 1.985680191694649929e-04 6.478243923571877245e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 4.041582967480835065e-13 2.083376044065420756e-04 5.155252105839114958e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 7.130984605939525963e-13 1.722266201719387471e-04 3.216647692084711042e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 1.258193679538452461e-12 1.813915701617453300e-04 2.554362420506701417e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 2.219961790286235902e-12 -1.512569579066704376e-04 -1.593315267296234016e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 4.302961856542886968e-15 3.916909161504292686e-12 4.444374419010594735e-04 3.471901231654781297e-04 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 1.382201932178117638e-15 1.238239207097497924e-03 3.343777134359714187e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 2.438762430455725505e-15 2.258301163256599530e-03 4.838894862366399652e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 4.302961856542886968e-15 3.482413670138512999e-03 5.830311570609029298e-02 9.708287439144076547e-01
8.500000000000000000e+00 8.500000000000000000e+00 7.592162527861749358e-15 7.592162527861749358e-15 7.706231645237662797e-02 1.000000000000000000e+00 9.708287439144076547e-01
