475490 10.84 12.16 220.87  6.37 2.44 0.84
476997 10.78 12.10 224.03  9.56 2.28 0.86
477518 10.90 12.11 230.75  8.12 2.56 0.88
478696 10.73 12.09 205.87  4.70 2.43 0.88
479839 10.76 12.11 204.21  6.80 2.21 0.84
480391 10.75 12.17 210.63  6.00 1.93 0.79
480550 10.86 12.15 215.27 11.48 1.82 0.83
480879 10.79 12.08 203.62  8.73 1.97 0.78
481126 10.75 12.06 209.65  6.46 2.43 0.82
482714 10.77 12.15 206.49  6.14 2.08 0.80
483179 10.83 12.14 208.41 10.41 1.96 0.85
483812 10.74 12.13 213.08  9.29 2.41 0.86
483868 10.83 12.15 216.84  8.44 1.91 0.77
483900 10.78 12.09 213.28  7.55 2.27 0.84
484307 10.78 12.11 216.11 11.42 1.76 0.86
484905 10.75 12.12 203.36  9.07 2.22 0.86
485233 10.87 12.15 205.79  8.39 2.22 0.85
485283 10.73 12.10 208.21 11.03 2.64 0.87
485326 10.79 12.10 197.21 11.28 2.08 0.87
486052 10.77 12.15 198.93  5.37 2.21 0.80
486875 10.70 12.08 209.01  4.85 2.29 0.83
486966 10.78 12.06 214.49  5.74 2.83 0.83
487072 10.77 12.14 212.83  6.26 1.95 0.80
487191 10.70 12.10 210.02  4.23 2.68 0.87
487244 10.83 12.06 212.04  9.60 3.31 0.88
488123 10.71 12.08 203.47 10.93 2.35 0.88
489314 10.76 12.15 211.79  7.34 2.30 0.81
489812 10.74 12.08 198.35  5.34 2.29 0.83
489901 10.71 12.09 208.55  4.27 2.35 0.83
489953 10.70 12.14 216.01  7.75 1.91 0.78
490577 10.81 12.09 213.35  6.58 2.17 0.84
491282 10.72 12.04 205.65  5.26 2.54 0.84
492392 10.76 12.12 219.50  5.78 2.51 0.79
493491 10.72 12.02 209.20  6.22 3.20 0.90
493964 10.71 12.04 201.71  8.14 1.99 0.80
498011 10.73 12.01 210.01  4.92 2.36 0.85
498768 10.71 11.97 201.82 11.85 2.90 0.90
499463 10.78 12.04 206.14 10.68 2.39 0.86
501604 10.72 11.99 201.68  3.91 1.83 0.77
504142 10.75 12.04 206.20  4.75 1.79 0.80
512154 10.72 11.93 211.47  7.80 3.05 0.89
