recno	ID	Rad	VRot	E_VRot	e_VRot
1608	"NGC4536 "	2.375	184.07	4.7612	3.6139
1609	"NGC4536 "	2.525	179.326	4.1413	2.5088
1610	"NGC4536 "	2.675	180.819	2.679	3.3353
1611	"NGC4536 "	2.825	180.739	2.3252	3.2582
1612	"NGC4536 "	2.975	179.366	2.0205	3.7932
1613	"NGC4536 "	3.125	177.296	3.7961	3.6057
1614	"NGC4536 "	3.275	169.643	5.282	2.5798
1615	"NGC4536 "	3.425	169.858	3.4614	2.0035
1616	"NGC4536 "	3.575	170.76	3.8345	2.6654
1617	"NGC4536 "	3.725	167.093	4.1364	2.5871
1618	"NGC4536 "	3.875	165.611	3.3044	2.3394
1619	"NGC4536 "	4.025	166.502	2.7517	3.5469
1620	"NGC4536 "	4.175	165.282	2.4581	3.3947
1621	"NGC4536 "	4.325	165.981	3.1517	2.916
1622	"NGC4536 "	4.475	164.208	3.3878	3.026
1623	"NGC4536 "	4.625	162.273	4.9766	2.576
1624	"NGC4536 "	4.775	163.365	4.1654	2.486
1625	"NGC4536 "	4.925	162.087	3.4776	1.8693
1626	"NGC4536 "	5.075	163.733	2.2787	2.4438
1627	"NGC4536 "	5.225	162.699	2.8653	3.0696
1628	"NGC4536 "	5.375	161.53	3.7926	3.2642
1629	"NGC4536 "	5.525	161.66	4.1726	3.6808
1630	"NGC4536 "	5.675	161.715	4.5267	3.7438
1631	"NGC4536 "	5.825	162.354	5.432	3.981
1632	"NGC4536 "	5.975	161.04	6.2685	2.9791
1633	"NGC4536 "	6.125	161.294	4.6651	3.2896
1634	"NGC4536 "	6.275	161.522	4.6513	3.0886
1635	"NGC4536 "	6.425	162.094	3.7628	2.6487
1636	"NGC4536 "	6.575	162.286	3.8973	2.8384
1637	"NGC4536 "	6.725	162.17	4.2368	4.0409
1638	"NGC4536 "	6.875	162.116	6.7968	3.3655
1639	"NGC4536 "	7.025	161.158	6.3378	3.5288
1640	"NGC4536 "	7.175	160.77	6.5391	3.0212
1641	"NGC4536 "	7.325	159.495	7.4422	2.9244
1642	"NGC4536 "	7.475	162.939	5.8596	4.2912
1643	"NGC4536 "	7.625	162.68	5.9897	4.773
1644	"NGC4536 "	7.775	164.789	6.1598	5.1178
1645	"NGC4536 "	7.925	160.606	6.4812	5.6681
1646	"NGC4536 "	8.075	158.285	5.3456	5.5872
1647	"NGC4536 "	8.225	157.793	5.6167	5.9548
1648	"NGC4536 "	8.375	163.997	6.667	5.7617
1649	"NGC4536 "	8.525	162.324	6.3432	6.3358
1650	"NGC4536 "	8.675	162.1	5.5352	5.8969
1651	"NGC4536 "	8.825	164.644	3.9279	5.3481
1652	"NGC4536 "	8.975	163.376	2.7042	4.8414
1653	"NGC4536 "	9.125	162.699	3.0383	4.3333
1654	"NGC4536 "	9.275	161.215	4.5518	2.3595
1655	"NGC4536 "	9.425	159.85	2.3729	2.1858
1656	"NGC4536 "	9.575	159.161	1.9343	1.8738
1657	"NGC4536 "	9.725	155.903	1.6773	1.5908
1658	"NGC4536 "	9.875	156.192	2.3315	1.2976
1659	"NGC4536 "	10.025	160.324	2.2352	3.0572
1660	"NGC4536 "	10.175	160.223	3.7408	3.3885
1661	"NGC4536 "	10.325	157.134	4.569	3.4423
1682	"NGC4548 "	0.125	71.0889	15.2164	13.5612
1683	"NGC4548 "	0.275	186.911	35.5134	39.3913
1684	"NGC4548 "	0.425	233.111	40.8672	28.2657
1685	"NGC4548 "	0.575	207.184	23.8357	23.3951
1686	"NGC4548 "	0.725	237.866	35.9788	23.1734
1687	"NGC4548 "	3.275	205.697	25.0457	15.6876
