galaxy,logMh,env_dense,log_Rext,log_npoints,sigma_D_dex,Inc,mean_log_gbar,T2_scatter_transition,T2_scatter_transition_resid,T3_acf_lag1,T3_acf_lag1_resid,T5_xi_coherence_ratio,T5_xi_coherence_ratio_resid,T4_abs_scatter_raw,T4_abs_scatter_resid
210015/A148,11.0,field,0.7996685591629499,0.0,0.1,60.0,-11.312197,,,,,,,0.085196,0.060390680914150674
210529/097-033,14.8,dense,0.9894325078387979,0.0,0.1,60.0,-10.019367,,,,,,,0.128433,0.16083477644175465
210559/F1287,14.8,dense,0.930916496048058,0.0,0.1,60.0,-10.107381,,,,,,,0.243906,0.2763077764417547
210622/097-062,14.8,dense,0.8141944380314733,0.0,0.1,60.0,-10.606078,,,,,,,0.276189,0.4217756809141507
210629/097-068,14.8,dense,0.9555788023190126,0.0,0.1,60.0,-10.623702,,,,,,,0.158609,0.013022319085849332
210634/097-072,14.8,dense,0.9279109438306025,0.0,0.1,60.0,-10.160466,,,,,,,0.217337,0.24973877644175468
210643,14.8,dense,0.9286662290613196,0.0,0.1,60.0,-10.297195,,,,,,,0.125496,0.15789777644175468
210666/127-040,14.8,dense,0.9453501966687933,0.0,0.1,60.0,-10.212611,,,,,,,0.130513,0.16291477644175467
210681/097-093,14.8,dense,0.8010299736671003,0.0,0.1,60.0,-10.533422,,,,,,,0.359941,0.3923427764417547
210690/097-102,14.8,dense,0.9186363525140596,0.0,0.1,60.0,-10.955293,,,,,,,0.242346,0.09675931908584934
210727/097-125,14.8,dense,0.9360781237540847,0.0,0.1,60.0,-10.670124,,,,,,,0.127987,0.017599680914150678
210738/127-046,14.8,dense,0.8872584653953296,0.0,0.1,60.0,-10.311878,,,,,,,0.240269,0.2726707764417547
210789/097-151,14.8,dense,0.9627849606698452,0.0,0.1,60.0,-10.197596,,,,,,,0.0881,0.12050177644175467
210791/097-152,14.8,dense,0.9894325078387979,0.0,0.1,60.0,-10.074332,,,,,,,0.090756,0.12315777644175467
210795/097-155,14.8,dense,0.9047798463886332,0.0,0.1,60.0,-10.202338,,,,,,,0.258988,0.2913897764417547
210816/127-062,14.8,dense,0.9933858758731061,0.0,0.1,60.0,-9.964041,,,,,,,0.155053,0.18745477644175468
211029/F1319,14.8,dense,0.9528979294156994,0.0,0.1,60.0,-10.057984,,,,,,,0.21151,0.24391177644175466
211853,11.0,field,0.8668599347265211,0.6989700043360189,0.1,60.0,-11.870136,,,,,1.971001046023746,-0.27495216371127507,0.3606584,0.23220502086257228
220864/N4585,15.0,dense,0.9353482305163695,0.0,0.1,60.0,-10.094086,,,,,,,0.239599,0.2720007764417547
2211/F338,14.2,dense,0.9418307254088243,0.0,0.1,60.0,-10.260459,,,,,,,0.109786,0.14218777644175468
221147/160-031,15.0,dense,0.9653472099983353,0.0,0.1,60.0,-10.004089,,,,,,,0.211258,0.24365977644175468
221149/160-034,15.0,dense,0.9522224995183195,0.0,0.1,60.0,-10.055932,,,,,,,0.214938,0.24733977644175464
221174/I837,15.0,dense,0.9375306297980295,0.0,0.1,60.0,-10.161062,,,,,,,0.188081,0.22048277644175468
221206/160-058,15.0,dense,0.889978506145323,0.0,0.1,60.0,-10.250782,,,,,,,0.271642,0.3040437764417547
221402,15.0,dense,0.8890756424372533,0.0,0.1,60.0,-10.2371,,,,,,,0.28328,0.31568177644175466
221406/I4040,15.0,dense,0.894437581663162,0.0,0.1,60.0,-10.216818,,,,,,,0.280486,0.3128877764417547
221409,15.0,dense,0.8711661193465541,0.0,0.1,60.0,-11.097704,,,,,,,0.180654,0.03506731908584934
221460/160-107,15.0,dense,0.8979400004087545,0.0,0.1,60.0,-10.283379,,,,,,,0.226596,0.25899777644175465
221659,11.0,field,0.8718273085693643,0.6989700043360189,0.1,60.0,-10.639912,,,,,1.163252058641356,-0.12444607584966016,0.2743668,0.1870147914515096
221829,11.0,field,1.0392768683666584,0.6989700043360189,0.1,60.0,-11.362078,,,,,1.844552712977644,0.08002361717793205,0.210211,0.13284283716185336
221928,11.0,field,1.2406930907459672,0.9030899869919435,0.1,60.0,-10.511157,0.04555086442724901,-0.027230724459673797,0.8135456163575385,0.2325608281768563,0.7388223865489627,-0.36723337275088075,0.532627625,0.45778150938109685
221950,11.0,field,1.0695151790992525,0.6989700043360189,0.1,60.0,-10.918505,,,,,1.2981402549885057,-0.10657041152660951,0.3163484,0.19339869998032852
222003,11.0,field,0.7774579976688796,0.6989700043360189,0.1,60.0,-10.361581,,,,,0.9442171031367033,-0.1747088687082068,0.2553404,0.20320035324046798
230082/160-139,15.0,dense,0.820489010448148,0.0,0.1,60.0,-10.575046,,,,,,,0.276135,0.3085367764417547
231135,11.0,field,0.735311803232151,0.6989700043360189,0.1,60.0,-9.726544,,,,,,,0.21576620000000002,0.15514903307456304
