recno,WALLABY,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
115,J104100-284430,infall,55.8574924793400,1.104419049125047,0.042968848298758,9.38353508860388,9.11953568100023,92.1515433322242,40.07783385177233,35.22627706516816,-0.767735393281040,0,WALLABY J104100-284430,160.250,-28.7417
116,J104139-254049,infall,57.4644833353693,1.536938108127768,0.115006538097563,8.17083963755589,8.96974160975527,68.5235038663344,16.70875813432215,21.74075241720567,,1,WALLABY J104139-254049,160.412,-25.6803
117,J104139-274639,cluster,56.2945050931589,0.804835202476717,0.853832726075634,8.44453439506970,8.94152253477528,63.3901709087470,24.68893629699192,24.69663609344440,-0.722122320453870,0,WALLABY J104139-274639,160.412,-27.7775
118,J104142-284653,infall,66.1298572932258,1.194309774469711,0.965420807641671,10.35511231705223,10.37713844092555,221.9217694571465,47.56905835897022,70.95772354810506,-0.318482391673639,0,WALLABY J104142-284653,160.425,-28.7814
119,J104221-291748,infall,66.0766299943525,1.547629714378767,0.960204479350534,8.68760627445617,9.30115874229738,84.2240984110131,26.72878459715513,46.03294308733706,-0.754691587478726,0,WALLABY J104221-291748,160.587,-29.2967
120,J104239-300357,field,36.7958627273801,2.041279346566572,1.923257792700406,6.82868204354096,8.50644695469741,62.3193781273751,1.56124949959960,16.05902893837657,,1,WALLABY J104239-300357,160.662,-30.0658
121,J104309-300301,infall,47.5602609705442,2.069215190307689,0.859964954825395,9.30409193453214,9.62278598041501,170.4721625519180,42.25903928817735,83.36903330479863,-0.334676857895920,0,WALLABY J104309-300301,160.787,-30.0503
122,J104311-261500,infall,67.6741875378266,1.377622724022420,1.116727236232010,10.29450603820274,9.89372668421319,169.8212007727117,79.02651288928692,136.85825064438689,0.193849357072381,0,WALLABY J104311-261500,160.796,-26.2500
123,J104326-251857,infall,56.0656689576631,1.910411990513697,0.022499322557214,8.86842554641534,8.94208512321076,70.1200780292304,20.65068880099536,26.80229062238086,-1.271734129428433,1,WALLABY J104326-251857,160.858,-25.3158
124,J104339-285157,infall,51.7490869412026,1.454826491051801,0.447227120401271,9.19766136434353,9.52279507473585,146.8454851856513,72.71788439494331,52.12198483569244,-0.401787166007528,0,WALLABY J104339-285157,160.912,-28.8658
125,J104359-293304,infall,49.7816021384637,1.844591149473971,0.641018017710043,8.75262220396840,8.54564787767505,44.6963525695415,20.58457360762021,22.71290206325138,-1.260516798196662,1,WALLABY J104359-293304,160.996,-29.5511
126,J104629-253308,infall,53.6004709131245,2.105343687383049,0.264986994348899,8.32175139823899,9.01998486719724,82.4361809012175,16.54541453340256,30.23507467903113,-1.228729976005514,1,WALLABY J104629-253308,161.621,-25.5522
127,J104824-250944,field,55.8825718683051,2.522391729656934,0.040502773846782,10.84327052891413,9.91652383916695,226.4735348579353,93.74700292012815,88.65442986983339,0.875836010869375,0,WALLABY J104824-250944,162.100,-25.1622
128,J104905-292232,infall,63.7672243754381,2.352435354245475,0.733792992317462,9.12794834624967,9.64596354032061,116.0179715854752,30.85009105616839,45.89870712889598,-0.147049048091375,0,WALLABY J104905-292232,162.271,-29.3756
129,J105227-291155,field,51.2715397625658,2.750279824724934,0.494252368972453,8.33633729249092,8.81806157952979,65.6306151862859,9.64212953214612,20.46896897482592,,1,WALLABY J105227-291155,163.112,-29.1986
