recno,6dFGS,Group,DL,r/R200,dv/sigma,log(M*),log(MHI),dHI,dopt,dNUV,SFR,f_SFR,SimbadName,_RA,_DE
101,g1037248-275226,cluster,56.3050374033586,0.274147253963302,0.676479289940829,9.91671168816127,8.7,12.85878692634398,36.5263845507384,21.56543655544021,,1,6dFGS gJ1037248-275226,159.3531667,-27.8740000
102,g1037373-273539,cluster,56.3050374033586,0.154678750092829,0.180917159763314,10.65803562469692,8.8,14.44774274380104,64.7837940362614,31.47205990110514,-0.651152692981404,1,6dFGS gJ1037373-273539,159.4054583,-27.5940833
103,g1037405-270329,cluster,56.3050374033586,0.367634693777843,0.879142011834320,9.95671847102163,8.7,12.85878692634398,33.6246135330967,14.30125749832223,-1.382003285597505,1,6dFGS gJ1037405-270329,159.4189167,-27.0579722
104,g1037410-262056,cluster,56.3050374033586,0.854344119579257,0.040976331360946,9.31460661026838,8.6,11.44458370758711,40.2452788955673,20.53683410796398,-1.098534504428577,0,6dFGS gJ1037410-262056,159.4208333,-26.3487500
105,g1037416-270240,cluster,56.3050374033586,0.377604943770574,0.861390532544379,9.68423510187229,8.6,11.44458370758711,26.1624377548842,,-1.686727576612395,1,6dFGS gJ1037416-270240,159.4232083,-27.0443611
106,g1037418-263035,cluster,56.3050374033586,0.742117318009536,0.566124260355029,9.76982159231438,8.6,11.44458370758711,24.9624493479166,8.46215394729366,,1,6dFGS gJ1037418-263035,159.4242083,-26.5096389
107,g1037426-283615,cluster,56.3050374033586,0.787529449494087,0.873816568047337,9.99574009687346,8.7,12.85878692634398,65.1835786900458,33.95621283873704,-0.803577920437990,0,6dFGS gJ1037426-283615,159.4276667,-28.6040556
108,g1037453-263751,cluster,56.3050374033586,0.660177640806650,0.475887573964497,10.38236100356046,8.8,14.44774274380104,96.7651875772598,,,1,6dFGS gJ1037453-263751,159.4387500,-26.6307222
109,g1037473-270453,cluster,56.3050374033586,0.360911730178968,1.165236686390532,11.01540056340011,8.9,16.23304527765459,118.2967779605955,66.99337024467246,-0.480918305470445,1,6dFGS gJ1037473-270453,159.4472500,-27.0812500
110,g1037530-282634,cluster,56.3050374033586,0.682226701411447,0.996005917159764,9.09545040199384,8.6,11.44458370758711,22.8960542957993,,,1,6dFGS gJ1037530-282634,159.4710000,-28.4428889
111,g1037545-260426,infall,69.4884056851892,1.053896373075425,1.293343195266272,9.21048257050977,8.8,14.44774274380104,38.1963561079465,33.63024141737230,-0.856128968258252,0,6dFGS gJ1037545-260426,159.4770833,-26.0739722
112,g1037562-285427,infall,62.2736969267079,1.006901664087126,0.586242603550296,10.40986150287923,8.9,16.23304527765459,63.5108829134879,21.63992868641525,-1.137319405591201,1,6dFGS gJ1037562-285427,159.4841667,-28.9073889
113,g1038008-263008,cluster,56.3050374033586,0.759637020526405,1.550739644970414,9.82937424085998,8.6,11.44458370758711,36.9225778171560,19.00462538524656,,0,6dFGS gJ1038008-263008,159.5031667,-26.5021389
114,g1038012-272704,cluster,56.3050374033586,0.216088308058063,2.149852071005917,9.90584740374936,8.6,11.44458370758711,28.1959197071506,13.76944889154943,,1,6dFGS gJ1038012-272704,159.5050417,-27.4511944
115,g1038107-284700,cluster,56.3050374033586,0.928997486815373,0.226775147928994,10.43896533000400,8.8,14.44774274380104,64.6567769998405,22.80595765997846,-0.761985189280772,1,6dFGS gJ1038107-284700,159.5447500,-28.7833333
