dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.6,20,0.0,0,20,0,,0,20,,,,0.04607327058423011,,,0,0,,,,,,,
-10.6,20,0.5,0,19,0,,0,19,,,,0.04527394237920329,,,0,0,,,,,,,
-10.6,20,1.0,0,19,0,,0,19,,,,0.04283088858366081,,,0,0,,,,,,,
-10.6,20,2.0,0,15,0,,0,15,,,,0.039461345843141794,,,0,0,,,,,,,
-10.7,10,0.0,6540,53,30,0.009993648647715207,6540,53,0.635663996919781,0.03773007904910286,0.06052724041446694,0.061249572285467936,-0.0007223318710009932,0.9882067442424839,30,30,0.03916706803882589,0.3111111111111111,0.06712402698340812,0.03758349428501386,0.02954053269839426,1.7859975039674085,0.43775789168900514
-10.7,10,0.5,6540,50,30,0.009993648647715207,6540,50,0.12001888299534054,0.12743730886850146,0.06052724041446694,0.04775051233529616,0.012776728079170782,1.2675725862259806,30,30,0.02812866989728732,0.33111111111111113,0.06712402698340812,0.03758349428501386,0.02954053269839426,1.7859975039674085,0.5135039327340286
-10.7,10,1.0,6539,48,29,0.010334237006345748,6539,48,0.0332459939984519,0.178091706173217,0.060516845835383026,0.04456390070068449,0.015952945134698533,1.3579791015568234,29,29,0.019664181412011122,0.3579072532699168,0.07054930884392915,0.03733699025847632,0.03321231858545284,1.889528544093425,0.6107057817880774
-10.7,10,2.0,6538,41,27,0.008624548893926942,6538,41,0.04072941569841748,0.18510173171477806,0.0605451331985263,0.039461345843141794,0.021083787355384506,1.5342896169631979,27,27,0.024512690132259683,0.3580246913580247,0.07054930884392915,0.032934168392281624,0.03761514045164753,2.142131175246645,0.5766377989714682
-10.7,15,0.0,1898,33,15,0.009815591337523698,1898,33,0.001309995596825185,0.3258932847973943,0.08603147721588496,0.04752544796165174,0.038506029254233215,1.8102191753206347,15,15,0.0012151954178690621,0.6977777777777778,0.13003850254065996,0.046160395325761897,0.08387810721489806,2.8171011453206964,2.0342691495433427
-10.7,15,0.5,1898,31,14,0.01050865514578016,1898,31,0.00012273711679815534,0.4016112036439037,0.08603147721588496,0.046160395325761897,0.03987108189012306,1.8637508758048094,14,14,0.001018886199545322,0.7346938775510203,0.13150178436194182,0.04134837188354623,0.09015341247839559,3.1803376619593178,2.1981117453687777
