# str, deg J2000, deg J2000, str, km s^-1, km s^-1, km s^-1, km s^-1, Mpc, Mpc, str, str, mag, mag, mag, mag, mag, bool, bool, bool, bool, bool, bool, bool, str
name,RA,DEC,morphology,redshift_helio,redshift_helio_e,redshift_cmb,redshift_cmb_e,distance,distance_e,distance_method,RC_survey,ext_f,ext_n,ext_g,ext_r,ext_z,has_f-band,has_n-band,has_g-band,has_r-band,has_z-band,has_w1-band,has_w2-band,AutoProf_flags
2MFGC10208,193.7474,-17.9247,Sb,13274,10,13431.1188,10,171.8054,0.2537,CosmicFlows-3,Mathewson96,0.8600,0.7270,0.1800,0.1210,0.0680,False,False,False,False,False,False,False,-
2MFGC10259,194.4443,-17.5034,Sc,12966,10,13259.2137,10,167.0761,0.2741,CosmicFlows-3,Mathewson96,1.0210,0.8700,0.2260,0.1520,0.0850,False,False,False,False,False,False,False,-
2MFGC10759,201.2837,-27.8194,Sc,10861,10,10673.7534,10,145.5156,0.3153,CosmicFlows-3,Mathewson96,1.7820,1.5880,0.2200,0.1480,0.0830,False,False,False,False,False,False,False,-
2MFGC10795,201.7075,-31.3957,Sbc Sbrst,15190,11,15200.1449,11,208.2212,0.1507,Hubble Flow (H0=73),SCII,1.6860,1.4910,0.2200,0.1480,0.0830,False,False,False,False,False,False,False,-
2MFGC10814,201.9495,-31.2333,Sa,15428,8,15514.9446,8,212.5335,0.1096,Hubble Flow (H0=73),SCII,1.4460,1.2600,0.1840,0.1230,0.0690,False,False,False,False,False,False,False,-
2MFGC10858,202.5214,-31.4102,Sc Sbrst?,13780,10,13799.5585,10,175.5395,0.2271,CosmicFlows-3,SCII,1.6400,1.4460,0.1600,0.1070,0.0600,False,False,False,False,False,False,False,-
2MFGC10870,202.7516,-27.0423,Sc,4772,11,4574.7975,11,68.4633,0.2241,CosmicFlows-3,SCII,1.7630,1.5690,0.1840,0.1240,0.0690,False,False,False,False,False,False,False,-
2MFGC11014,204.7277,-35.6258,Sc,15496,9,15785.3701,9,216.2379,0.1233,Hubble Flow (H0=73),SCII,1.3500,1.1700,0.1890,0.1270,0.0710,False,False,False,False,False,False,False,-
2MFGC12301,228.0469,7.5643,Sb,13690,4,13911.1871,4,177.8651,0.2391,CosmicFlows-3,SCII,0.5670,0.4710,0.1230,0.0830,0.0460,True,True,True,True,True,True,True,-
2MFGC12361,229.4290,8.0161,Sbc,10302,6,10601.8180,6,125.9131,0.2973,CosmicFlows-3,SCII,0.6090,0.5080,0.1000,0.0670,0.0380,True,True,True,True,True,True,True,-
