name,rc_model:Tan:r_t,rc_model:Tan:v_c,rc_model:Tan:v0,rc_model:Tan:x0,rc_model:Tanh:r_t,rc_model:Tanh:v_c,rc_model:Tanh:v0,rc_model:Tanh:x0,rc_model:C97:r_t,rc_model:C97:v_c,rc_model:C97:beta,rc_model:C97:gamma,rc_model:C97:v0,rc_model:C97:x0,sersic:Re|f,sersic:Ie|f,sersic:M|f,sersic:n|f,sersic:Re|n,sersic:Ie|n,sersic:M|n,sersic:n|n,sersic:Re|g,sersic:Ie|g,sersic:M|g,sersic:n|g,sersic:Re|r,sersic:Ie|r,sersic:M|r,sersic:n|r,sersic:Re|z,sersic:Ie|z,sersic:M|z,sersic:n|z,sersic:Re|w1,sersic:Ie|w1,sersic:M|w1,sersic:n|w1,sersic:Re|w2,sersic:Ie|w2,sersic:M|w2,sersic:n|w2
UGC06340,99.999,99.999,99.999,99.999,3.362,195.2,0,0,2.791,200.3,0.09423,1.224,0,0,27.22,0.1729,15.69,0.2163,28.29,0.2866,14.97,0.4557,46.25,0.2108,13.03,5.751,30.42,0.7644,12.64,4.745,34.03,0.8072,12.22,5.929,16.39,3.294,13.1,1.188,17.75,1.639,13.68,1.189
UGC06399,99.999,99.999,99.999,99.999,36.53,85.28,0,0,-35.06,92.63,-0.01415,1.909,0,0,34.58,0.1498,15.99,0.3787,39.28,0.1956,15.41,0.4595,36.54,0.8761,13.58,0.828,35.17,1.24,13.24,0.9061,28.32,1.235,13.76,0.9854,37.19,0.6139,14.02,0.7685,41.99,0.2759,14.5,0.8924
UGC06446,99.999,99.999,99.999,99.999,39.92,63.71,0,0,-18.76,72.97,-0.02458,1.035,0,0,55.02,0.0412,14.96,1.15,45.45,0.09311,14.66,0.8057,60.74,0.1984,12.95,1.399,60.41,0.2517,12.66,1.514,71.88,0.06326,13.5,2.662,78.8,0.07007,13.37,1.869,125.3,0.02064,13.62,2.163
UGC06530,99.999,99.999,99.999,99.999,4.692,245.4,0,0,1.351,253.8,0.001137,1.157,0,0,2122,0.0003298,11.8,3.415,19.24,0.06944,17.25,0.1963,15.59,0.9089,14.18,2.264,14.36,1.974,13.48,2.421,10.04,4.704,13.28,2.606,14.19,2.641,13.56,1.139,14.67,1.45,14.16,1.083
UGC06533,99.999,99.999,99.999,99.999,6.658,168.6,0,0,5.735,181.1,-0.08042,1.971,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,12.2,2.25,14.79,1.076,11.95,5.392,13.92,1.018,11.01,12.02,13.2,1.08,13.71,7.222,13.32,0.9783,13.92,4.423,13.81,0.9876
UGC06534,99.999,99.999,99.999,99.999,1.049e+04,2.958e+04,0,0,23.81,141.2,-0.3945,1.366,0,0,26.55,0.8192,14.87,0.1908,35.65,0.5383,14.2,0.6858,35.9,1.552,12.96,0.7998,34.68,1.921,12.72,0.9792,30.9,1.323,13.15,1.561,39.01,0.929,13.27,0.9452,34.74,0.6953,13.92,0.7714
UGC06544,99.999,99.999,99.999,99.999,8.174,193.9,0,0,6.098,241.9,0.0966,1.025,0,0,18.03,0.1222,17.06,0.2021,22.09,0.1523,16.21,0.5894,14.51,1.957,14.11,1.019,13.43,3.337,13.63,1.184,13.34,4.278,13.29,1.403,19.5,1.875,13.53,0.989,20.66,1.032,14.05,0.9914
UGC06568,99.999,99.999,99.999,99.999,9.497,129.8,0,0,7.788,136.4,-0.2076,2.487,0,0,12.27,0.3434,16.29,0.5597,13.06,0.3947,15.87,0.7778,10.19,2.937,14.14,0.939,10.12,4.731,13.66,0.9012,9.809,6.038,13.39,1.043,12.47,2.65,13.89,0.7992,12.52,1.773,14.37,0.7079
UGC06607,99.999,99.999,99.999,99.999,5.367,73.33,0,0,5.549,96.5,-0.1456,1.414,0,0,22.73,0.1148,16.43,0.4478,26.9,0.07442,16.2,1.009,22.92,0.3794,14.52,1.75,24.71,0.4524,14.07,2.093,21.41,0.8542,13.78,1.775,37.17,0.1593,14.34,1.995,58.96,0.06201,14.33,2.148
UGC06614,99.999,99.999,99.999,99.999,22.06,118,0,0,-8.001,127.3,-0.002649,1.033,0,0,2.143e+04,7.728e-07,12.61,8.644,7365,6.486e-06,12.68,7.713,18.41,0.4922,13.75,4.743,16.06,1.289,13.09,3.994,14.22,2.491,12.65,3.906,26.3,0.6292,12.91,3.187,28.88,0.3029,13.45,3.493
UGC06628,99.999,99.999,99.999,99.999,19.9,14.34,0,0,6.056,17.54,-0.002749,0.7385,0,0,69.14,0.009698,15.26,2.433,56,0.02586,14.84,1.666,54.77,0.1776,12.75,1.856,56.02,0.2345,12.37,1.963,93.85,0.01962,13.42,5.393,49.1,0.1949,13.06,1.305,63.21,0.06784,13.57,1.561
UGC06667,99.999,99.999,99.999,99.999,36.19,87.05,0,0,-37.35,95.33,0.03611,1.817,0,0,42.7,0.06216,16.81,0.7215,-2101,0.02612,99.999,1,60.79,0.6124,13.44,1.165,56.36,1.006,13.06,1.173,56.12,0.9217,13.08,1.401,71.19,0.4194,13.42,1.406,82.14,0.1974,13.89,1.509
UGC06734,99.999,99.999,99.999,99.999,7.977,159.8,0,0,9.084,164.3,0.03557,2.668,0,0,99.999,99.999,99.999,99.999,99.999,99.999,99.999,99.999,18.15,0.9306,14.82,1.32,16.08,2.393,14,1.488,13.89,5.959,13.33,1.484,16.82,3.342,13.53,1.517,14.06,3.473,13.99,1.19
