recno	PGC	NGC	UGC	IC	Dist	e_Dist	logM*	e_logM*	Gamma*	n_Gamma*	logSFR	e_logSFR	n_logSFR	DelMS	Flags	_RA	_DE
5185	28401	"         "	" "	"       "	52.2	0.12	10.18	0.1	0.35	"SSFRLIKE"	0.03	0.2	"FUV+WISE4"	0.02	" "	147.91681	65.49112
5496	29764	"         "	" "	"       "	68.8	0.09	9.32	0.1	0.2	"SSFRLIKE"	-0.19	0.2	"FUV+WISE4"	0.37	" "	153.27679	67.41115
5357	29079	"         "	" "	"       "	69.4	0.09	10.12	0.1	0.32	"SSFRLIKE"	0.11	0.2	"FUV+WISE4"	0.14	" "	150.67715	67.73042
4755	26410	"NGC2805  "	" "	"       "	21.9	0.12	9.74	0.11	0.24	"SSFRLIKE"	0.07	0.2	"FUV+WISE4"	0.35	" "	140.08495	64.10298
4767	26469	"NGC2814  "	" "	"       "	21.9	0.12	9.05	0.11	0.24	"SSFRLIKE"	-0.65	0.2	"FUV+WISE4"	0.09	" "	140.29802	64.25326
4775	26498	"NGC2820  "	" "	"       "	21.9	0.12	9.7	0.11	0.28	"SSFRLIKE"	-0.16	0.2	"FUV+WISE4"	0.15	" "	140.43985	64.25802
4971	27362	"         "	" "	"       "	102.6	0.06	10.86	0.1	0.5	"SSFRLIKE"	-1.14	0.24	"FUV+WISE4"		" "	144.23788	66.54865
4969	27358	"         "	" "	"       "	101.3	0.06	10.94	0.1	0.44	"SSFRLIKE"	0.44	0.2	"FUV+WISE4"	-0.07	" "	144.21796	66.78841
4913	27079	"         "	" "	"       "	59.9	0.11	9.42	0.1	0.35	"SSFRLIKE"	-0.71	0.2	"FUV+WISE4"	-0.22	" "	143.05208	68.43981
4811	26639	"         "	" "	"       "	61.7	0.1	9.89	0.1	0.3	"SSFRLIKE"	-0.05	0.2	"FUV+WISE4"	0.13	" "	141.00814	68.56255
4862	26849	"         "	" "	"       "	59.9	0.11	9.82	0.1	0.2	"SSFRLIKE"	0.51	0.2	"FUV+WISE4"	0.74	" "	141.95899	68.41011
4865	26864	"         "	" "	"       "	61.7	0.1	10.06	0.1	0.27	"SSFRLIKE"	0.24	0.2	"FUV+WISE4"	0.31	" "	142.01061	68.42028
5160	28299	"         "	" "	"       "	60.5	0.1	9.15	0.1	0.2	"SSFRLIKE"	-0.35	0.2	"FUV+WISE4"	0.32	" "	147.53407	67.17277
15246	2698001	"         "	" "	"       "	71.8	0.09	9.16	0.11	0.3	"SSFRLIKE"	-0.79	0.2	"FUV+WISE4"	-0.12	"S"	146.8904	67.30595
5218	28563	"         "	" "	"       "	67.1	0.09	10.23	0.1	0.33	"SSFRLIKE"	0.18	0.2	"FUV+WISE4"	0.14	"S"	148.59384	68.33462
5114	28120	"NGC2976  "	" "	"       "	3.6	0.04	9.09	0.1	0.35	"SSFRLIKE"	-1.06	0.2	"FUV+WISE4"	-0.35	" "	146.81441	67.91638
13609	90937	"         "	" "	"       "	68.2	0.09	9.32	0.1	0.39	"SSFRLIKE"	-0.98	0.2	"FUV+WISE4"	-0.43	" "	146.00911	68.36989
5022	27688	"         "	" "	"       "	68.2	0.09	10.01	0.1	0.32	"SSFRLIKE"	-0.01	0.2	"FUV+WISE4"	0.09	"S"	145.41656	68.3828
5032	27739	"         "	" "	"       "	68.8	0.09	9.47	0.14	0.25	"SSFRLIKE"	-0.28	0.2	"FUV+WISE4"	0.18	" "	145.56895	68.40334
5069	27939	"NGC2959  "	" "	"       "	68.2	0.09	11.02	0.1	0.5	"SSFRLIKE"	0.1	0.2	"FUV+WISE4"	-0.46	" "	146.28736	68.59455
5072	27958	"NGC2961  "	" "	"       "	70.6	0.09	10.26	0.1	0.5	"SSFRLIKE"	-1.25	0.23	"FUV+WISE4"		" "	146.34356	68.60823
5092	28018	"         "	" "	"       "	68.2	0.09	10.05	0.1	0.35	"SSFRLIKE"	-0.1	0.2	"FUV+WISE4"	-0.02	" "	146.60265	68.95712
5370	29146	"NGC3077  "	" "	"       "	3.8	0.04	9.17	0.1	0.28	"W4W1    "	-0.97	0.2	"WISE4    "		"S"	150.82957	68.73377
5260	28757	"         "	" "	"       "	3.8	0.04	7.13	0.11	0.2	"SSFRLIKE"	-2.09	0.2	"FUV+WISE4"	-0.08	" "	149.38375	69.04611
5230	28630	"NGC3031  "	" "	"       "	3.7	0.04	10.68	0.1	0.5	"SSFRLIKE"	-0.27	0.2	"FUV+WISE4"	-0.61	"S"	148.88822	69.0653
5234	28655	"NGC3034  "	" "	"       "	3.5	0.04	10.01	0.1	0.2	"SSFRLIKE"	0.85	0.2	"FUV+WISE4"	0.95	"A,S"	148.96846	69.6797
5403	29284	"         "	" "	"       "	8.7	0.04	7.81	0.11	0.26	"SSFRLIKE"	-1.98	0.2	"FUV+WISE4"	-0.42	" "	151.37683	70.36497
4988	27461	"         "	" "	"       "	68.8	0.09	10.12	0.1	0.38	"SSFRLIKE"	-0.15	0.2	"FUV+WISE4"	-0.13	"S"	144.55221	68.83341
5136	28225	"         "	" "	"       "	52.8	0.12	10.03	0.29	0.43	"SSFRLIKE"	-0.43	0.2	"FUV+WISE4"	-0.34	"S"	147.32184	69.4222
5905	31560	"         "	" "	"       "	31.3	0.12	9.16	0.5	0.34	"SSFRLIKE"	-0.96	0.2	"FUV+WISE4"	-0.29	" "	159.37064	68.8195
5687	30819	"         "	" "	"IC2574 "	3.9	0.04	8.72	0.14	0.26	"SSFRLIKE"	-1.04	0.2	"FUV+WISE4"	-0.09	"S"	157.0984	68.41207
5973	31838	"         "	" "	"       "	46.9	0.13	8.93	0.29	0.5	"FIXEDUL "			"FUV+WISE4"		" "	160.36342	69.70578
5724	30983	"         "	" "	"       "	31.3	0.12	9.42	0.1	0.31	"SSFRLIKE"	-0.55	0.2	"FUV+WISE4"	-0.06	"S"	157.60337	70.0505
6135	32610	"         "	" "	"       "	21.8	0.29	9.52	0.1	0.49	"W4W1    "	-1.36	0.2	"WISE4    "		" "	163.01779	71.77314
6460	34834	"         "	" "	"       "	41.1	0.15	9.28	0.1	0.37	"SSFRLIKE"	-0.96	0.2	"FUV+WISE4"	-0.37	" "	170.42911	70.64766
6613	35767	"         "	" "	"       "	44.6	0.14	9.43	0.1	0.28	"SSFRLIKE"	-0.43	0.2	"FUV+WISE4"	0.06	" "	173.64148	71.54009
6288	33623	"NGC3516  "	" "	"       "	38.0	0.12	10.74	0.1	0.34	"SSFRLIKE"	0.61	0.2	"FUV+WISE4"	0.24	" "	166.69776	72.56869
5636	30484	"         "	" "	"       "	16.6	0.12	9.2	0.1	0.32	"SSFRLIKE"	-0.83	0.2	"FUV+WISE4"	-0.19	"S"	156.02792	70.88222
6073	32314	"NGC3364  "	" "	"       "	43.4	0.15	10.12	0.1	0.34	"SSFRLIKE"	0.0	0.2	"FUV+WISE4"	0.03	" "	162.1242	72.42499
6049	32216	"NGC3348  "	" "	"       "	45.2	0.14	11.25	0.1	0.5	"SSFRLIKE"	-0.54	0.2	"FUV+WISE4"		"S"	161.79182	72.83963
6161	32719	"NGC3403  "	" "	"       "	20.2	0.12	9.71	0.1	0.35	"SSFRLIKE"	-0.45	0.2	"FUV+WISE4"	-0.14	" "	163.47855	73.69037
5397	29264	"         "	" "	"       "	27.6	0.23	9.62	0.1	0.5	"W4W1    "	-1.68	0.2	"WISE4    "		" "	151.31563	72.20052
5351	29059	"NGC3066  "	" "	"       "	28.0	0.12	9.61	0.1	0.2	"W4W1    "	0.14	0.2	"WISE4    "		" "	150.54542	72.12524
5347	29046	"NGC3065  "	" "	"       "	28.0	0.12	10.34	0.1	0.5	"FIXEDUL "			"WISE4    "		" "	150.48012	72.17031
5555	30019	"NGC3147  "	" "	"       "	39.8	0.12	11.3	0.1	0.44	"SSFRLIKE"	0.81	0.2	"FUV+WISE4"	0.06	" "	154.2235	73.40073
5805	31278	"NGC3252  "	" "	"       "	20.2	0.12	9.55	0.1	0.38	"SSFRLIKE"	-0.72	0.2	"FUV+WISE4"	-0.32	" "	158.59627	73.76498
5729	31011	"         "	" "	"       "	39.8	0.12	9.6	0.1	0.37	"SSFRLIKE"	-0.61	0.2	"FUV+WISE4"	-0.24	" "	157.69102	73.88539
6581	35608	"NGC3752  "	" "	"       "	29.0	0.12	9.76	0.1	0.39	"SSFRLIKE"	-0.55	0.2	"FUV+WISE4"	-0.28	" "	173.13448	74.62741
6244	33277	"NGC3500  "	" "	"       "	54.0	0.12	10.02	0.1	0.34	"SSFRLIKE"	-0.07	0.2	"FUV+WISE4"	0.03	" "	165.4645	75.20135
6725	36386	"NGC3901  "	" "	"       "	31.8	0.12	9.4	0.1	0.31	"SSFRLIKE"	-0.6	0.2	"FUV+WISE4"	-0.09	" "	175.70758	77.37257
3916	22327	"NGC2469  "	" "	"       "	52.8	0.12	10.0	0.12	0.2	"W4W1    "	0.48	0.2	"WISE4    "		" "	119.51435	56.68045
3923	22369	"         "	" "	"       "	18.0	0.12	8.54	0.21	0.34	"SSFRLIKE"	-1.58	0.2	"FUV+WISE4"	-0.5	" "	119.72658	58.04231
3803	21666	"         "	" "	"       "	49.3	0.13	10.52	0.11	0.5	"FIXEDUL "			"FUV+WISE4"		"S"	115.97201	56.98691
4027	22890	"         "	" "	"       "	20.7	0.31	9.52	0.1	0.5	"W4W1    "	-1.96	0.21	"WISE4    "		" "	122.34903	57.7631
4058	23053	"         "	" "	"       "	52.8	0.12	9.72	0.1	0.4	"SSFRLIKE"	-0.62	0.2	"FUV+WISE4"	-0.33	" "	123.42868	60.91837
3902	22270	"NGC2460  "	" "	"       "	32.7	0.12	10.69	0.1	0.5	"SSFRLIKE"	-0.21	0.2	"FUV+WISE4"	-0.55	" "	119.21804	60.34938
3896	22232	"         "	" "	"IC2209 "	32.7	0.12	9.29	0.1	0.22	"W4W1    "	-0.59	0.2	"WISE4    "		" "	119.05896	60.30411
3969	22561	"         "	" "	"       "	32.7	0.12	9.43	0.1	0.24	"SSFRLIKE"	-0.25	0.2	"FUV+WISE4"	0.24	" "	120.63717	61.38822
3957	22524	"         "	" "	"       "	26.5	0.24	8.97	0.11	0.2	"SSFRLIKE"	-0.55	0.2	"FUV+WISE4"	0.24	" "	120.46312	61.41313
3982	22628	"         "	" "	"       "	24.8	0.26	8.64	0.1	0.2	"SSFRLIKE"	-0.82	0.2	"FUV+WISE4"	0.19	" "	120.95731	61.34748
3780	21496	"         "	" "	"       "	54.0	0.12	9.69	0.1	0.26	"SSFRLIKE"	-0.07	0.2	"FUV+WISE4"	0.24	" "	114.79562	59.1612
3723	21273	"         "	" "	"       "	54.0	0.12	10.74	0.1	0.5	"SSFRLIKE"	-0.42	0.2	"FUV+WISE4"		"S"	113.33318	59.6254
3710	21195	"         "	" "	"       "	58.2	0.11	10.02	0.12	0.27	"SSFRLIKE"	0.2	0.2	"FUV+WISE4"	0.29	" "	112.77936	59.48164
3658	20927	"         "	" "	"       "	29.0	0.12	9.83	0.12	0.38	"W4W1    "	-0.68	0.2	"WISE4    "		"S"	111.11624	61.69393
3844	21854	"         "	" "	"       "	32.7	0.12	9.38	0.1	0.38	"SSFRLIKE"	-0.9	0.2	"FUV+WISE4"	-0.37	" "	117.13862	62.2074
3732	21322	"         "	" "	"       "	71.8	0.09	10.18	0.1	0.32	"SSFRLIKE"	0.16	0.2	"FUV+WISE4"	0.15	" "	113.70557	62.54606
3713	21207	"         "	" "	"       "	73.6	0.09	9.78	0.11	0.23	"SSFRLIKE"	0.15	0.2	"FUV+WISE4"	0.4	" "	112.86267	62.45696
3715	21213	"         "	" "	"       "	67.1	0.09	10.02	0.1	0.2	"SSFRLIKE"	0.91	0.2	"FUV+WISE4"	1.0	" "	112.9346	63.24302
3686	21071	"         "	" "	"       "	71.2	0.09	10.95	0.1	0.5	"SSFRLIKE"	-0.09	0.2	"FUV+WISE4"		" "	112.06231	63.25556
3757	21397	"         "	" "	"       "	70.7	0.08	9.98	0.1	0.42	"SSFRLIKE"	-0.43	0.2	"FUV+WISE4"	-0.3	"S"	114.26987	64.55293
3722	21252	"         "	" "	"       "	63.5	0.1	9.97	0.1	0.38	"SSFRLIKE"	-0.29	0.2	"FUV+WISE4"	-0.16	" "	113.23466	64.91088
3756	21396	"NGC2403  "	" "	"       "	3.2	0.04	9.57	0.1	0.29	"SSFRLIKE"	-0.35	0.2	"FUV+WISE4"	0.05	"S"	114.21391	65.60268
4490	25120	"         "	" "	"       "	54.0	0.12	10.2	0.1	0.5	"FIXEDUL "			"WISE4    "		"S"	134.14366	66.34241
4513	25227	"         "	" "	"       "	55.8	0.11	10.16	0.1	0.25	"W4W1    "	0.17	0.2	"WISE4    "		" "	134.72668	66.46831
4361	24529	"         "	" "	"       "	56.4	0.11	9.67	0.1	0.2	"W4W1    "	-0.05	0.2	"WISE4    "		" "	131.03146	66.96217
4331	24410	"         "	" "	"       "	59.9	0.1	9.63	0.1	0.31	"SSFRLIKE"	-0.36	0.2	"FUV+WISE4"	-0.01	"S"	130.32596	66.86034
4237	23856	"         "	" "	"       "	62.9	0.1	10.2	0.36	0.5	"SSFRLIKE"	-2.21	0.69	"FUV+WISE4"		" "	127.54105	67.03054
4136	23393	"         "	" "	"       "	61.1	0.1	10.72	0.1	0.5	"SSFRLIKE"	-0.93	0.21	"FUV+WISE4"		" "	125.08292	66.98196
4191	23611	"         "	" "	"       "	63.5	0.1	10.42	0.1	0.35	"SSFRLIKE"	0.27	0.2	"FUV+WISE4"	0.1	"S"	126.22267	66.8693
4168	23506	"         "	" "	"       "	65.9	0.1	10.02	0.1	0.42	"SSFRLIKE"	-0.4	0.2	"FUV+WISE4"	-0.31	"S"	125.70916	66.97063
4355	24500	"         "	" "	"       "	57.0	0.11	9.09	0.1	0.2	"SSFRLIKE"	-0.39	0.2	"FUV+WISE4"	0.32	" "	130.87068	67.95865
3843	21853	"         "	" "	"       "	73.0	0.09	10.3	0.1	0.44	"SSFRLIKE"	-0.19	0.2	"FUV+WISE4"	-0.28	" "	117.13124	65.33664
3908	22301	"         "	" "	"       "	74.2	0.08	10.38	0.1	0.35	"SSFRLIKE"	0.25	0.2	"FUV+WISE4"	0.1	"S"	119.33913	66.43717
3903	22271	"         "	" "	"       "	62.3	0.1	10.27	0.1	0.3	"SSFRLIKE"	0.33	0.2	"FUV+WISE4"	0.26	" "	119.222	66.6109
3991	22695	"         "	" "	"       "	68.6	0.01	10.53	0.13	0.43	"SSFRLIKE"	0.08	0.2	"FUV+WISE4"	-0.16	" "	121.27885	66.78296
4002	22758	"         "	" "	"       "	74.8	0.08	10.39	0.1	0.5	"SSFRLIKE"	-0.32	0.2	"FUV+WISE4"	-0.47	" "	121.66091	67.04825
3817	21724	"         "	" "	"       "	62.3	0.1	9.75	0.1	0.26	"SSFRLIKE"	-0.03	0.2	"FUV+WISE4"	0.24	" "	116.39801	65.75962
3846	21864	"         "	" "	"       "	65.9	0.1	10.74	0.1	0.5	"SSFRLIKE"	-0.61	0.2	"FUV+WISE4"		" "	117.18548	66.1973
3842	21852	"         "	" "	"       "	63.5	0.1	10.45	0.1	0.46	"SSFRLIKE"	-0.12	0.2	"FUV+WISE4"	-0.31	"S"	117.08629	66.93347
3873	22068	"         "	" "	"       "	61.1	0.11	10.32	0.11	0.5	"SSFRLIKE"	-0.86	0.2	"FUV+WISE4"		" "	118.30853	68.09729
3807	21684	"         "	" "	"       "	63.0	0.08	10.36	0.12	0.35	"SSFRLIKE"	0.23	0.2	"FUV+WISE4"	0.1	" "	116.12924	67.27352
4033	22930	"         "	" "	"       "	74.8	0.08	10.53	0.25	0.41	"SSFRLIKE"	0.14	0.2	"FUV+WISE4"	-0.1	" "	122.60554	67.24299
4140	23405	"         "	" "	"       "	71.2	0.09	10.63	0.1	0.35	"SSFRLIKE"	0.47	0.2	"FUV+WISE4"	0.17	" "	125.14669	68.60033
4109	23324	"         "	" "	"       "	3.5	0.04	8.2	0.13	0.2	"SSFRLIKE"	-1.27	0.2	"FUV+WISE4"	0.03	"S"	124.77078	70.7203
14147	166092	"         "	" "	"       "	59.3	0.11	8.83	0.36	0.27	"SSFRLIKE"	-0.98	0.21	"FUV+WISE4"	-0.1	" "	116.20083	69.565
13604	90829	"         "	" "	"       "	69.4	0.09	8.61	0.35	0.2	"SSFRLIKE"	-0.84	0.2	"FUV+WISE4"	0.19	" "	123.815	71.03778
3524	20250	"         "	" "	"       "	29.0	0.12	10.19	0.1	0.37	"SSFRLIKE"	-0.05	0.2	"FUV+WISE4"	-0.07	"S"	107.27469	61.59557
3538	20304	"         "	" "	"       "	55.2	0.11	10.56	0.1	0.5	"SSFRLIKE"	-0.88	0.2	"FUV+WISE4"		" "	107.62846	61.78628
3494	20058	"         "	" "	"       "	68.8	0.09	10.58	0.11	0.5	"SSFRLIKE"	-0.55	0.2	"FUV+WISE4"		" "	105.72792	62.77028
3607	20599	"         "	" "	"       "	71.8	0.09	10.5	0.1	0.5	"SSFRLIKE"	-0.84	0.2	"FUV+WISE4"		" "	109.46913	63.4856
3512	20158	"         "	" "	"       "	64.7	0.1	10.82	0.1	0.5	"SSFRLIKE"	-0.08	0.2	"FUV+WISE4"	-0.52	" "	106.64505	63.84891
3506	20126	"         "	" "	"       "	67.1	0.09	10.13	0.1	0.5	"SSFRLIKE"	-1.03	0.21	"FUV+WISE4"		" "	106.33215	64.04074
3507	20127	"         "	" "	"       "	67.6	0.09	10.21	0.1	0.41	"SSFRLIKE"	-0.15	0.2	"FUV+WISE4"	-0.18	" "	106.34853	64.09234
3503	20103	"         "	" "	"       "	68.2	0.09	11.01	0.1	0.5	"SSFRLIKE"	-0.08	0.2	"FUV+WISE4"		" "	106.08458	64.02023
3498	20085	"         "	" "	"       "	66.5	0.1	10.13	0.11	0.5	"SSFRLIKE"	-1.08	0.21	"FUV+WISE4"		" "	105.94159	64.03252
3470	19931	"         "	" "	"       "	60.5	0.1	9.78	0.1	0.35	"SSFRLIKE"	-0.36	0.2	"FUV+WISE4"	-0.11	" "	104.45942	63.6917
3450	19820	"         "	" "	"       "	69.4	0.09	10.38	0.15	0.47	"SSFRLIKE"	-0.2	0.2	"FUV+WISE4"	-0.34	" "	103.55368	65.20276
3373	19501	"NGC2253  "	" "	"       "	54.6	0.12	10.58	0.1	0.31	"SSFRLIKE"	0.61	0.2	"FUV+WISE4"	0.34	" "	100.92445	65.20635
3585	20539	"NGC2347  "	" "	"       "	73.1	0.12	10.98	0.1	0.41	"SSFRLIKE"	0.59	0.2	"FUV+WISE4"	0.05	" "	109.01703	64.71154
3578	20516	"         "	" "	"IC2179 "	65.3	0.1	10.97	0.11	0.5	"SSFRLIKE"	-1.47	0.25	"FUV+WISE4"		" "	108.88457	64.92625
3575	20509	"         "	" "	"       "	38.7	0.16	8.92	0.1	0.4	"SSFRLIKE"	-1.41	0.2	"FUV+WISE4"	-0.58	" "	108.86358	65.44128
3596	20567	"         "	" "	"       "	62.9	0.1	10.19	0.36	0.34	"SSFRLIKE"	0.09	0.2	"FUV+WISE4"	0.07	" "	109.21972	67.11116
3562	20442	"         "	" "	"       "	64.1	0.1	9.67	0.1	0.36	"SSFRLIKE"	-0.52	0.2	"FUV+WISE4"	-0.19	" "	108.45042	67.04417
3411	19652	"         "	" "	"       "	56.0	0.12	10.12	0.11	0.26	"W4W1    "	0.06	0.2	"WISE4    "		"S"	102.22522	66.26136
3322	19026	"         "	" "	"       "	65.3	0.1	11.13	0.1	0.5	"SSFRLIKE"	0.07	0.2	"FUV+WISE4"		" "	96.48122	64.7406
3318	18989	"         "	" "	"       "	56.9	0.33	9.55	0.1	0.2	"W4W1    "	-0.16	0.2	"WISE4    "		" "	96.20742	65.73055
3377	19519	"         "	" "	"       "	54.0	0.12	10.29	0.1	0.5	"SSFRLIKE"	-1.12	0.2	"FUV+WISE4"		" "	101.05098	66.10084
3286	18837	"         "	" "	"       "	64.7	0.1	10.56	0.1	0.48	"SSFRLIKE"	-0.08	0.2	"FUV+WISE4"	-0.34	"S"	95.04883	66.58499
3268	18771	"         "	" "	"       "	73.0	0.09	10.25	0.1	0.5	"SSFRLIKE"	-1.01	0.21	"FUV+WISE4"		" "	94.3473	66.53343
3271	18779	"         "	" "	"       "	62.9	0.1	10.36	0.12	0.5	"SSFRLIKE"	-0.73	0.2	"FUV+WISE4"		"S"	94.42313	66.60092
3250	18687	"         "	" "	"       "	59.9	0.11	9.93	0.1	0.34	"SSFRLIKE"	-0.18	0.2	"FUV+WISE4"	-0.03	" "	93.58417	66.30411
3251	18699	"         "	" "	"       "	61.7	0.1	10.85	0.14	0.5	"SSFRLIKE"	0.1	0.2	"FUV+WISE4"	-0.35	" "	93.69791	66.56751
3265	18755	"         "	" "	"       "	64.1	0.1	10.57	0.1	0.5	"SSFRLIKE"	-0.49	0.2	"FUV+WISE4"		" "	94.17532	66.50672
3261	18729	"         "	" "	"       "	61.7	0.1	10.23	0.1	0.26	"SSFRLIKE"	0.45	0.2	"FUV+WISE4"	0.41	" "	93.95484	66.83926
3303	18909	"         "	" "	"       "	66.5	0.09	10.72	0.1	0.5	"SSFRLIKE"	-0.75	0.2	"FUV+WISE4"		" "	95.61776	66.57853
13597	90751	"         "	" "	"       "	69.9	0.18	8.84	0.32	0.25	"SSFRLIKE"	-0.89	0.2	"FUV+WISE4"	-0.01	"S"	95.16167	67.49361
3256	18716	"         "	" "	"       "	59.3	0.11	8.97	0.18	0.26	"SSFRLIKE"	-0.8	0.2	"FUV+WISE4"	-0.01	" "	93.925	67.70817
3244	18662	"         "	" "	"       "	61.1	0.1	10.31	0.12	0.5	"W4W1    "	-4.3	2.43	"WISE4    "		" "	93.41674	69.72922
3259	18722	"         "	" "	"       "	61.1	0.1	11.16	0.1	0.5	"SSFRLIKE"	-0.54	0.2	"FUV+WISE4"		" "	93.90117	71.03745
3253	18709	"         "	" "	"       "	63.0	0.09	10.68	0.1	0.5	"SSFRLIKE"	-0.2	0.2	"FUV+WISE4"	-0.54	" "	93.7838	71.13667
3239	18646	"         "	" "	"       "	59.9	0.11	9.21	0.61	0.5	"FIXEDUL "			"         "		" "	93.297	70.26294
3226	18557	"         "	" "	"       "	18.6	0.12	9.67	0.1	0.44	"SSFRLIKE"	-0.81	0.2	"FUV+WISE4"	-0.48	"S"	92.65141	71.38612
3581	20526	"         "	" "	"       "	25.9	0.12	9.07	0.16	0.37	"SSFRLIKE"	-1.16	0.2	"FUV+WISE4"	-0.43	" "	108.97415	67.98379
3611	20611	"         "	" "	"       "	41.6	0.15	9.93	0.1	0.5	"SSFRLIKE"	-1.46	0.21	"FUV+WISE4"		" "	109.51815	68.34269
3459	19867	"         "	" "	"       "	25.9	0.12	9.74	0.1	0.31	"W4W1    "	-0.51	0.2	"WISE4    "		"S"	103.87904	69.56314
3609	20604	"         "	" "	"       "	46.3	0.14	9.62	0.14	0.35	"SSFRLIKE"	-0.53	0.2	"FUV+WISE4"	-0.17	" "	109.47336	70.51908
3492	20048	"         "	" "	"       "	51.1	0.12	9.06	0.1	0.2	"SSFRLIKE"	-0.41	0.2	"FUV+WISE4"	0.32	"S"	105.6735	70.97079
3508	20133	"         "	" "	"       "	50.5	0.13	9.67	0.1	0.28	"SSFRLIKE"	-0.18	0.2	"FUV+WISE4"	0.15	" "	106.40935	71.0704
3514	20184	"         "	" "	"       "	50.5	0.13	8.79	0.55	0.2	"W4W1    "	-0.91	0.2	"WISE4    "		"S"	106.85029	71.19239
3517	20207	"         "	" "	"       "	59.9	0.11	10.32	0.1	0.5	"SSFRLIKE"	-1.01	0.2	"FUV+WISE4"		" "	106.99672	71.5545
3812	21712	"         "	" "	"       "	59.9	0.11	10.37	0.12	0.36	"SSFRLIKE"	0.18	0.2	"FUV+WISE4"	0.05	"S"	116.30622	70.03233
3698	21123	"         "	" "	"IC2184 "	55.2	0.11	9.69	0.1	0.2	"SSFRLIKE"	0.41	0.2	"FUV+WISE4"	0.72	"G"	112.36256	72.13097
3872	22067	"         "	" "	"       "	39.3	0.16	9.28	0.1	0.29	"SSFRLIKE"	-0.61	0.2	"FUV+WISE4"	-0.03	"S"	118.24906	72.04127
3883	22167	"         "	" "	"       "	53.4	0.12	9.61	0.1	0.42	"SSFRLIKE"	-0.8	0.2	"FUV+WISE4"	-0.44	" "	118.72517	72.61189
3709	21189	"         "	" "	"       "	41.6	0.15	9.25	0.11	0.24	"SSFRLIKE"	-0.44	0.2	"FUV+WISE4"	0.16	"S"	112.73762	72.51753
3809	21698	"         "	" "	"       "	32.0	0.12	9.1	0.11	0.5	"W4W1    "	-2.5	0.43	"WISE4    "		"S"	116.25017	72.81092
3773	21459	"         "	" "	"       "	63.5	0.1	9.45	0.1	0.31	"W4W1    "	-0.78	0.2	"WISE4    "		" "	114.56609	73.74738
3643	20844	"         "	" "	"       "	41.9	0.12	10.33	0.1	0.39	"SSFRLIKE"	0.05	0.2	"FUV+WISE4"	-0.06	"S"	110.6448	71.59894
3556	20412	"         "	" "	"       "	48.1	0.13	9.5	0.1	0.29	"SSFRLIKE"	-0.4	0.2	"FUV+WISE4"	0.04	" "	108.28024	71.67034
3554	20398	"         "	" "	"       "	47.5	0.13	10.59	0.1	0.36	"SSFRLIKE"	0.4	0.2	"FUV+WISE4"	0.12	"S"	108.13613	71.75051
3544	20348	"         "	" "	"       "	48.7	0.13	9.93	0.1	0.21	"SSFRLIKE"	0.36	0.2	"FUV+WISE4"	0.52	"S"	107.84392	71.83637
3546	20362	"         "	" "	"       "	45.8	0.14	9.61	0.12	0.3	"SSFRLIKE"	-0.35	0.2	"FUV+WISE4"	0.02	" "	107.92788	72.16921
3549	20383	"         "	" "	"       "	42.2	0.15	9.55	0.1	0.28	"SSFRLIKE"	-0.29	0.2	"FUV+WISE4"	0.12	"S"	108.04681	73.47049
3683	21065	"         "	" "	"       "	47.5	0.13	9.37	0.1	0.2	"SSFRLIKE"	-0.11	0.2	"FUV+WISE4"	0.42	" "	112.04775	72.57311
3758	21398	"         "	" "	"       "	22.1	0.12	8.94	0.12	0.5	"FIXEDUL "			"WISE4    "		"S"	114.24496	73.71361
14341	200231	"         "	" "	"       "	42.8	0.15	10.07	0.1	0.5	"W4W1    "	-1.1	0.2	"WISE4    "		"G"	108.58481	73.47347
3567	20460	"         "	" "	"       "	35.0	0.12	10.13	0.1	0.5	"SSFRLIKE"	-0.59	0.2	"FUV+WISE4"	-0.56	" "	108.58569	73.48066
3560	20418	"         "	" "	"       "	60.0	0.08	10.61	0.11	0.42	"SSFRLIKE"	0.21	0.2	"FUV+WISE4"	-0.09	" "	108.31009	73.84319
3534	20293	"         "	" "	"       "	60.0	0.09	10.33	0.1	0.5	"SSFRLIKE"	-0.43	0.2	"FUV+WISE4"	-0.53	" "	107.60037	74.89104
3451	19838	"         "	" "	"       "	59.9	0.1	9.77	0.21	0.32	"SSFRLIKE"	-0.28	0.2	"FUV+WISE4"	-0.01	" "	103.71442	70.74822
3391	19566	"         "	" "	"       "	58.2	0.11	10.05	0.1	0.39	"SSFRLIKE"	-0.25	0.2	"FUV+WISE4"	-0.18	" "	101.50473	71.14146
3387	19554	"         "	" "	"       "	54.6	0.12	10.92	0.1	0.5	"FIXEDUL "			"FUV+WISE4"		" "	101.42155	71.34385
3340	19222	"         "	" "	"       "	53.6	0.1	10.54	0.1	0.5	"SSFRLIKE"	-0.21	0.2	"FUV+WISE4"	-0.46	"S"	98.15671	71.56095
3437	19776	"         "	" "	"       "	58.7	0.11	9.45	0.1	0.34	"SSFRLIKE"	-0.66	0.2	"FUV+WISE4"	-0.19	" "	103.24658	71.49758
3316	18986	"         "	" "	"       "	63.5	0.1	9.47	0.15	0.27	"SSFRLIKE"	-0.35	0.2	"FUV+WISE4"	0.11	"S"	96.23358	72.10225
