SubhaloID,dataset,selected_by
345812,dev_clean_3000,quality_cut_bins8_dm10_OR_base
346075,dev_clean_3000,quality_cut_bins8_dm10_OR_base
346420,dev_clean_3000,quality_cut_bins8_dm10_OR_base
346748,dev_clean_3000,quality_cut_bins8_dm10_OR_base
346976,dev_clean_3000,quality_cut_bins8_dm10_OR_base
347237,dev_clean_3000,quality_cut_bins8_dm10_OR_base
347508,dev_clean_3000,quality_cut_bins8_dm10_OR_base
347785,dev_clean_3000,quality_cut_bins8_dm10_OR_base
348038,dev_clean_3000,quality_cut_bins8_dm10_OR_base
348334,dev_clean_3000,quality_cut_bins8_dm10_OR_base
348593,dev_clean_3000,quality_cut_bins8_dm10_OR_base
349135,dev_clean_3000,quality_cut_bins8_dm10_OR_base
349414,dev_clean_3000,quality_cut_bins8_dm10_OR_base
349624,dev_clean_3000,quality_cut_bins8_dm10_OR_base
349897,dev_clean_3000,quality_cut_bins8_dm10_OR_base
350183,dev_clean_3000,quality_cut_bins8_dm10_OR_base
350486,dev_clean_3000,quality_cut_bins8_dm10_OR_base
350843,dev_clean_3000,quality_cut_bins8_dm10_OR_base
351071,dev_clean_3000,quality_cut_bins8_dm10_OR_base
351452,dev_clean_3000,quality_cut_bins8_dm10_OR_base
351779,dev_clean_3000,quality_cut_bins8_dm10_OR_base
352061,dev_clean_3000,quality_cut_bins8_dm10_OR_base
352359,dev_clean_3000,quality_cut_bins8_dm10_OR_base
352578,dev_clean_3000,quality_cut_bins8_dm10_OR_base
352816,dev_clean_3000,quality_cut_bins8_dm10_OR_base
353167,dev_clean_3000,quality_cut_bins8_dm10_OR_base
353423,dev_clean_3000,quality_cut_bins8_dm10_OR_base
353729,dev_clean_3000,quality_cut_bins8_dm10_OR_base
353973,dev_clean_3000,quality_cut_bins8_dm10_OR_base
354239,dev_clean_3000,quality_cut_bins8_dm10_OR_base
354727,dev_clean_3000,quality_cut_bins8_dm10_OR_base
354986,dev_clean_3000,quality_cut_bins8_dm10_OR_base
355537,dev_clean_3000,quality_cut_bins8_dm10_OR_base
355911,dev_clean_3000,quality_cut_bins8_dm10_OR_base
356176,dev_clean_3000,quality_cut_bins8_dm10_OR_base
357235,dev_clean_3000,quality_cut_bins8_dm10_OR_base
357465,dev_clean_3000,quality_cut_bins8_dm10_OR_base
357765,dev_clean_3000,quality_cut_bins8_dm10_OR_base
358016,dev_clean_3000,quality_cut_bins8_dm10_OR_base
358273,dev_clean_3000,quality_cut_bins8_dm10_OR_base
358582,dev_clean_3000,quality_cut_bins8_dm10_OR_base
358886,dev_clean_3000,quality_cut_bins8_dm10_OR_base
359086,dev_clean_3000,quality_cut_bins8_dm10_OR_base
359334,dev_clean_3000,quality_cut_bins8_dm10_OR_base
359639,dev_clean_3000,quality_cut_bins8_dm10_OR_base
359811,dev_clean_3000,quality_cut_bins8_dm10_OR_base
360087,dev_clean_3000,quality_cut_bins8_dm10_OR_base
360294,dev_clean_3000,quality_cut_bins8_dm10_OR_base
360509,dev_clean_3000,quality_cut_bins8_dm10_OR_base
360750,dev_clean_3000,quality_cut_bins8_dm10_OR_base
360916,dev_clean_3000,quality_cut_bins8_dm10_OR_base
361189,dev_clean_3000,quality_cut_bins8_dm10_OR_base
361418,dev_clean_3000,quality_cut_bins8_dm10_OR_base
361752,dev_clean_3000,quality_cut_bins8_dm10_OR_base
362042,dev_clean_3000,quality_cut_bins8_dm10_OR_base
362370,dev_clean_3000,quality_cut_bins8_dm10_OR_base
362551,dev_clean_3000,quality_cut_bins8_dm10_OR_base
362780,dev_clean_3000,quality_cut_bins8_dm10_OR_base
363104,dev_clean_3000,quality_cut_bins8_dm10_OR_base
363315,dev_clean_3000,quality_cut_bins8_dm10_OR_base
363524,dev_clean_3000,quality_cut_bins8_dm10_OR_base
363981,dev_clean_3000,quality_cut_bins8_dm10_OR_base
364263,dev_clean_3000,quality_cut_bins8_dm10_OR_base
364807,dev_clean_3000,quality_cut_bins8_dm10_OR_base
365263,dev_clean_3000,quality_cut_bins8_dm10_OR_base
365493,dev_clean_3000,quality_cut_bins8_dm10_OR_base
365743,dev_clean_3000,quality_cut_bins8_dm10_OR_base
366338,dev_clean_3000,quality_cut_bins8_dm10_OR_base
366565,dev_clean_3000,quality_cut_bins8_dm10_OR_base
366792,dev_clean_3000,quality_cut_bins8_dm10_OR_base
367456,dev_clean_3000,quality_cut_bins8_dm10_OR_base
367929,dev_clean_3000,quality_cut_bins8_dm10_OR_base
368170,dev_clean_3000,quality_cut_bins8_dm10_OR_base
368436,dev_clean_3000,quality_cut_bins8_dm10_OR_base
368697,dev_clean_3000,quality_cut_bins8_dm10_OR_base
368884,dev_clean_3000,quality_cut_bins8_dm10_OR_base
369152,dev_clean_3000,quality_cut_bins8_dm10_OR_base
