recno	HRS	r	s_r	rang	s_rang	v	s_v	Nbins	side
1489	151	0.38	0.03	4.6	0.3	40	4	12	a
1490	151	0.39	0.03	4.8	0.3	0	3	9	r
1491	151	0.46	0.02	5.6	0.2	42	3	10	a
1492	151	0.48	0.01	5.8	0.1	7	5	6	r
1493	151	0.54	0.02	6.5	0.2	37	3	8	a
1494	151	0.58	0.02	7.0	0.3	20	10	3	r
1495	151	0.64	0.02	7.8	0.3	6	5	6	r
1496	151	0.66	0.01	8.0	0.2	39	8	4	a
1497	151	0.72	0.02	8.7	0.2	5	23	2	r
1498	151	0.73	0.03	8.8	0.4	47	6	5	a
1499	151	0.81	0.01	9.9	0.1	54	0	2	a
1500	151	0.86	0.0	10.5	0.0	19	23	1	r
1501	151	0.91	0.02	11.0	0.3	45	10	3	a
1502	151	0.96	0.0	11.7	0.0	-34	23	1	r
1503	151	0.99	0.03	12.0	0.3	52	15	4	a
1504	151	1.09	0.02	13.2	0.2	35	5	3	r
1505	151	1.11	0.0	13.5	0.0	77	23	1	a
1506	151	1.15	0.01	13.9	0.1	57	14	4	a
1507	151	1.16	0.0	14.1	0.0	9	23	1	r
1508	151	1.57	0.16	19.1	2.0	66	4	25	a
1509	151	1.67	0.19	20.2	2.3	82	5	25	r
1510	151	1.96	0.09	23.8	1.1	67	3	25	a
1511	151	2.11	0.11	25.6	1.4	94	3	25	r
1512	151	2.21	0.07	26.8	0.9	72	4	25	a
1513	151	2.44	0.08	29.6	0.9	75	3	25	a
1514	151	2.48	0.1	30.1	1.3	99	3	25	r
1515	151	2.79	0.11	33.8	1.3	79	3	25	a
1516	151	2.85	0.13	34.6	1.6	103	4	25	r
1517	151	3.31	0.15	40.2	1.9	108	4	25	r
1518	151	3.38	0.33	41.0	4.0	84	5	24	a
1519	151	3.95	0.28	47.9	3.4	131	7	15	r
1520	152	0.06	0.03	0.8	0.3	6	16	3	a
1521	152	0.11	0.0	1.3	0.0	-3	11	2	r
1522	152	0.14	0.01	1.7	0.1	29	0	2	a
1523	152	0.21	0.02	2.5	0.3	47	11	6	r
1524	152	0.22	0.02	2.7	0.3	18	8	2	a
1525	152	0.3	0.0	3.7	0.1	28	11	3	a
1526	152	0.32	0.02	3.9	0.2	35	9	3	r
1527	152	0.39	0.02	4.7	0.3	76	3	3	r
1528	152	0.39	0.03	4.7	0.3	58	7	4	a
1529	152	0.47	0.02	5.7	0.2	89	9	3	a
1530	152	0.47	0.03	5.8	0.4	58	4	7	r
1531	152	0.55	0.02	6.7	0.2	80	7	3	r
1532	152	0.56	0.02	6.8	0.3	58	12	5	a
1533	152	0.64	0.02	7.8	0.3	82	10	8	r
1534	152	0.66	0.02	8.0	0.2	46	16	3	a
1535	152	0.73	0.03	8.9	0.3	88	7	9	a
1536	152	0.74	0.02	9.0	0.2	80	6	9	r
1537	152	0.82	0.02	9.9	0.2	80	6	10	a
1538	152	0.83	0.02	10.0	0.3	105	5	6	r
1539	152	0.88	0.04	10.7	0.5	82	4	24	a
1540	152	0.89	0.04	10.9	0.5	94	3	24	r
1541	152	1.02	0.03	12.3	0.4	99	3	24	a
1542	152	1.03	0.04	12.5	0.5	102	4	24	r
1543	152	1.12	0.03	13.6	0.4	94	3	24	a
1544	152	1.14	0.03	13.9	0.4	98	3	24	r
1545	152	1.21	0.02	14.7	0.3	105	4	24	a
1546	152	1.25	0.02	15.2	0.3	101	3	24	r
1547	152	1.29	0.02	15.6	0.2	100	3	24	a
1548	152	1.33	0.02	16.2	0.3	102	4	24	r
1549	152	1.35	0.02	16.4	0.2	106	3	24	a
1550	152	1.41	0.02	17.1	0.2	111	4	24	a
1551	152	1.42	0.03	17.3	0.4	108	4	24	r
1552	152	1.48	0.03	17.9	0.3	107	4	24	a
1553	152	1.52	0.02	18.4	0.3	101	3	24	r
1554	152	1.55	0.02	18.8	0.2	109	3	24	a
1555	152	1.6	0.02	19.4	0.2	118	3	24	a
1556	152	1.61	0.02	19.5	0.3	107	3	24	r
1557	152	1.67	0.03	20.3	0.3	110	3	24	a
1558	152	1.69	0.02	20.5	0.3	118	4	24	r
1559	152	1.75	0.02	21.3	0.2	112	4	24	a
1560	152	1.76	0.01	21.4	0.2	106	4	24	r
1561	152	1.83	0.03	22.2	0.4	113	3	24	a
1562	152	1.84	0.03	22.4	0.3	116	5	24	r
1563	152	1.91	0.02	23.1	0.3	112	3	24	r
1564	152	1.95	0.04	23.7	0.5	123	4	24	a
1565	152	1.98	0.02	24.0	0.2	112	5	24	r
1566	152	2.05	0.02	24.9	0.3	118	4	24	r
1567	152	2.13	0.02	25.9	0.3	118	5	24	r
1568	152	2.14	0.1	26.0	1.2	117	6	16	a
1569	152	2.22	0.03	27.0	0.3	124	4	24	r
1570	152	2.34	0.03	28.4	0.4	132	4	24	r
1571	152	2.48	0.06	30.1	0.8	125	5	24	r
1572	152	2.84	0.23	34.5	2.8	135	5	23	r
1573	153	0.03	0.0	0.4	0.0	27	15	1	a
1574	153	0.04	0.0	0.5	0.0	1	15	1	r
1575	153	0.11	0.01	1.3	0.2	6	15	3	r
1576	153	0.13	0.02	1.5	0.2	35	5	5	a
1577	153	0.21	0.02	2.6	0.3	18	14	4	r
1578	153	0.22	0.02	2.7	0.3	15	6	4	a
1579	153	0.3	0.02	3.6	0.2	41	3	3	r
1580	153	0.3	0.02	3.7	0.3	54	8	5	a
1581	153	0.37	0.02	4.5	0.3	44	11	6	r
1582	153	0.37	0.02	4.5	0.3	29	5	4	a
1583	153	0.45	0.01	5.5	0.2	44	7	5	r
1584	153	0.47	0.02	5.8	0.2	54	8	7	a
1585	153	0.56	0.02	6.8	0.3	78	7	7	r
1586	153	0.57	0.02	6.9	0.3	60	8	10	a
1587	153	0.64	0.02	7.7	0.3	71	4	8	a
1588	153	0.65	0.01	7.9	0.2	82	5	3	r
1589	153	0.72	0.02	8.8	0.3	77	9	8	r
1590	153	0.73	0.02	8.8	0.3	74	5	12	a
1591	153	0.81	0.03	9.9	0.4	93	5	7	r
1592	153	0.82	0.02	10.0	0.2	89	7	11	a
1593	153	0.92	0.03	11.2	0.4	87	4	20	a
