dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score
-10.8,10,1.0,4806,45,28,0.02287780456361301,4806,45,0.012227700133237037,0.21667360244139267,0.06793880709588396,0.04623384581660733,0.021704961279276624,1.4694604330639556,28,28,0.01711234638422935,0.37244897959183665,0.07188184288690996,0.041153917071178304,0.03072792581573166,1.746658592973927,0.6580020506856193
-10.8,10,2.0,4806,39,26,0.022067125037949678,4806,39,0.01177310610847636,0.2338423124939979,0.06778084602456663,0.040728819324869034,0.0270520266996976,1.6641986472507349,26,26,0.022696911042696576,0.3698224852071006,0.07188184288690996,0.03863873254578626,0.033243110341123705,1.8603571636758833,0.6080004602434507
-10.8,15,0.0,1154,30,13,0.03622413278054924,1154,30,0.0004943233785161907,0.37215482380127085,0.09471821695941335,0.04938774369057854,0.04533047326883481,1.917848637768044,13,13,0.045500263896358396,0.4674556213017751,0.07276696191046009,0.04234123411126593,0.030425727799194155,1.7185838683690762,0.6273189388975119
-10.8,15,0.5,1154,28,12,0.03921804888532939,1154,28,4.696087405197276e-05,0.44967813815300817,0.09471821695941335,0.04360398978340349,0.05111422717600986,2.172237389970789,12,12,0.02257606252313358,0.5555555555555556,0.07877787066893316,0.04202554613124129,0.036752324537691866,1.8745234249405893,0.9146398893521975
-10.8,15,1.0,1154,26,11,0.025779893977936362,1154,26,2.191288113188875e-06,0.5423943474203439,0.09471821695941335,0.041644436484352114,0.053073780475061234,2.2744506819057015,11,11,0.01511526935649349,0.6198347107438016,0.08478877942740622,0.041579014817487575,0.04320976460991864,2.039220501004877,1.1284612247236157
-10.8,15,2.0,661,22,10,0.02046089730495524,661,22,1.923600320662381e-08,0.7036171090634025,0.09943530152990336,0.034477051928519825,0.06495824960138354,2.884101045996027,10,10,0.0017062493689195964,0.8400000000000001,0.10140042612167266,0.03201311368098949,0.06938731244068316,3.1674652810135053,2.3250842968458683
-10.8,20,0.0,0,17,0,,0,17,,,,0.04234123411126593,,,0,0,,,,,,,
-10.8,20,0.5,0,16,0,,0,16,,,,0.04360398978340349,,,0,0,,,,,,,
-10.8,20,1.0,0,16,0,,0,16,,,,0.04202554613124129,,,0,0,,,,,,,
-10.8,20,2.0,0,12,0,,0,12,,,,0.03774064065394991,,,0,0,,,,,,,
