dm_threshold,min_pts,rmin_kpc,tng_gal,sparc_gal,massmatch_pairs,massmatch_mean_abs_dlogM,un_n_tng,un_n_sparc,un_mw_p,un_cliffs_delta,un_median_tng,un_median_sparc,un_median_diff,un_median_ratio,mm_n_tng,mm_n_sparc,mm_mw_p,mm_cliffs_delta,mm_median_tng,mm_median_sparc,mm_median_diff,mm_median_ratio,mm_score,caliper
-10.8,10,0.0,4806,48,23,0.0022701552922784,4806,48,0.3259713571964948,0.0822756276876126,0.0679388070958839,0.065564835523587,0.0023739715722969,1.0362080001168146,23,23,0.0187380178279431,0.4064272211720228,0.0787853186922708,0.040728819324869,0.0380564993674018,1.9343874926461353,0.7020121280144732,0.05
-10.8,10,0.5,4806,46,23,0.0022701552922784,4806,46,0.0569350653818004,0.1628580216758037,0.0679388070958839,0.0504072970626844,0.0175315100331995,1.3477970661945646,23,23,0.0166366599760304,0.4139886578449905,0.0787853186922708,0.040728819324869,0.0380564993674018,1.9343874926461353,0.7364584408936954,0.05
-10.8,10,1.0,4806,45,23,0.0022701552922784,4806,45,0.012227700133237,0.2166736024413926,0.0679388070958839,0.0462338458166073,0.0217049612792766,1.4694604330639556,23,23,0.0101582872467078,0.444234404536862,0.0787853186922708,0.040728819324869,0.0380564993674018,1.9343874926461353,0.8854389130947412,0.05
-10.8,10,2.0,4806,39,22,0.002373144207286,4806,39,0.0117731061084763,0.2338423124939979,0.0677808460245666,0.040728819324869,0.0270520266996976,1.6641986472507349,22,22,0.0050319881864961,0.4958677685950412,0.0792396371914564,0.0357060181402129,0.0435336190512435,2.2192235740286868,1.1396332498247397,0.05
-10.8,15,0.0,1154,30,10,0.0093357024827918,1154,30,0.0004943233785161,0.3721548238012708,0.0947182169594133,0.0493877436905785,0.0453304732688348,1.917848637768044,10,10,0.0091084963980309,0.7,0.1049697384756108,0.0420255461312412,0.0629441923443695,2.4977602467747,1.4283873163552656,0.05
-10.8,15,0.5,1154,28,9,0.0103399872560812,1154,28,4.696087405197276e-05,0.4496781381530081,0.0947182169594133,0.0436039897834034,0.0511142271760098,2.172237389970789,9,9,0.004718198728115,0.8024691358024691,0.1251506975238154,0.0417098581512166,0.0834408393725987,3.000506428722171,1.866722779040194,0.05
-10.8,15,1.0,1154,26,9,0.0103399872560812,1154,26,2.191288113188875e-06,0.5423943474203439,0.0947182169594133,0.0416444364843521,0.0530737804750612,2.2744506819057015,9,9,0.004718198728115,0.8024691358024691,0.1251506975238154,0.0415790148174875,0.0835716827063278,3.0099486020332233,1.866722779040194,0.05
-10.8,15,2.0,661,22,9,0.0103567830088861,661,22,1.9236003206623813e-08,0.7036171090634025,0.0994353015299033,0.0344770519285198,0.0649582496013835,2.884101045996027,9,9,0.0019976900972723,0.8765432098765431,0.1180120728159391,0.0329341683922816,0.0850779044236575,3.583271677313588,2.3662037494881503,0.05
-10.8,20,0.0,0,17,0,,0,17,,,,0.0423412341112659,,,0,0,,,,,,,,0.05
-10.8,20,0.5,0,16,0,,0,16,,,,0.0436039897834034,,,0,0,,,,,,,,0.05
-10.8,20,1.0,0,16,0,,0,16,,,,0.0420255461312412,,,0,0,,,,,,,,0.05
-10.8,20,2.0,0,12,0,,0,12,,,,0.0377406406539499,,,0,0,,,,,,,,0.05
-10.4,10,0.0,11613,75,52,0.0045297527379347,11613,75,0.433480178039169,-0.0523884152817245,0.0469463173657474,0.0513371309710469,-0.0043908136052994,0.9144709974584324,52,52,0.8023586946097561,0.0288461538461537,0.0383782484028884,0.0412444735276591,-0.0028662251247706,0.9305064441458184,0.0027585991405664,0.1
-10.4,10,0.5,11613,71,51,0.0046168169332659,11613,71,0.7774701181413685,0.0194257770856605,0.0469463173657474,0.0479755767089405,-0.0010292593431931,0.978546180915397,51,51,0.6251478305428149,0.0565167243367934,0.0375469567141319,0.0426477401273732,-0.0051007834132412,0.8803973341141386,0.0115303879000982,0.1
-10.4,10,1.0,11613,68,50,0.0047068215469827,11613,68,0.2454796675626783,0.0815566733022323,0.0469082586092853,0.0431086433748838,0.0037996152344014,1.088140450196009,50,50,0.2745385184010334,0.1271999999999999,0.0383782484028884,0.0335547542739829,0.0048234941289054,1.143749946416548,0.0714096620716609,0.1
-10.4,10,2.0,11522,59,46,0.0036611648041605,11522,59,0.0932720317329321,0.1264846321995651,0.0473805689351703,0.0370410791718402,0.01033948976333,1.279135759391978,46,46,0.1085522836958757,0.1947069943289225,0.0440567075325772,0.0322239207860857,0.0118327867464915,1.3672050594042229,0.1877678386768378,0.1
-10.4,15,0.0,5877,42,24,0.0109104944684334,5877,42,0.3591713195438433,0.0819903254819027,0.0622151599985267,0.0536245982611322,0.0085905617373944,1.160198155621821,24,24,0.1768276915300692,0.2291666666666667,0.0698144798922029,0.0474240877490987,0.0223903921431041,1.4721312144487098,0.1724363947879439,0.1
-10.4,15,0.5,5877,38,21,0.0124547109217612,5877,38,0.1374774222436277,0.1395717471319952,0.0622151599985267,0.0490722614736609,0.0131428985248658,1.2678274473231712,21,21,0.1074049795812989,0.2925170068027212,0.0651420162768975,0.044866745455541,0.0202752708213565,1.451899744799798,0.2834418372389677,0.1
-10.4,15,1.0,5850,35,20,0.0130765749035528,5850,35,0.01228071303322,0.2451184371184371,0.0621673265699127,0.0452739423792032,0.0168933841907094,1.373137025470737,20,20,0.0720454304673438,0.3349999999999999,0.0765625615129219,0.0404090405993226,0.0361535209135992,1.8946889205334216,0.382701842403291,0.1
-10.4,15,2.0,2106,29,18,0.0101827621183795,2106,29,2.055456739802969e-06,0.5126567770245931,0.0725263934379109,0.0370410791718402,0.0354853142660706,1.9579989314417072,18,18,0.0011829627696506,0.6358024691358024,0.0961118563581172,0.0338207250614822,0.0622911312966349,2.841803544524747,1.8610122166826857,0.1
-10.4,20,0.0,0,27,0,,0,27,,,,0.0485606307223271,,,0,0,,,,,,,,0.1
-10.4,20,0.5,0,25,0,,0,25,,,,0.0479755767089405,,,0,0,,,,,,,,0.1
-10.4,20,1.0,0,24,0,,0,24,,,,0.0443205473670708,,,0,0,,,,,,,,0.1
-10.4,20,2.0,0,20,0,,0,20,,,,0.0393502061121497,,,0,0,,,,,,,,0.1
-10.5,10,0.0,10060,69,46,0.0073687998686411,10060,69,0.7264281410294986,0.0244042988446133,0.0503359077406424,0.0479755767089405,0.0023603310317018,1.0491985963195731,46,46,0.1633498211080135,0.1691871455576559,0.049597830172074,0.0409434032542655,0.0086544269178085,1.211375367701191,0.1331302072665237,0.1
-10.5,10,0.5,10060,66,46,0.0073687998686411,10060,66,0.1659252284500502,0.0987860714500874,0.0503359077406424,0.0455666115049044,0.0047692962357379,1.1046664669200752,46,46,0.1138077340535339,0.1918714555765595,0.049597830172074,0.0366512417954037,0.0129465883766702,1.3532373732093796,0.1810936950584294,0.1
