dm_threshold,rmin_kpc,min_pts_per_gal,tng_lowres0_only,style,tng_n_points,sparc_n_points,tng_n_gal,sparc_n_gal,n_tng,n_sparc,mw_p,u_stat,cliffs_delta,median_tng,median_sparc,median_diff,median_ratio,median_diff_ci95,score
-10.8,0.0,10,False,pooled_points,59239,860,4806,48,59239,860,7.547430107253633e-78,34907260.0,0.3703755029390208,0.06018053828583625,-0.03411102215226247,0.09429156043809872,-1.7642549090791368,,28.564173946122832
-10.9,0.0,5,False,pooled_points,92412,1047,11048,83,92412,1047,4.8518311094018224e-83,65136187.0,0.34640983832172867,0.04370363281863465,-0.0428831752906742,0.08658680810930885,-1.0191323875249245,,28.51441210678728
-10.4,0.5,15,False,pooled_points,88155,868,5877,38,88155,868,4.15504154476947e-78,52355556.0,0.36844106016659484,0.07349050304049243,-0.016418628044728933,0.08990913108522136,-4.4760440909120875,,28.51049412769571
-10.4,0.0,15,False,pooled_points,88155,946,5877,42,88155,946,3.961640103516914e-79,56518026.0,0.35543561977551796,0.07349050304049243,-0.014404570710258469,0.0878950737507509,-5.10188776317748,,27.866907884207446
-10.5,0.0,15,False,pooled_points,63840,853,4256,38,63840,853,2.063681700524608e-76,37251614.0,0.36814831627721123,0.07392540752855492,-0.017768691863048858,0.09169409939160378,-4.160430497547632,,27.863436852001545
-10.7,1.0,8,False,pooled_points,107960,1010,9582,68,107960,1010,8.71633354270864e-81,73461300.0,0.34742423853352356,0.06026728381084023,-0.019635885119615004,0.07990316893045524,-3.0692420251856656,,27.81466855261557
-10.5,0.5,15,False,pooled_points,63840,809,4256,36,63840,809,5.712700546957552e-75,35486993.0,0.37422484672744893,0.07392540752855492,-0.017242608608292187,0.09116801613684711,-4.287367950404167,,27.783634625398516
-10.8,1.0,3,False,pooled_points,125597,1120,16006,106,125597,1120,2.1429738594741454e-83,93914672.0,0.3352609650594476,0.04922680859886519,-0.028272438933601762,0.07749924753246695,-1.7411588973443386,,27.715683063492857
-10.8,0.5,8,False,pooled_points,83892,966,7717,64,83892,966,3.163370271212444e-79,54786703.0,0.35209587225377703,0.0555925091716718,-0.030824371937792527,0.08641688110946433,-1.8035244735517888,,27.639473147370477
-10.7,2.0,2,False,pooled_points,146866,1115,18275,114,146866,1115,6.118498050847452e-83,109294649.0,0.33485090799037764,0.054448968083465665,-0.02122734830270545,0.07567631638617112,-2.565038614668893,,27.529216628942336
-10.6,2.0,5,False,pooled_points,155022,1114,15715,91,155022,1114,2.7272913241572625e-82,115151809.0,0.3335897051225276,0.05972407108460143,-0.01404417671714242,0.07376824780174385,-4.252586127864783,,27.2090002671272
-10.5,2.0,8,False,pooled_points,148892,1013,12792,65,148892,1013,1.3392044944215887e-79,101345219.0,0.3438551258219351,0.06431980594108833,-0.006699912290921262,0.07101971823200959,-9.600096709959187,,27.120937983805756
-10.9,0.5,2,False,pooled_points,108032,1079,16173,106,108032,1079,3.7335836312111774e-81,77925957.0,0.3370211558501597,0.041310060634750734,-0.038968235290537834,0.08027829592528857,-1.0600957504683701,,27.105895097197337
-10.4,1.0,15,False,pooled_points,87750,792,5850,35,87750,792,5.957137045854447e-73,47685680.0,0.37228927451149674,0.0734887538957274,-0.016001102135007272,0.08948985603073467,-4.592730755398931,,26.88857885675577
-10.9,0.5,3,False,pooled_points,104906,1065,14610,99,104906,1065,2.9685410982849404e-79,74585592.0,0.3351651901380257,0.04153969197803686,-0.03873525223430896,0.08027494421234582,-1.0724001931564533,,26.319670034359802
-10.8,0.5,15,False,pooled_points,17310,607,1154,28,17310,607,7.60794213403369e-65,7383491.0,0.4054195373254643,0.08453390701652541,-0.0193236966750181,0.10385760369154351,-4.374623988266792,,25.99498698538709
-10.7,2.0,3,False,pooled_points,144598,1103,17141,108,144598,1103,1.692786863677243e-79,106017822.0,0.32944714315163215,0.05449322837711179,-0.019810142540981346,0.07430337091809314,-2.750774168554384,,25.951011940860017
-10.9,0.5,5,False,pooled_points,92412,1008,11048,83,92412,1008,6.733605763847838e-77,62381246.0,0.33935326031320057,0.04370363281863465,-0.03943216841758357,0.08313580123621822,-1.1083243598428727,,25.849132491553842
