# SMACS J0723.3-7327 reconstructed radial profiles
# Source: Liu et al. 2023, A&A 670, A96 (eROSITA best-fit)
# Vikhlinin+2006 analytic models for T(r) and n_e(r)
# Cluster redshift z = 0.388
# Columns:
#   r_kpc         - radius [kpc]
#   n_e_cm3       - electron density [cm^-3]
#   T_keV         - temperature [keV]
#   rho_gas_kg_m3 - gas mass density [kg m^-3]
#   M_gas_Msun    - cumulative gas mass [M_sun]
#   M_HSE_Msun    - hydrostatic equilibrium mass [M_sun]
#   M_star_Msun   - stellar mass estimate (0.02 * M_HSE) [M_sun]
#   M_bar_Msun    - baryonic mass (M_gas + M_star) [M_sun]
#   g_bar_m_s2    - baryonic acceleration [m s^-2]
#   g_tot_m_s2    - total (observed) acceleration [m s^-2]
#   g_BEC_m_s2    - BEC/superfluid prediction [m s^-2]
#   log_g_bar     - log10(g_bar)
#   log_g_tot     - log10(g_tot)
#   log_g_BEC     - log10(g_BEC)
r_kpc,n_e_cm3,T_keV,rho_gas_kg_m3,M_gas_Msun,M_HSE_Msun,M_star_Msun,M_bar_Msun,g_bar_m_s2,g_tot_m_s2,g_BEC_m_s2,log_g_bar,log_g_tot,log_g_BEC
2.66821812e+02,4.57625111e-03,1.21036019e+01,8.95557536e-24,1.63596288e+13,1.32971533e+14,2.65943065e+12,1.90190594e+13,3.72450298e-11,2.60398193e-10,8.71963757e-11,-1.04289317e+01,-9.58436203e+00,-1.00595016e+01
2.82645942e+02,4.23645578e-03,1.22405911e+01,8.29060689e-24,1.82692975e+13,1.51273157e+14,3.02546314e+12,2.12947606e+13,3.71628661e-11,2.63996584e-10,8.70758426e-11,-1.04298908e+01,-9.57840169e+00,-1.00601023e+01
2.99408539e+02,3.91303099e-03,1.23579441e+01,7.65767505e-24,2.03683324e+13,1.71271445e+14,3.42542891e+12,2.37937613e+13,3.70046828e-11,2.66365852e-10,8.68435772e-11,-1.04317433e+01,-9.57452145e+00,-1.00612623e+01
3.17165258e+02,3.60605853e-03,1.24553288e+01,7.05693987e-24,2.26702433e+13,1.92933750e+14,3.85867499e+12,2.65289183e+13,3.67680225e-11,2.67398481e-10,8.64955553e-11,-1.04345297e+01,-9.57284106e+00,-1.00630062e+01
3.35975057e+02,3.31553668e-03,1.25329794e+01,6.48839802e-24,2.51888627e+13,2.16234161e+14,4.32468321e+12,2.95135459e+13,3.64526636e-11,2.67074351e-10,8.60308123e-11,-1.04382707e+01,-9.57336782e+00,-1.00653460e+01
3.55900389e+02,3.04137336e-03,1.25915884e+01,5.95186926e-24,2.79382437e+13,2.41163207e+14,4.82326414e+12,3.27615079e+13,3.60602643e-11,2.65445932e-10,8.54509333e-11,-1.04429711e+01,-9.57602393e+00,-1.00682832e+01
3.77007413e+02,2.78338310e-03,1.26321916e+01,5.44699067e-24,3.09326249e+13,2.67737197e+14,5.35474394e+12,3.62873688e+13,3.55940698e-11,2.62621866e-10,8.47596533e-11,-1.04486224e+01,-9.58066912e+00,-1.00718108e+01
3.99366209e+02,2.54128801e-03,1.26560562e+01,4.97321841e-24,3.41862163e+13,2.96005502e+14,5.92011004e+12,4.01063263e+13,3.50584087e-11,2.58749250e-10,8.39621534e-11,-1.04552078e+01,-9.58712090e+00,-1.00759164e+01
4.23051017e+02,2.31472228e-03,1.26645806e+01,4.52983661e-24,3.77130216e+13,3.26057501e+14,6.52115003e+12,4.42341716e+13,3.44583407e-11,2.53998211e-10,8.30645843e-11,-1.04627056e+01,-9.59516934e+00,-1.00805841e+01
4.48140475e+02,2.10323985e-03,1.26592076e+01,4.11597235e-24,4.15267971e+13,3.58030128e+14,7.16060256e+12,4.86873996e+13,3.37994932e-11,2.48549665e-10,8.20738674e-11,-1.04710898e+01,-9.60458682e+00,-1.00857951e+01
4.74717888e+02,1.90632456e-03,1.26413563e+01,3.73061550e-24,4.56407669e+13,3.92114129e+14,7.84228258e+12,5.34830494e+13,3.30877257e-11,2.42584611e-10,8.09972375e-11,-1.04803331e+01,-9.61513675e+00,-1.00915298e+01
5.02871501e+02,1.72340217e-03,1.26123666e+01,3.37264228e-24,5.00673842e+13,4.28561456e+14,8.57122912e+12,5.86386134e+13,3.23289495e-11,2.36276762e-10,7.98420080e-11,-1.04904084e+01,-9.62657899e+00,-1.00977685e+01
5.32694791e+02,1.55385354e-03,1.25734592e+01,3.04084110e-24,5.48179835e+13,4.67693192e+14,9.35386384e+12,6.41718473e+13,3.15289559e-11,2.29787339e-10,7.86153404e-11,-1.05012904e+01,-9.63867390e+00,-1.01044927e+01
5.64286782e+02,1.39702839e-03,1.25257031e+01,2.73393936e-24,5.99021300e+13,5.09906153e+14,1.01981231e+13,7.01002530e+13,3.06931725e-11,2.23260785e-10,7.73238917e-11,-1.05129582e+01,-9.65118755e+00,-1.01116863e+01
5.97752366e+02,1.25225899e-03,1.24699917e+01,2.45063034e-24,6.53274064e+13,5.55684743e+14,1.11136949e+13,7.64411013e+13,2.98267735e-11,2.16824230e-10,7.59739951e-11,-1.05253937e+01,-9.66389219e+00,-1.01193350e+01
6.33202660e+02,1.11887333e-03,1.24070201e+01,2.18959891e-24,7.10986996e+13,6.05610206e+14,1.21122041e+13,8.32109038e+13,2.89345496e-11,2.10586086e-10,7.45714658e-11,-1.05385833e+01,-9.67657033e+00,-1.01274273e+01
