id	catalogue_id	name	ra	dec	freq	f_sum	err_f_sum	rms	w20	w50	kin_pa	rel	qflag	kflag	n_pix	f_min	f_max	ell_maj	ell_min	ell_pa	ell3s_maj	ell3s_min	ell3s_pa	x	err_x	y	err_y	z	err_z	x_min	x_max	y_min	y_max	z_min	z_max	comments	team_release	dist_h	log_m_hi
42	5843	WALLABY J101359-253824	153.496384484489	-25.6400289375069	1.40545899914993E9	25322.2771768858	853.547058941233	0.0019463171928	996833.002918093	915202.67566769	61.3991952030139	1.0	0.0	2	15979.0	-0.007794252131134	0.023785132914782	13.2135638949077	5.95027922533576	60.8124574744059	15.3631563487387	6.09112825904316	62.6004571827029	5853.99222917966	0.164348385969255	3630.00681799527	0.13442975617951	5937.78595410195	0.382032399499925	397.0	432.0	778.0	806.0	951.0	1014.0		Hydra TR2	45.54611400667256	9.41676180477597
43	5843	WALLABY J101359-274538	153.49782002948	-27.7607459960072	1.40835332741777E9	2933.28523123995	306.966441282879	0.001789054703834	381146.801689971	324259.716587943	133.457158412686	0.999701694079479	0.0	0	2446.0	-0.005731015466154	0.009828955866396	5.87436439050393	4.44274324053037	-61.4473056962969	5.48079297439214	4.15600564976353	-48.1620754855271	5848.71079903188	0.279263334750138	2357.74822717183	0.226925957903746	6094.07968056543	0.445226268891617	401.0	417.0	633.0	648.0	1126.0	1149.0		Hydra TR2	36.65096829723403	8.291881590224959
44	5843	WALLABY J101434-274133	153.643283887616	-27.6926416810028	1.4085910849658E9	53483.5350598172	1171.30916279229	0.001716879386819	1002160.80483214	905145.449073806	15.9440133164858	1.0	4.0	1	38671.0	-0.00653539178893	0.023849498480558	19.0483390737411	13.3094122577172	11.057024265408	21.5345131380928	14.4576636302689	15.1179866220434	5771.58144323307	0.130097512835623	2398.84466694488	0.169296209712974	6106.91858815949	0.274772500454246	312.0	353.0	652.0	721.0	1118.0	1185.0	Missing flux due to flagged continuum source. (Tobias Westmeier)	Hydra TR2	35.92189223570882	9.53529490482735
45	5843	WALLABY J101438-272431	153.661028566483	-27.4086845663249	1.40102111357137E9	11053.1818955056	667.237343561938	0.001660279537425	1505833.34005907	1385379.64547163	214.818137863227	1.0	0.0	0	13419.0	-0.005649749189615	0.013141363859177	9.06219500610159	5.48899208039579	28.616859976582	10.5184943576572	5.27152721336065	30.5402901313276	5762.55081241457	0.148247495103701	2569.23997711222	0.195041789275934	5698.14013285961	0.997661744079314	313.0	334.0	839.0	866.0	701.0	789.0		Hydra TR2	59.25645716659282	9.285315070256514
46	5843	WALLABY J101441-285221	153.674367606056	-28.8725705546451	1.41517626759089E9	55430.2098687279	1239.30438850351	0.001758288488675	1549467.3065284	1414687.00349909	56.4699900307001	1.0	4.0	2	41276.0	-0.006871820893139	0.024324199184775	14.0595763818268	7.73802016456689	57.0915608596827	16.6085126146123	8.390702327819	59.0331511558756	5753.45810807897	0.127832851319472	1691.02906583556	0.111127025040793	6462.51844991451	0.36076590878013	292.0	334.0	1073.0	1110.0	1463.0	1561.0		Hydra TR2	15.82599336544407	8.838844870299924
47	5843	WALLABY J101443-263328	153.680744379935	-26.5578176958138	1.34796232635083E9	5927.03132194944	535.687814967583	0.001534226321694	1213775.39757057	343409.114438324	59.7096758517505	0.999971329677671	0.0	1	10129.0	-0.00581814115867	0.006800391711295	12.5782760955078	5.62285971242071	70.191780450834	13.5374825990295	5.39350675404392	68.9835042041071	5753.13511034676	0.323159095619249	3079.76580717819	0.213009851908144	2832.96562294783	1.03051113271592	301.0	329.0	234.0	253.0	655.0	728.0	Close galaxy pair? (Tobias Westmeier)	Hydra TR2	230.16743915925917	10.193281382618714
48	5843	WALLABY J101448-274240	153.702922365147	-27.7112019470825	1.40063658173122E9	8738.78767053548	639.175219352512	0.001712016103838	793693.67229943	717992.173631346	202.633833634804	1.0	0.0	1	11581.0	-0.006114820484072	0.015890946611762	13.3046889505663	7.06629186269031	77.9217449081556	14.7012898511773	6.95412387931368	78.2297400207204	5739.87529836336	0.334568350350746	2387.77894130443	0.202414702523258	5677.37541349163	0.554986810160889	281.0	313.0	655.0	681.0	698.0	749.0	Close galaxy pair? (Tobias Westmeier)	Hydra TR2	60.44851478094832	9.200578845438411
49	5843	WALLABY J101448-285723	153.700597968613	-28.9565182246176	1.40090938255701E9	8841.1155882178	633.449708521292	0.001767296789665	1830140.13654394	1716683.6950099	222.957592712661	0.999999999991403	4.0	2	10674.0	-0.006435734219849	0.011049658060074	10.0718828598144	6.07555537011141	41.516793215416	11.2787203414745	7.31534736573083	56.6827640419627	5739.57064777739	0.203505310633748	1640.70772851966	0.225463625261902	5692.10665808412	1.5290563594864	289.0	315.0	1029.0	1053.0	679.0	783.0		Hydra TR2	59.60275845118645	9.193396176505855
50	5843	WALLABY J101517-264311	153.822556600007	-26.719813282779	1.37542860319548E9	2275.43730329467	295.907756506486	0.001553107896619	629492.365737675	540640.516121907	133.089226028996	0.951098003341069	0.0	0	3016.0	-0.005121970549226	0.007419687695801	5.88674065341924	3.88973871005339	-31.4231839878204	5.26930270777922	3.29888599958288	-43.0864419587264	5676.92994706382	0.243671487433371	2982.69727167652	0.292185108682943	4316.14457256051	0.925714121994443	1865.0	1878.0	1254.0	1271.0	738.0	779.0		Hydra TR2	140.04787715999893	9.345974322705855
51	5843	WALLABY J101526-264259	153.861443906177	-26.7165806579521	1.37508630672626E9	2672.51904595052	317.270233581264	0.001634624886916	1061176.51304158	903739.01996377	9.5407864852006	0.980877222088257	4.0	0	3130.0	-0.006051771342754	0.007542334496975	5.59756530872328	3.75601010213117	10.9139347519683	5.74452868250853	3.84628901283137	15.605605506842	5656.09046386235	0.2110076949184	2984.65466610305	0.263392693493832	4297.66056322257	1.36221884680945	210.0	223.0	137.0	155.0	712.0	775.0		Hydra TR2	141.14883197617584	9.42263177498023
