sparc_name,pgc,method,T,D,eD,fD,Inc,eInc,L36,Reff,Rdisk,MHI,RHI,Vflat,eVflat,Q
NGC3972,37466,known,4,18.0,2.5,4,77.0,1.0,14.353,3.73,2.18,1.214,10.05,132.7,2.9,1
NGC3992,37617,known,4,23.7,2.3,5,56.0,2.0,226.932,9.99,4.96,16.599,32.75,241.0,5.2,1
NGC4010,37744,known,7,18.0,2.5,4,89.0,1.0,17.193,6.63,2.81,2.832,17.59,125.8,4.7,2
NGC4013,37691,known,3,18.0,2.5,4,89.0,1.0,79.094,4.11,3.53,2.967,31.35,172.9,7.1,2
NGC4051,38068,known,4,18.0,2.5,4,49.0,3.0,95.268,6.87,4.65,2.697,15.13,157.0,5.5,2
NGC4068,38195,known,10,4.37,0.22,2,44.0,6.0,0.236,1.11,0.59,0.154,3.18,0.0,0.0,2
NGC4085,38316,known,5,18.0,2.5,4,82.0,2.0,21.724,2.0,1.65,1.349,10.16,131.5,4.8,2
NGC4088,38327,known,4,18.0,2.5,4,69.0,2.0,107.286,6.1,2.58,8.226,22.25,171.7,6.9,1
NGC4100,38370,known,4,18.0,2.5,4,73.0,2.0,59.394,4.93,2.15,3.102,18.06,158.2,5.0,1
NGC4138,38659,known,0,18.0,2.5,4,53.0,3.0,44.111,1.91,1.51,1.483,18.58,147.3,5.9,2
NGC4157,38795,known,3,18.0,2.5,4,82.0,3.0,105.62,4.44,2.32,8.226,24.09,184.7,7.2,1
NGC4183,38971,known,6,18.0,2.5,4,82.0,2.0,10.838,4.47,2.79,3.506,16.07,110.6,5.4,1
NGC4214,39225,known,10,2.87,0.14,2,15.0,10.0,1.141,0.7,0.51,0.486,5.84,80.1,5.8,2
NGC4217,39241,known,3,18.0,2.5,4,86.0,2.0,85.299,5.28,2.94,2.562,16.7,181.3,7.2,1
NGC4389,40571,known,4,18.0,2.5,4,50.0,4.0,21.328,4.05,2.79,0.539,6.81,0.0,0.0,3
NGC4559,41939,known,6,9.0,2.7,1,67.0,1.0,19.377,3.82,2.1,5.811,21.16,121.2,5.1,1
NGC5005,45749,known,4,16.9,1.5,5,68.0,2.0,178.72,3.97,9.45,1.28,10.41,262.2,20.7,1
NGC5033,45948,known,5,15.7,4.7,1,66.0,1.0,110.509,2.94,5.16,11.314,29.53,194.2,3.6,1
NGC5055,46153,known,4,9.9,0.3,2,55.0,6.0,152.922,4.18,3.2,11.722,35.06,179.0,4.9,1
NGC5371,49527,known,4,39.7,9.92,1,53.0,2.0,340.393,9.8,7.44,11.18,30.03,209.5,3.9,1
NGC5585,51210,known,7,7.06,2.12,1,51.0,2.0,2.943,2.27,1.53,1.683,10.92,90.3,2.4,1
NGC5907,54470,known,5,17.3,0.9,2,88.0,2.0,175.425,7.88,5.34,21.025,0.0,215.0,2.9,1
NGC5985,55725,known,3,39.7,9.9,1,60.0,2.0,208.728,10.71,7.01,11.586,39.5,293.6,8.6,1
NGC6015,56024,known,6,17.0,5.1,1,60.0,2.0,32.129,3.92,2.3,5.834,21.43,154.1,7.0,2
NGC6195,58491,known,3,127.8,12.8,1,62.0,5.0,391.076,9.52,13.94,20.907,40.89,251.7,9.3,1
NGC6503,60921,known,6,6.26,0.31,2,74.0,2.0,12.845,1.62,2.16,1.744,14.05,116.3,2.4,1
NGC6674,62277,known,3,51.2,10.2,1,54.0,6.0,214.654,7.75,6.04,32.165,50.02,241.3,4.9,1
NGC6789,63268,known,11,3.52,0.18,2,43.0,7.0,0.1,0.52,0.31,0.017,0.97,0.0,0.0,2
NGC6946,65001,known,6,5.52,1.66,2,38.0,2.0,66.173,4.2,2.44,5.67,21.25,158.9,10.9,1
NGC7331,69327,known,3,14.7,1.5,3,75.0,2.0,250.631,3.99,5.02,11.067,27.01,239.0,5.4,1
NGC7793,73049,known,7,3.61,0.18,2,47.0,9.0,7.05,2.19,1.21,0.861,7.35,0.0,0.0,1
NGC7814,73262,known,2,14.4,0.66,2,90.0,1.0,74.529,2.08,2.54,1.07,12.15,218.9,7.0,1
PGC51017,51017,known,11,13.6,1.4,2,66.0,3.0,0.155,1.28,0.53,0.201,4.29,18.6,1.3,3
UGC00128,1541,known,8,64.5,9.7,1,57.0,10.0,12.02,9.63,5.95,7.431,31.27,129.3,2.8,1
UGC00191,1924,known,9,17.1,5.1,1,45.0,5.0,2.004,2.5,1.58,1.343,10.03,0.0,0.0,1
UGC00634,3574,known,9,30.9,7.7,1,37.0,8.0,2.989,4.26,2.45,3.663,16.78,0.0,0.0,2
UGC00731,3992,known,10,12.5,3.75,1,57.0,3.0,0.323,1.4,2.3,1.807,11.57,73.3,2.3,1
UGC00891,4857,known,9,10.2,3.1,1,60.0,5.0,0.374,1.76,1.43,0.428,6.23,0.0,0.0,2
UGC01230,6355,known,9,53.7,10.7,1,22.0,10.0,7.62,6.45,4.34,6.43,26.29,103.7,6.1,1
UGC01281,6629,known,8,5.27,0.24,2,90.0,1.0,0.353,2.01,1.63,0.294,5.26,55.2,3.5,1
UGC02023,9753,known,10,10.4,3.1,1,19.0,10.0,1.308,2.73,1.55,0.477,6.5,0.0,0.0,2
UGC02259,10906,known,8,10.5,3.1,1,41.0,3.0,1.725,2.4,1.62,0.494,7.28,86.2,2.9,2
UGC02455,12001,known,10,6.92,2.08,1,51.0,5.0,3.649,1.49,0.99,0.803,7.11,0.0,0.0,3
