recno	Galaxy	Type	Dist	PA	eps	Incl	Re	Rmax	Rmax/Re	Vsys	(M/L)dyn	E_(M/L)dyn	e_(M/L)dyn	betaz	E_betaz	e_betaz	CVC	_RA	_DE
220	"UGC 10650"	"Scd"	42	202	0.77	83	23	43	1.9	2999	13.753	0.306	0.281	0.798	0.008	0.007	0	255.06075	23.10634
221	"UGC 10693"	"E7 "	117	109	0.34	49	22	31	1.4	8259	5.434	0.028	0.024	0.774	0.002	0.008	3	256.2207	41.86549
222	"UGC 10695"	"E5 "	116	116	0.42	55	24	27	1.1	8156	7.652	0.028	0.026	0.39	0.005	0.007	3	256.27335	43.04324
223	"UGC 10710"	"Sb "	117	148	0.74	78	20	36	1.8	8239	8.04	0.035	0.028	0.568	0.007	0.011	0	256.71892	43.12223
224	"UGC 10796"	"Scd"	45	236	0.44	57	20	32	1.6	3060	6.207	0.098	0.109	0.293	0.021	0.028	0	259.19852	61.92011
225	"UGC 10811"	"Sb "	122	90	0.65	71	12	29	2.4	8581	8.154	0.046	0.043	-0.313	0.023	0.026	2	259.68223	58.13512
226	"UGC 10905"	"S0a"	110	173	0.47	69	15	25	1.7	7679	6.456	0.017	0.02	0.203	0.005	0.004	2	263.52681	25.34396
227	"UGC 10972"	"Sbc"	66	57	0.62	77	24	34	1.4	4617	5.231	0.028	0.023	0.612	0.006	0.016	1	266.59115	26.54371
228	"UGC 11228"	"S0 "	82	178	0.31	59	12	33	2.8	5745	4.673	0.031	0.016	0.439	0.004	0.009	2	276.19277	41.49273
229	"UGC 11717"	"Sab"	89	213	0.57	65	17	39	2.3	6181	9.592	0.08	0.066	0.607	0.005	0.006	2	319.6474	19.71865
230	"UGC 12054"	"Sc "	31	47	0.78	83	15	33	2.2	2039	7.214	0.106	0.128	0.14	0.036	0.041	0	337.38525	7.72602
231	"UGC 12127"	"E1 "	116	185	0.15	44	36	25	0.7	8169	7.714	0.027	0.033	0.444	0.005	0.005	3	339.62257	35.32968
232	"UGC 12185"	"Sb "	94	153	0.48	60	12	33	2.8	6518	4.967	0.027	0.027	0.584	0.006	0.017	2	341.85443	31.37355
233	"UGC 12274"	"Sa "	108	142	0.58	66	17	27	1.6	7553	6.03	0.033	0.032	0.529	0.007	0.015	2	344.58151	26.06197
234	"UGC 12308"	"Scd"	33	119	0.8	79	27	38	1.4	2204	12.393	0.139	0.119	0.655	0.008	0.01	0	345.32803	14.33948
235	"UGC 12518"	"Sb "	40	25	0.75	80	17	34	2.0	3740	3.869	0.952	0.127	0.905	0.004	0.024	0	350.05325	7.93212
236	"UGC 12519"	"Sc "	62	157	0.7	81	21	34	1.6	4325	5.886	0.049	0.047	-0.188	0.025	0.029	0	350.01145	15.95271
237	"UGC 12723"	"Sc "	77	76	0.83	82	17	27	1.6	5400	9.874	0.081	0.09	0.588	0.016	0.023	0	354.85004	10.85008
238	"UGC 12857"	"Sbc"	36	34	0.74	82	19	36	1.9	2466	4.287	0.051	0.049	0.554	0.014	0.031	0	359.19803	1.3551
