recno	Plateifu	MaNGA	RAJ2000	DEJ2000	logMstar	logSFR	VelST1Re	e_VelST1Re	VelST1_3Re	e_VelST1_3Re	VelST2Re	e_VelST2Re	VsigST1Re	VsigST1_3Re	VsigST2Re	VelG1Re	e_VelG1Re	VelG1_3Re	e_VelG1_3Re	VelG2Re	e_VelG2Re	VsigG1Re	VsigG1_3Re	VsigG2Re	Sample	RmaxST	RmaxG
2558	" 8248-12701"	" 1-481814"	137.360302214	15.8051205897	10.196	0.648	126.659487917437	20.5957825265589	139.497261856168	24.523770823279			0.851997571388883	0.95864861455145		139.097908285356	8.10965249566826	158.26416183105	8.10965249566826	170.691712772643	8.10965249566826	1.7785657277261102	2.16920443456067	2.54516344773468	3	1.3	2.0
706	"  8248-6102"	" 1-481824"	136.911357468	16.592609351	11.085	0.251	197.223918954699	15.0381591422315	184.722477587758	18.8100195175639	145.884572071927	25.7965266342572	0.545017097564861	0.609261243765445	0.653126305567475	191.065128005149	14.5072510519443	103.502974766589	20.0334123031606	90.6030198474463	23.1567759884451	0.9629287944393917	0.99394718509453	0.911599373128235	3	2.0	2.0
720	"  8248-3702"	" 1-481249"	136.366048412	17.4442118398	10.941	-1.014	51.2953480356105	39.4781190054014	40.6168057190266	42.7643081015265			0.139295545096418	0.147314708709724											1	1.3	
146	"  8438-3701"	" 1-474573"	147.970992603	17.6180320685	10.142	-0.423										139.442082265829	11.2737592188593	166.965447288618	11.0001215573931	192.60167518485	12.3936474992766	0.7178968579968863	0.989777852056585	1.52375875150986	2		2.0
686	"  8438-6102"	" 1-474575"	148.017011702	17.8323085591	10.595	-0.068	187.29589845786	14.491432667682	199.582645158064	19.1706200022257			0.701345749633405	0.788865871344676		200.818647309195	7.0	208.219575237261	7.0	203.457829125029	7.0	1.554306755274992	2.00966711823712	2.63773245690681	4	1.3	2.0
668	"  8438-6104"	" 1-505301"	150.267752951	17.0701283297	9.851	0.036										95.592489018685	7.0	109.089910465601	7.0	131.842751655668	12.4806010319926	1.4235304264009272	1.62099467925383	1.91813948573805	2		2.0
1571	"  8438-9102"	" 1-505223"	149.269959506	17.6162234928	11.129	0.8	187.462718330045	19.8818001316482	184.196685966072	24.5476751930631			0.511858062953936	0.574191552422018		238.657316909971	9.02503425384666	237.890925312751	9.02503425384666	213.968628477078	14.0214376793287	1.7568068017487597	1.98204342604133	2.3941198857181	3	1.3	2.0
1480	"  8438-3703"	" 1-474807"	149.760715864	18.1928788404	10.357	-2.731	113.042481166826	21.1688990138879	135.685415415568	23.3286822900925			0.449782725688424	0.5522716629278											1	1.3	
2649	" 8438-12705"	" 1-474825"	150.04493465	18.201636494	10.502	-0.113										167.560957358533	7.65321100731182	180.42108357973	7.65321100731182	117.030942169284	22.5131913053635	2.716151659325488	3.14137597510461	2.31410416204706	2		2.0
1577	"  8248-3703"	" 1-605726"	138.812941522	17.7689647201	10.622	-0.732	104.964945213226	25.6566502163805	110.250543389056	29.4974248263684			0.231811230766783	0.286530204911152		124.501228809364	8.76140488854218	129.846303010985	8.76140488854218			0.9683574638188088	1.52225193849154		3	1.3	1.3
