recno	Galaxy	D	Re	logM*	logSFR	dSFR	Type	Bar	QS	f_QS	NA	f_NA	_RA	_DE
189	"UGC04280"	48.8	9.9	10.19	-0.318	-0.634	"Sb "	"AB"	"SF "	1	"nonA"	S	123.63898	54.79944
190	"UGC04308"	47.8	20.6	10.021	0.191	0.006	"Sc "	"B "	"SF "	1	"nonA"	S	124.3574	21.68557
191	"UGC05108"	110.2	12.9	10.927	0.164	-0.719	"Sb "	"B "	"QnR"	1	"nonA"	S	143.85949	29.81266
192	"UGC05113"	94.7	8.1	10.913	-1.213	-2.085	"S0a"	"AB"	"nR "	1	"nonA"	S	144.23788	66.54865
193	"UGC05598"	76.2	11.9	10.066	0.219	-0.001	"Sb "	"A "	"SF "	1	"nonA"	S	155.55833	20.58932
194	"UGC05771"	101.6	6.9	11.141	-0.318	-1.366	"E6 "	"A "	"nR "	1	"nonA"	S	159.33057	43.58759
195	"UGC05990"	21.3	7.7				"Sc "	"A "	"SF "	1	"nonA"	S	163.15984	34.48279
196	"UGC06036"	89.0	10.2	11.039	-0.324	-1.293	"Sa "	"A "	"MX "	1	"nonA"	S	163.98023	36.86153
197	"UGC06312"	85.2	11.5	10.793	-0.161	-0.941	"Sab"	"A "	"MX "	1	"nonA"	S	169.50085	7.84487
198	"UGC07012"	42.1	10.4	9.266	-0.175	0.22	"Scd"	"AB"	"SF "	1	"nonA"	S	180.51318	29.84809
199	"UGC07145"	91.3	12.4	10.343	0.059	-0.374	"Sbc"	"A "	"SF "	1	"nonA"	S	182.46227	38.21854
200	"UGC08107"	115.0	15.4	11.059	0.834	-0.151	"Sa "	"A "	"SF "	1	"nonA"	S	194.91524	53.34131
201	"UGC08231"	35.2	13.9	9.035	-0.216	0.358	"Sd "	"AB"	"SF "	1	"nonA"	S	197.15526	54.07445
202	"UGC08234"	112.6	4.7	11.04	0.07	-0.9	"S0 "	"A "	"fR "	1	"nonA"	S	197.19378	62.27171
203	"UGC08733"	33.2	19.8	9.072	-0.788	-0.243	"Sdm"	"B "	"SF "	1	"nonA"	S	207.163	43.41242
204	"UGC08778"	45.8	9.8	9.994	-0.594	-0.759	"Sb "	"A "	"MX "	1	"nonA"	S	208.02772	38.06695
205	"UGC08781"	104.3	10.9	10.978	-0.138	-1.06	"Sb "	"B "	"cQ "	1	"nonA"	S	208.09475	21.53935
206	"UGC09476"	46.2	17.2	10.032	0.195	0.001	"Sbc"	"A "	"SF "	1	"nonA"	S	220.38316	44.51261
207	"UGC09537"	122.1	16.5	11.054	0.212	-0.77	"Sb "	"A "	"cQ "	1	"nonA"	S	222.11159	34.99811
208	"UGC09542"	76.4	15.0	10.185	0.227	-0.085	"Sc "	"A "	"SF "	1	"nonA"	S	222.25498	42.46393
209	"UGC09665"	36.8	14.5	9.798	0.069	0.055	"Sb "	"A "	"SF "	1	"nonA"	S	225.38521	48.3199
210	"UGC09873"	78.8	16.3	9.905	-0.076	-0.172	"Sb "	"A "	"SF "	1	"nonA"	S	232.46105	42.62892
