recno	ID	eps	PA	Incl	Reff	Type	M*	rMAG	C90/50	u-r	SFR	l0_5Re	lRe	l2Re	lRe90	(V/sig)e	SimbadName	_RA	_DE
253	893	0.153	41.9	43.4	27	"E2 "	82.04	-23.5	2.86	3.42	0.26	0.11	0.12		0.15	0.12	"NGC7436B"	344.48979	26.15
254	894	0.678	143.1	76.0	17	"Sa "	14.19	-22.08	2.72	3.44	0.32	0.51	0.65		0.65	0.72	"UGC12274"	344.5815	26.06197
255	895	0.794	118.0	81.4	27	"Scd"	0.11	-18.88	2.45	2.01	0.2	0.43	0.55		0.55	0.6	"UGC12308"	345.32804	14.33947
256	896	0.623	25.7	72.8	13	"Sbc"	5.6	-21.86	2.69	2.53	4.35	0.55	0.64	0.77	0.64	0.74	"NGC7466"	345.51433	27.05261
257	898	0.472	160.6	61.8	20	"Sbc"	3.17	-22.07	2.28	2.41	7.0	0.76	0.78		0.8	1.33	"NGC7489"	346.88617	22.99806
258	900	0.095	154.0	33.3	24	"E4 "	27.04	-22.89	2.89	3.13	0.33	0.05	0.08		0.13	0.08	"NGC7550"	348.81708	18.96136
259	901	0.603	16.1	71.1	20	"Sbc"	3.97	-21.75	2.13	2.81	2.6	0.55	0.63		0.63	0.78	"NGC7549"	348.822	19.04164
260	902	0.468	149.6	61.4	9	"Sa "	9.18	-21.54	3.52	3.13	0.06	0.23	0.31	0.46	0.32	0.29	"NGC7563"	348.98312	13.19628
261	903	0.324	83.0	67.0	20	"E4 "	17.66	-22.54	3.07	3.11	0.07	0.05	0.1		0.11	0.09	"NGC7562"	348.98958	6.6875
262	904	0.455	150.2	60.4	16	"Sbc"	5.75	-21.91	2.97	2.63	7.37	0.61	0.66		0.68	0.82	"NGC7591"	349.56779	6.58586
263	905	0.666	37.5	75.3	20	"Sd "	0.28	-19.67	2.38	2.02		0.49	0.49		0.49	0.59	"UGC12494"	349.71917	6.87725
264	906	0.545	25.1	67.1	17	"Sc "	1.89	-20.61		2.71	1.68	0.57	0.68		0.69	0.86	"IC5309"	349.7985	8.10933
265	907	0.732	18.5	78.5	20	"Sbc"	1.24	-20.0	2.26	2.77	0.49	0.67	0.82		0.82	1.31	"NGC7608"	349.81392	8.35017
266	908	0.55	134.9	67.2	11	"S0 "	7.93	-21.32	3.52	2.83	0.01	0.38	0.54		0.56	0.6	"NGC7611"	349.90258	8.06322
267	909	0.701	157.9	76.9	21	"Sc "	1.09	-20.56	2.3	2.67	1.96	0.68	0.77		0.78	1.31	"UGC12519"	350.01146	15.95269
268	910	0.644	23.9	73.8	17	"Sb "	1.8	-19.45	2.79	3.18	0.06	0.67	0.91		0.91	4.78	"UGC12518"	350.05325	7.93211
269	911	0.174	50.2	46.7	35	"E3 "	8.79	-22.69	3.25	3.1	0.1	0.14	0.13		0.16	0.15	"NGC7619"	350.0605	8.20628
270	912	0.3	7.9	47.9	10	"S0 "	9.57	-21.47	3.41	2.83	0.03	0.19	0.27	0.44	0.31	0.25	"NGC7623"	350.125	8.39578
271	913	0.044	10.9	17.8	14	"Sa "	1.33	-20.26	2.61	2.43	1.59	0.43	0.49	0.56	0.8	0.59	"NGC7625"	350.12554	17.22561
272	914	0.615	76.0	72.1	17	"Sb "	3.38	-21.1	2.56	2.72	0.88	0.63	0.77		0.78	1.12	"NGC7631"	350.36112	8.21761
273	915	0.182	-11.0	36.7	12	"Sb "	3.16	-21.58	2.73	2.28	2.68	0.49	0.57	0.63	0.68	0.66	"NGC7653"	351.20567	15.27558
274	916	0.372	133.9	53.9	11	"S0 "	9.04	-21.76	3.22	2.9	0.11	0.34	0.47	0.59	0.5	0.46	"NGC7671"	351.83054	12.46739
275	917	0.477	138.5	62.2	14	"S0 "	10.45	-21.74	3.16	3.07	0.09	0.42	0.49	0.64	0.51	0.51	"NGC7683"	352.26587	11.44511
276	919	0.656	22.2	74.5	9	"S0 "	9.68	-21.69	3.06	2.9	0.43	0.39	0.58	0.75	0.58	0.58	"NGC7684"	352.63346	0.08106
277	920	0.211	171.9	39.9	28	"Sbc"	1.64	-21.34	1.97	2.92		0.65	0.66		0.75	0.98	"NGC7691"	353.10171	15.84778
278	923	0.546	92.1	67.3	15	"E7 "	11.3	-22.02	3.29	2.86	0.11	0.35	0.43	0.5	0.44	0.41	"NGC7711"	353.91417	15.30214
279	924	0.194	31.6	38.0	21	"Sb "	2.45	-21.04	2.73	2.57	0.49	0.48	0.57		0.67	0.64	"NGC7716"	354.13108	0.29731
280	925	0.273	148.8	45.6	21	"Sab"	17.58	-22.05	2.63	3.25	0.84	0.4	0.43		0.5	0.48	"NGC7722"	354.67162	15.95483
281	926	0.82	75.5	82.4	17	"Sc "	0.76	-19.77	2.07	1.93	0.64	0.6	0.79		0.79	1.39	"UGC12723"	354.85004	10.85008
282	927	0.587	34.7	70.2	14	"Sb "	12.0	-22.23	2.96	2.81	15.2	0.39	0.42	0.61	0.43	0.49	"NGC7738"	356.00842	0.51661
283	929	0.61	56.0	71.5	20	"Sbc"	5.43	-22.01	2.0	2.61	3.79	0.69	0.84		0.84	1.4	"UGC12810"	357.77592	1.05656
284	930	0.502	140.4	63.6	16	"Sc "	0.66	-20.63	2.37	1.97	1.05	0.57	0.66		0.68	0.85	"UGC12816"	357.96104	3.08275
285	932	0.535	120.2	66.3	15	"Sa "	28.51	-22.59	3.04	2.92	0.48	0.48	0.55		0.56	0.6	"NGC7783"	358.542	0.38286
286	933	0.715	104.3	77.6	11	"Sab"	4.18	-21.17	2.56	2.71	2.46	0.5	0.58		0.59	0.69	"NGC7787"	359.03254	0.54942
287	934	0.722	35.4	77.8	19	"Sbc"	0.56	-19.49	2.47	2.37	0.4	0.43	0.48		0.49	0.53	"UGC12857"	359.19804	1.35511
288	935	0.611	110.0	71.7	27	"Sc "	1.13	-20.69	2.39	2.78	0.97	0.34	0.5		0.51	0.51	"UGC12864"	359.34996	30.99217
289	937	0.607	44.8	71.1	32	"Ir "	0.19	-19.56	2.44	1.51	0.4	0.18	0.19		0.19	0.22	"NGC7800"	359.90129	14.80558
290	2999	0.154	61.6	33.8	13	"Sbc"	3.48	-21.56	2.36	2.65	1.86	0.44	0.62	0.74	0.74	0.7	"NGC4676B"	191.54687	30.72275
291	4034	0.438	43.4	59.1	15	"S0 "	7.18	-22.09	2.01	2.83	1.9	0.26	0.34		0.36	0.36	"NGC5947"	232.65246	42.71717
