recno	Name	ID	z	PA	eps	Type	M*	rMAG	Reff	Rmax	SimbadName	_RA	_DE
208	"NGC 7738"	927	0.023	34	0.59	"Sb "	12.0	-22.23	14	37	"NGC 7738"	356.00851	0.51676
209	"NGC 7783NED01"	932	0.026	120	0.54	"Sa "	28.51	-22.59	15	31	"NGC 7783"	358.54196	0.38298
210	"NGC 7787"	933	0.022	104	0.71	"Sab"	4.18	-21.17	11	23	"NGC 7787"	359.03253	0.54942
211	"NGC 7800"	937	0.006	44	0.61	"Ir "	0.19	-19.56	32	37	"NGC 7800"	359.90127	14.80557
212	"NGC 7819"	3	0.017	105	0.41	"Sc "	2.45	-21.06	23	37	"NGC 7819"	1.10206	31.47203
213	"NGC 7824"	6	0.02	143	0.37	"Sab"	17.62	-22.26	11	38	"NGC 7824"	1.27603	6.92006
214	"UGC 00005"	2	0.024	44	0.53	"Sbc"	6.78	-22.09	16	33	"UGC 00005"	0.77357	-1.91376
215	"UGC 00029"	4	0.029	173	0.3	"E1 "	10.86	-22.66	17	13	"UGC 00029"	1.14056	28.30166
216	"UGC 00036"	7	0.021	18	0.61	"Sab"	10.05	-21.69	10	20	"UGC 00036"	1.30793	6.77201
217	"UGC 00148"	12	0.014	96	0.75	"Sc "	1.29	-20.75	20	36	"UGC 00148"	3.96364	16.0898
218	"UGC 00312"	14	0.014	7	0.46	"Sd "	0.6	-20.69	20	38	"UGC 00312"	7.84933	8.46703
219	"UGC 00335NED02"	17	0.018	149	0.49	"E4 "	6.07	-21.39	18	24	"UGC 00335 S"	8.48899	7.26821
220	"UGC 00809"	40	0.014	23	0.81	"Scd"	0.49	-19.72	20	36	"UGC 00809"	18.96605	33.81079
221	"UGC 00841"	41	0.019	54	0.77	"Sbc"	1.03	-20.26	17	31	"UGC 00841"	19.7917	33.03056
222	"UGC 00987"	49	0.016	30	0.64	"Sa "	4.11	-21.21	12	34	"UGC 00987"	21.38115	32.13627
223	"UGC 01057"	53	0.021	152	0.69	"Sc "	1.27	-20.81	14	27	"UGC 01057"	22.22264	13.79257
224	"UGC 01271"	59	0.017	99	0.47	"S0a"	6.71	-21.42	9	29	"UGC 01271"	27.25011	13.21125
225	"UGC 02222"	103	0.017	96	0.57	"S0a"	5.53	-21.42	10	23	"UGC 02222"	41.29037	32.98983
226	"UGC 02229"	104	0.024	177	0.52	"S0a"	7.76	-22.03	19	25	"UGC 02229"	41.365	0.91448
227	"UGC 02403"	115	0.014	153	0.59	"Sb "	3.19	-20.8	19	26	"UGC 02403"	43.98868	0.69254
228	"UGC 03151"	135	0.015	93	0.73	"Sa "	5.71	-21.41	20	30	"UGC 03151"	71.33173	11.06792
229	"UGC 03253"	146	0.014	87	0.47	"Sb "	2.69	-21.16	15	33	"UGC 03253"	79.92344	84.05253
230	"UGC 03539"	148	0.011	117	0.69	"Sc "	0.7	-19.69	20	38	"UGC 03539"	102.22522	66.26136
231	"UGC 03899"	150	0.013	44	0.7	"Sd "	0.17	-19.23	9	30	"UGC 03899"	113.15731	35.61466
232	"UGC 03944"	152	0.013	120	0.57	"Sbc"	0.99	-20.42	17	33	"UGC 03944"	114.65215	37.6334
233	"UGC 03969"	153	0.027	134	0.78	"Sb "	4.78	-21.19	15	29	"UGC 03969"	115.30972	27.61412
234	"UGC 03995"	155	0.016	90	0.56	"Sb "	8.36	-22.12	25	39	"UGC 03995"	116.03798	29.24741
235	"UGC 04029"	157	0.015	63	0.79	"Sc "	2.14	-20.75	26	37	"UGC 04029"	117.07914	34.33215
236	"UGC 04132"	165	0.017	27	0.69	"Sbc"	5.82	-21.81	22	35	"UGC 04132"	119.80449	32.91481
237	"UGC 04145"	167	0.016	138	0.53	"Sa "	9.1	-21.43	9	29	"UGC 04145"	119.91727	15.38675
238	"UGC 04197"	174	0.015	130	0.79	"Sab"	5.15	-20.92	18	41	"UGC 04197"	120.85629	10.05062
239	"UGC 04280"	185	0.012	3	0.68	"Sb "	1.37	-20.29	11	36	"UGC 04280"	123.63898	54.79944
240	"UGC 04308"	187	0.012	113	0.14	"Sc "	1.84	-21.29	24	33	"UGC 04308"	124.3574	21.68557
241	"UGC 04722"	231	0.006	31	0.79	"Sdm"	0.05	-18.18	32	38	"UGC 04722"	135.10053	25.61474
242	"UGC 05108"	278	0.027	138	0.6	"Sb "	7.74	-22.12	9	19	"UGC 05108"	143.85951	29.81261
243	"UGC 05113"	281	0.023	41	0.74	"S0a"	12.62	-21.76	8	22	"UGC 05113"	144.23797	66.54867
244	"UGC 05498NED01"	314	0.021	61	0.79	"Sa "	6.38	-21.36	13	31	"UGC 05498"	153.01523	23.08553
245	"UGC 05598"	326	0.019	35	0.74	"Sb "	1.71	-20.75	15	27	"UGC 05598"	155.55833	20.58932
246	"UGC 05771"	341	0.025	60	0.33	"E6 "	20.75	-22.35	12	27	"UGC 05771"	159.3305	43.5876
247	"UGC 05990"	361	0.005	15	0.74	"Sc "	0.16	-18.32	12	33	"UGC 05990"	163.15984	34.48279
248	"UGC 06036"	364	0.022	100	0.73	"Sa "	14.86	-21.93	11	38	"UGC 06036"	163.98007	36.86152
249	"UGC 06312"	386	0.021	49	0.64	"Sab"	10.74	-21.91	13	29	"UGC 06312"	169.50085	7.84487
250	"UGC 07012"	486	0.01	12	0.51	"Scd"	0.28	-19.91	14	30	"UGC 07012"	180.51318	29.84809
251	"UGC 07145"	500	0.022	151	0.63	"Sbc"	2.26	-21.14	16	32	"UGC 07145"	182.46227	38.21854
252	"UGC 08107"	593	0.028	53	0.68	"Sa "	11.64	-22.56	16	33	"UGC 08107"	194.91524	53.34131
253	"UGC 08231"	606	0.008	73	0.66	"Sd "	0.14	-19.28	19	33	"UGC 08231"	197.15526	54.07445
254	"UGC 08234"	607	0.027	133	0.45	"S0 "	13.65	-22.76	8	24	"UGC 08234"	197.19385	62.27161
255	"UGC 08733"	657	0.008	21	0.44	"Sdm"	0.26	-19.75	30	40	"UGC 08733"	207.163	43.41242
