Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Rotation curves (DM + baryons) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2A.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.6   kpc     R0.3   The R_0.3_ value
  25- 33 F9.6   km/s    V0.3   The V_0.3 value
  35- 42 F8.6   ---     R      Radius scaled by R0.3
  44- 52 F9.6   ---     V      Velocity scaled by V0.3
  54- 61 F8.6   ---   e_V      Uncertainty in V
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled total rotation velocity which is corrected 
           for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the total rotation velocity.
--------------------------------------------------------------------------------
IC_1613  Data  2.000000 20.510000 0.430000  0.338859 0.099951 
IC_1613  Data  2.000000 20.510000 0.440000  0.384690 0.099951 
IC_1613  Data  2.000000 20.510000 0.450000  0.439298 0.100439 
IC_1613  Data  2.000000 20.510000 0.465000  0.505607 0.104827 
IC_1613  Data  2.000000 20.510000 0.475000  0.527060 0.109703 
IC_1613  Data  2.000000 20.510000 0.485000  0.557777 0.102389 
IC_1613  Data  2.000000 20.510000 0.500000  0.548025 0.094588 
IC_1613  Data  2.000000 20.510000 0.510000  0.553876 0.080449 
IC_1613  Data  2.000000 20.510000 0.525000  0.538762 0.079473 
IC_1613  Data  2.000000 20.510000 0.535000  0.514383 0.080936 
IC_1613  Data  2.000000 20.510000 0.545000  0.502682 0.086787 
IC_1613  Data  2.000000 20.510000 0.560000  0.496343 0.088737 
IC_1613  Data  2.000000 20.510000 0.570000  0.512921 0.093613 
IC_1613  Data  2.000000 20.510000 0.580000  0.553876 0.097026 
IC_1613  Data  2.000000 20.510000 0.595000  0.555339 0.095076 
IC_1613  Data  2.000000 20.510000 0.605000  0.549976 0.100926 
IC_1613  Data  2.000000 20.510000 0.620000  0.522672 0.094588 
IC_1613  Data  2.000000 20.510000 0.630000  0.542662 0.097026 
IC_1613  Data  2.000000 20.510000 0.640000  0.532423 0.102877 
IC_1613  Data  2.000000 20.510000 0.655000  0.545587 0.103852 
IC_1613  Data  2.000000 20.510000 0.665000  0.561190 0.100439 
IC_1613  Data  2.000000 20.510000 0.675000  0.557777 0.101902 
IC_1613  Data  2.000000 20.510000 0.690000  0.584593 0.104339 
IC_1613  Data  2.000000 20.510000 0.700000  0.573379 0.097513 
IC_1613  Data  2.000000 20.510000 0.715000  0.591419 0.098489 
IC_1613  Data  2.000000 20.510000 0.725000  0.610434 0.097026 
IC_1613  Data  2.000000 20.510000 0.735000  0.636275 0.095076 
IC_1613  Data  2.000000 20.510000 0.750000  0.658216 0.092638 
IC_1613  Data  2.000000 20.510000 0.760000  0.687957 0.091175 
IC_1613  Data  2.000000 20.510000 0.770000  0.717211 0.093613 
IC_1613  Data  2.000000 20.510000 0.785000  0.724037 0.101414 
IC_1613  Data  2.000000 20.510000 0.795000  0.738177 0.099464 
IC_1613  Data  2.000000 20.510000 0.810000  0.759142 0.092638 
IC_1613  Data  2.000000 20.510000 0.820000  0.784495 0.092150 
IC_1613  Data  2.000000 20.510000 0.830000  0.804973 0.094588 
IC_1613  Data  2.000000 20.510000 0.845000  0.827401 0.093613 
IC_1613  Data  2.000000 20.510000 0.855000  0.850805 0.097513 
IC_1613  Data  2.000000 20.510000 0.865000  0.865431 0.101414 
IC_1613  Data  2.000000 20.510000 0.880000  0.877621 0.109215 
IC_1613  Data  2.000000 20.510000 0.890000  0.914676 0.104827 
IC_1613  Data  2.000000 20.510000 0.905000  0.937104 0.104827 
