Title: High-resolution mass models of dwarf galaxies from LITTLE THINGS 
Authors: Oh S.-H., Hunter D.A., Brinks E., Elmegreen B.G., Schruba A., 
         Walter F., Rupen M.P., Young L.M., Simpson C.E., Johnson M., 
         Herrmann K.A., Ficut-Vicas D., Cigan P., Heesen V., Ashley T., 
         Zhang H. 
Figure: Density profiles (DM only) of the first nine LITTE THINGS
================================================================================
Byte-by-byte Description of file: dbf2D.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label  Explanations
--------------------------------------------------------------------------------
   1-  8 A8     ---     Name   Galaxy identifier
  10- 14 A5     ---     Type   Data type (1)
  16- 23 F8.5   [-]     R      Log radius scaled by R0.3
  25- 35 E11.4  [-]     rho    Log density scaled by {rho}0.3
  37- 42 F6.4   [-]   e_rho    Uncertainty in rho
--------------------------------------------------------------------------------
Note (1): 
    Data = The scaled DM (baryon subtracted) rotation velocity which is 
           corrected for the asymmetric drift.
   Model = Pseudo-isothermal halo model fit to the DM rotation velocity.
--------------------------------------------------------------------------------
DDO_70   Model -0.13860 -4.4572E+00 0.0427 
DDO_70   Model -0.11323 -4.4993E+00 0.0443 
DDO_70   Model -0.08636 -4.5439E+00 0.0430 
DDO_70   Model -0.06379 -4.5818E+00 0.0396 
DDO_70   Model -0.04234 -4.6193E+00 0.0348 
DDO_70   Model -0.01941 -4.6626E+00 0.0343 
DDO_70   Model  0.00000 -4.7041E+00 0.0367 
DDO_70   Model  0.01858 -4.7509E+00 0.0429 
DDO_70   Model  0.03858 -4.8138E+00 0.0468 
IC_10    Data  -1.42759 -2.6302E+00 0.6663 
IC_10    Data  -1.12656 -2.8909E+00 0.3529 
IC_10    Data  -0.95047 -3.7708E+00 0.8502 
IC_10    Data  -0.72862 -3.6580E+00 0.2984 
IC_10    Data  -0.64944 -3.6067E+00 0.2307 
IC_10    Data  -0.58248 -3.7625E+00 0.1958 
IC_10    Data  -0.52449 -3.7143E+00 0.1617 
IC_10    Data  -0.47334 -3.7870E+00 0.1871 
IC_10    Data  -0.42758 -3.7677E+00 0.1633 
IC_10    Data  -0.38619 -3.7634E+00 0.1383 
IC_10    Data  -0.34840 -3.8745E+00 0.1519 
IC_10    Data  -0.31364 -3.9456E+00 0.1491 
IC_10    Data  -0.28146 -4.0308E+00 0.1332 
IC_10    Data  -0.25149 -4.0965E+00 0.1076 
IC_10    Data  -0.22347 -4.1513E+00 0.0986 
IC_10    Data  -0.19713 -4.1924E+00 0.1065 
IC_10    Data  -0.17231 -4.2116E+00 0.0980 
IC_10    Data  -0.14883 -4.1860E+00 0.1024 
IC_10    Data  -0.12655 -4.2534E+00 0.1168 
IC_10    Data  -0.10536 -4.2989E+00 0.1252 
IC_10    Data  -0.08516 -4.3253E+00 0.1249 
IC_10    Data  -0.06586 -4.3671E+00 0.1218 
IC_10    Data  -0.04737 -4.3887E+00 0.1098 
IC_10    Data  -0.02964 -4.3638E+00 0.1005 
IC_10    Data  -0.01261 -4.3790E+00 0.0902 
IC_10    Data   0.00378 -4.3549E+00 0.0915 
IC_10    Data   0.01958 -4.2761E+00 0.0813 
IC_10    Data   0.03482 -4.2263E+00 0.0681 
IC_10    Data   0.04954 -4.1842E+00 0.0699 
IC_10    Data   0.06378 -4.1704E+00 0.0758 
IC_10    Data   0.07757 -4.1352E+00 0.0822 
IC_10    Data   0.09093 -4.1432E+00 0.0941 
IC_10    Data   0.10390 -4.1658E+00 0.0958 
IC_10    Data   0.11648 -4.2134E+00 0.0933 
IC_10    Data   0.12872 -4.2758E+00 0.1008 
IC_10    Model -0.93055 -3.8359E+00 1.2964 
IC_10    Model -0.80560 -3.8534E+00 0.8273 
IC_10    Model -0.70870 -3.8735E+00 0.6175 
IC_10    Model -0.62952 -3.8958E+00 0.5165 
IC_10    Model -0.56257 -3.9203E+00 0.3637 
IC_10    Model -0.50458 -3.9464E+00 0.3240 
IC_10    Model -0.45343 -3.9741E+00 0.3460 
IC_10    Model -0.40767 -4.0031E+00 0.3199 
IC_10    Model -0.36628 -4.0330E+00 0.2827 
IC_10    Model -0.32849 -4.0637E+00 0.2788 
IC_10    Model -0.29373 -4.0950E+00 0.2608 
IC_10    Model -0.26154 -4.1265E+00 0.2185 
IC_10    Model -0.23158 -4.1581E+00 0.1700 
IC_10    Model -0.20355 -4.1896E+00 0.1513 
IC_10    Model -0.17722 -4.2208E+00 0.1607 
IC_10    Model -0.15240 -4.2516E+00 0.1479 
IC_10    Model -0.12892 -4.2819E+00 0.1619 
IC_10    Model -0.10664 -4.3115E+00 0.1756 
IC_10    Model -0.08545 -4.3405E+00 0.1844 
IC_10    Model -0.06525 -4.3688E+00 0.1851 
IC_10    Model -0.04594 -4.3964E+00 0.1791 
IC_10    Model -0.02746 -4.4236E+00 0.1631 
IC_10    Model -0.00973 -4.4505E+00 0.1576 
IC_10    Model  0.00730 -4.4774E+00 0.1360 
IC_10    Model  0.02369 -4.5047E+00 0.1438 
IC_1613  Data  -1.15490 -3.4885E+00 0.1042 
IC_1613  Data  -1.07058 -3.5291E+00 0.2935 
IC_1613  Data  -1.02228 -3.3671E+00 0.1406 
IC_1613  Data  -0.97881 -3.5720E+00 0.1356 
IC_1613  Data  -0.92082 -3.9248E+00 0.2605 
IC_1613  Data  -0.88606 -3.9419E+00 0.2473 
IC_1613  Data  -0.83863 -4.1116E+00 0.3250 
IC_1613  Data  -0.80967 -4.2493E+00 0.3288 
IC_1613  Data  -0.78252 -4.3283E+00 0.3899 
IC_1613  Data  -0.74473 -4.5037E+00 0.5988 
IC_1613  Data  -0.72125 -4.7209E+00 1.0180 
IC_1613  Data  -0.69897 -4.9824E+00 1.5761 
IC_1613  Data  -0.56067 -5.4165E+00 2.6455 
IC_1613  Data  -0.34679 -5.2362E+00 0.3075 
IC_1613  Data  -0.33255 -4.8030E+00 0.1777 
IC_1613  Data  -0.32331 -4.7472E+00 0.1658 
IC_1613  Data  -0.31426 -4.6516E+00 0.1339 
IC_1613  Data  -0.30103 -4.7587E+00 0.1357 
IC_1613  Data  -0.29243 -4.7213E+00 0.1102 
IC_1613  Data  -0.27984 -4.7528E+00 0.1174 
IC_1613  Data  -0.27165 -4.9657E+00 0.1826 
IC_1613  Data  -0.24413 -5.1673E+00 0.4041 
IC_1613  Data  -0.23657 -4.6734E+00 0.1531 
IC_1613  Data  -0.22548 -4.7355E+00 0.1809 
IC_1613  Data  -0.21824 -4.7942E+00 0.2266 
IC_1613  Data  -0.20066 -5.2093E+00 0.6087 
IC_1613  Data  -0.13966 -4.8510E+00 0.3304 
IC_1613  Data  -0.13371 -4.6426E+00 0.2035 
IC_1613  Data  -0.12494 -4.5226E+00 0.1529 
IC_1613  Data  -0.11919 -4.4454E+00 0.1272 
IC_1613  Data  -0.11351 -4.3448E+00 0.1048 
IC_1613  Data  -0.10513 -4.3292E+00 0.1097 
IC_1613  Data  -0.09963 -4.3170E+00 0.1046 
IC_1613  Data  -0.09151 -4.2850E+00 0.0903 
IC_1613  Data  -0.08619 -4.2376E+00 0.0804 
IC_1613  Data  -0.08092 -4.1893E+00 0.0738 
IC_1613  Data  -0.07314 -4.1522E+00 0.0664 
IC_1613  Data  -0.06803 -4.1318E+00 0.0654 
IC_1613  Data  -0.06298 -4.1215E+00 0.0657 
IC_1613  Data  -0.05552 -4.1149E+00 0.0681 
IC_1613  Data  -0.05061 -4.0723E+00 0.0587 
IC_1613  Data  -0.04335 -4.0637E+00 0.0559 
IC_1613  Data  -0.03858 -4.0977E+00 0.0585 
IC_1613  Data  -0.03386 -4.0928E+00 0.0549 
IC_1613  Data  -0.02687 -4.1078E+00 0.0553 
IC_1613  Data  -0.02228 -4.1313E+00 0.0559 
IC_1613  Data  -0.01773 -4.1279E+00 0.0521 
IC_1613  Data  -0.01100 -4.1668E+00 0.0555 
IC_1613  Data  -0.00656 -4.1474E+00 0.0517 
IC_1613  Data   0.00000 -4.1630E+00 0.0511 
IC_1613  Data   0.00432 -4.1961E+00 0.0476 
IC_1613  Data   0.00860 -4.2325E+00 0.0516 
IC_1613  Data   0.01494 -4.2576E+00 0.0519 
IC_1613  Data   0.01912 -4.2898E+00 0.0515 
IC_1613  Data   0.02325 -4.3410E+00 0.0546 
IC_1613  Data   0.02938 -4.4159E+00 0.0539 
IC_1613  Data   0.03342 -4.4575E+00 0.0530 
IC_1613  Data   0.03941 -4.5630E+00 0.0602 
IC_1613  Data   0.04336 -4.6768E+00 0.0665 
IC_1613  Data   0.04727 -4.8160E+00 0.0867 
IC_1613  Data   0.05308 -5.0838E+00 0.1858 
IC_1613  Data   0.05690 -5.7486E+00 0.8758 
IC_1613  Model -0.56365 -3.8761E+00 0.0910 
IC_1613  Model -0.47933 -3.9272E+00 0.2510 
IC_1613  Model -0.43102 -3.9623E+00 0.1465 
IC_1613  Model -0.38757 -3.9977E+00 0.1139 
IC_1613  Model -0.32957 -4.0513E+00 0.1471 
IC_1613  Model -0.29480 -4.0870E+00 0.1376 
IC_1613  Model -0.24738 -4.1402E+00 0.1462 
IC_1613  Model -0.21842 -4.1754E+00 0.1225 
IC_1613  Model -0.19127 -4.2102E+00 0.1295 
