galaxy,source,R_m,R_kpc,g_dm,sigma_gdm,rho_dm,sigma_rho_dm,M_dm_enc,cs2,sigma_cs2,xi_eff,X_TF,g_star,log_gbar,env_dense,logMh,sigma_log_gobs,T
UGC11914,SPARC,7.06365341e+19,2.288935,8.814290614282207e-11,1.2568041864255894e-10,9.050308177048522e-21,8.338283003262661e-21,6.589613254729704e+39,1797428293.634959,24704899910.62183,6.0538609486058594e+19,1.1668013966569029,2.969061081670348e-11,-8.951148,field,11.0,0.045214,2.0
UGC11914,SPARC,7.41406871e+19,2.402485,9.251993349427633e-11,1.55976748459896e-10,5.062487906781417e-21,2.5331460752220978e-20,7.62012898556806e+39,2637797315.1710386,119457808270.79353,6.510039736801486e+19,1.1388668901801022,4.051891266130799e-11,-8.97567,field,11.0,0.058897,2.0
UGC11914,SPARC,7.930470692e+19,2.569822,9.388703126301233e-11,6.392704474891053e-11,4.877492343716664e-21,2.796883453239678e-21,8.847434036862513e+39,1385704084.81107,22821660716.073807,7.014732993375467e+19,1.1305449116152149,1.9754195720916152e-11,-9.011437,field,11.0,0.025998,2.0
UGC11914,SPARC,8.096457374e+19,2.623609,9.767860437828889e-11,5.693720719323244e-11,4.6491340692489055e-21,4.254025893658129e-21,9.594079459359493e+39,3095263251.275989,53485581441.0504,7.3047294218520535e+19,1.108385664468214,4.2373414161194364e-11,-9.023043,field,11.0,0.02364,2.0
UGC11914,SPARC,8.981719678e+19,2.910473,1.0257133554809715e-10,6.822007564432512e-11,7.476613551444343e-21,4.857062632981799e-21,1.2398204658262737e+40,66620502.54754521,840775415.272603,8.303895566200917e+19,1.081627244272918,8.022801107796746e-13,-9.082275,field,11.0,0.031858,2.0
UGC11914,SPARC,9.055493593999999e+19,2.934379,9.771584450097698e-11,1.4376735092813859e-11,3.991595981722064e-21,7.752171662867159e-21,1.2006130035314104e+40,71927034.60559109,811118916.824864,8.171541666850383e+19,1.108174437968732,8.802137655049668e-13,-9.087074,field,11.0,0.006816,2.0
UGC11914,SPARC,9.147706359999999e+19,2.96426,9.962057927267168e-11,4.389186764387617e-11,2.713902411195392e-22,1.0670697802170497e-20,1.2490714768799885e+40,199003453.02481633,1388873905.851495,8.334818052751683e+19,1.0975292204465035,2.387616043509393e-12,-9.093026,field,11.0,0.021021,2.0
UGC11914,SPARC,9.664111428e+19,3.131598,9.731701380794079e-11,6.096889401984922e-11,2.5331155736566836e-21,1.3235952896089454e-20,1.3618410758986442e+40,1575637784.7885416,2109778896.1553562,8.702934055318906e+19,1.1104429111574914,1.8104673375360933e-11,-9.125429,field,11.0,0.031281,2.0
UGC11914,SPARC,9.83009811e+19,3.185385,1.0042879052765274e-10,1.035856740507801e-10,2.5301634744881592e-21,3.2840407202760286e-21,1.4540781044821135e+40,5096692481.490944,13330121458.17124,8.992829212449228e+19,1.093104058552752,5.667507256153975e-11,-9.135638,field,11.0,0.054059,2.0
UGC11914,SPARC,9.996084791999999e+19,3.239172,9.758297729383616e-11,6.501259554716724e-11,2.422363627883569e-21,9.54147305752807e-21,1.4609916200406805e+40,3494263653.7408,121414941432.61713,9.014182377486926e+19,1.1089286164173238,3.876406652773948e-11,-9.145655,field,11.0,0.034744,2.0
UGC11914,SPARC,1.0162071474e+20,3.292959,1.0049173284516794e-10,6.731539519576279e-11,2.2795299133491356e-21,1.5900617643049136e-20,1.5549220531244382e+40,1848672092.1846175,3461826078.0576653,9.299439849865734e+19,1.0927616757633762,1.9879391899193894e-11,-9.155596,field,11.0,0.036572,2.0
UGC11914,SPARC,1.0346500092e+20,3.352722,9.772472505307264e-11,2.212522096245322e-11,2.076438604892052e-21,7.999610505124737e-21,1.5674914723313748e+40,1942125143.3914773,53281368081.15632,9.336950825590581e+19,1.108124085182334,2.080042167587012e-11,-9.16628,field,11.0,0.012325,2.0
UGC11914,SPARC,1.1545290738e+20,3.741183,1.0560590837729983e-10,3.892971442404432e-11,4.902388026214445e-21,7.74893799739916e-21,2.1091708579939627e+40,5502997444.51092,21239342751.883224,1.0830745706187435e+20,1.0659737612899873,5.0809035626855714e-11,-9.230508,field,11.0,0.02437,2.0
UGC11914,SPARC,1.171127742e+20,3.79497,1.0709742821056649e-10,8.845205282086176e-11,7.290135038828084e-21,4.7261146661886034e-21,2.200905406518143e+40,29618846540.885254,718800912047.5114,1.1063770711614736e+20,1.0585249572919577,2.6771023471944713e-10,-9.238951,field,11.0,0.056167,2.0
UGC11914,SPARC,1.2412111106000001e+20,4.022071,1.177910868854593e-10,4.805400265034764e-11,5.3535721739864614e-21,3.0119964962889144e-21,2.719052141052477e+40,1264850394.652601,2526380410.161762,1.2297341850099229e+20,1.0093328507330912,1.0285559351530873e-11,-9.274016,field,11.0,0.032113,2.0
UGC11914,SPARC,1.2596539723999999e+20,4.081834,1.1938567070169016e-10,4.225464062468424e-11,5.067401276095663e-21,5.354656007658733e-21,2.8383668271373703e+40,5959924461.551191,29808818871.35698,1.2564254920313556e+20,1.00256957566455,4.743555825117288e-11,-9.283179,field,11.0,0.028657,2.0
UGC11914,SPARC,1.586094447e+20,5.139645,1.9733531259506003e-10,7.977375215861849e-12,5.086632914025601e-21,1.369984268563688e-22,7.438351462312096e+40,44804085121.59758,120104458594.00839,2.0339525899807113e+20,0.7798089566163592,2.2028087253509913e-10,-9.445077,field,11.0,0.006229,2.0
UGC11914,SPARC,1.8129429124e+20,5.874734,2.3471757329499546e-10,1.7061248362708488e-11,4.6754770605601455e-21,2.3382862902063526e-22,1.1559196905726862e+41,36668897080.83826,60523751485.05932,2.5355157290779633e+20,0.7150193909699286,1.4462105937782073e-10,-9.555255,field,11.0,0.014439,2.0
UGC1230,deBlok2002,2.28364e+19,0.74,1.4508515292041023e-11,1.856578260359978e-11,2.0369922203323893e-20,5.102373710910071e-21,1.1336840914952604e+38,413241609.9850181,529106957.4356592,7.940511962209662e+18,2.8759354697382955,5.204218719796783e-11,-11.572214,field,11.0,0.469152,
UGC1230,deBlok2002,6.88178e+19,2.23,4.021929958262203e-11,1.7219860214837733e-11,2.5536421620185044e-21,5.948990190833429e-22,2.853973066909365e+39,1320496031.4420757,566837120.641728,3.984074155157538e+19,1.727322266602711,3.3144363784811646e-11,-11.363007,field,11.0,0.167851,
UGC1230,deBlok2002,1.144906e+20,3.71,6.430614014029986e-11,1.6543605332942312e-11,1.2552164492346602e-21,2.510047113573279e-22,1.2630074229235703e+40,3322765029.201616,854864095.4486133,8.38118504975674e+19,1.3660430991596233,3.9645527565317955e-11,-11.386151,field,11.0,0.105016,
UGC1230,deBlok2002,1.60472e+20,5.2,6.441265520452434e-11,1.400376291088524e-11,5.86338572098914e-22,9.664418460405237e-23,2.4853269565281564e+40,5212505059.552751,1333363649.7514036,1.1756938415204344e+20,1.3649131630431433,4.4335564884917817e-11,-11.366767,field,11.0,0.088513,
UGC1230,deBlok2002,2.061448e+20,6.68,5.043779973573646e-11,1.1004956326308932e-11,3.4475603626630176e-22,1.156471823246608e-22,3.2115500827069104e+40,5091524050.452371,1549083183.9259462,1.3364718868469175e+20,1.5424551913796618,3.809675385289691e-11,-11.390093,field,11.0,0.087678,
UGC1230,deBlok2002,2.521262e+20,8.17,3.8009652364962845e-11,8.743297829695337e-12,2.4987482114882225e-22,1.1434412709184207e-22,3.6202924265504817e+40,6338887934.2418165,1740039694.3531883,1.4189735625561032e+20,1.7768209828083492,4.467234698032783e-11,-11.390128,field,11.0,0.090232,
UGC1230,deBlok2002,3.8976180000000003e+20,12.63,2.6420599503339594e-11,8.821236793108257e-12,1.8618636254933707e-22,5.2100077871828005e-23,6.013883490916043e+40,1627413515.8812933,580861688.3345385,1.8288579865217725e+20,2.1311758642412224,8.89852316513871e-12,-11.39093,field,11.0,0.125666,
UGC1230,deBlok2002,4.354346e+20,14.11,2.511331557288344e-11,7.630775313491403e-12,1.647012519645772e-22,4.3432345926357e-23,7.134502962923779e+40,1300693154.926197,424141092.4590695,1.991977091036133e+20,2.1859418060551454,6.529659205315647e-12,-11.391609,field,11.0,0.113602,
UGC1230,deBlok2002,7.563786000000001e+20,24.51,1.1281918472716702e-11,2.88223110774053e-12,1.3991933393425122e-23,2.1738930891145337e-24,9.671085452296157e+40,3359722789.0912395,863128034.7289944,2.3192100722125295e+20,3.261363035037244,1.448649619689716e-11,-11.489446,field,11.0,0.086196,
UGC1230,deBlok2002,9.39687e+20,30.45,9.00732094863281e-12,2.19907616355997e-12,1.484972996646653e-23,2.6729097341302807e-24,1.1917245137415591e+41,3980934025.8413024,972172370.0460932,2.5744852891259588e+20,3.649999492982246,1.5463028833980384e-11,-11.645546,field,11.0,0.084749,
UGC1230,deBlok2002,1.0696075999999999e+21,34.66,8.262664873497693e-12,1.931960626097758e-12,1.353781933168759e-23,2.505175381692861e-24,1.4163901451579151e+41,5091145514.349021,1215818848.505801,2.8066866332599258e+20,3.8109263332959484,1.813934428595518e-11,-11.785785,field,11.0,0.084749,
UGC12632,SPARC,1.246907558e+19,0.404053,3.5483256118344616e-11,2.918785573508581e-11,1.466132266671767e-20,1.9822075022442774e-21,8.266197518655632e+37,496759865.2239793,409172382.6165239,6.780400814080959e+18,1.8389879775403963,7.326408553788601e-11,-10.954626,field,10.0,0.27211,9.0
UGC12632,SPARC,2.493815116e+19,0.808106,3.420450457976564e-11,1.3528490467545751e-11,4.5835124139506815e-21,5.295133718171614e-22,3.1873195621179594e+38,553960848.428787,219913913.28666383,1.3314206309294615e+19,1.8730482749535537,4.160674962968452e-11,-10.955843,field,10.0,0.129771,9.0
UGC12632,SPARC,3.758288186e+19,1.217851,4.213999545459306e-11,8.058924948645126e-12,2.991838497659624e-21,2.4496599798529455e-22,8.918430652516614e+38,1094289384.636299,209463829.02618656,2.2271357946717102e+19,1.6874984430637237,4.913438090548053e-11,-10.948145,field,10.0,0.065532,9.0
UGC12632,SPARC,5.005195744e+19,1.621904,4.823275640161321e-11,6.30440084882257e-12,2.1330968997732736e-21,1.9655683027975132e-22,1.8104978463692106e+39,1776296329.6524289,258325009.97090572,3.1732295098563903e+19,1.5773191722985451,5.5977556118618664e-11,-10.962623,field,10.0,0.046303,9.0
UGC12632,SPARC,6.2345408759999996e+19,2.020266,4.345844954883341e-11,5.3220264439504696e-12,1.447711263026936e-21,1.912531422624466e-22,2.5310281718497107e+39,1530654930.0168147,235944488.4202324,3.75189752202413e+19,1.6617034019192762,4.079682136923169e-11,-11.027167,field,10.0,0.043732,9.0
