name,ra,dec,Vsys,D_use,dist_source,sigma_D_dex,Inc,n_pts,n_gas_dom,rms_all,rms_gas,env_class,env_dense,logMh,team_release
WALLABY J132017-144841,200.072660,-14.811565,2911.4,41.58,CF4,0.0622,73.5,6,6,0.1441,0.1441,field,field,11.0,NGC5044 TR3
WALLABY J132202-201335,200.511906,-20.226317,1887.4,27.36,CF4,0.0746,51.2,4,4,0.0186,0.0186,field,field,11.0,NGC5044 TR3
WALLABY J104311-261500,160.797598,-26.250004,4518.8,73.28,CF4,0.0501,68.0,6,6,0.2071,0.2071,cluster,dense,14.5,Hydra TR1
WALLABY J104339-285157,160.913222,-28.866080,3456.0,58.70,CF4,0.0543,83.1,6,6,0.2182,0.2182,field,field,11.0,Hydra TR1
WALLABY J104309-300301,160.790627,-30.050318,3199.0,50.71,CF4,0.0574,40.2,5,5,0.1613,0.1613,field,field,11.0,Hydra TR1
WALLABY J104059-270456,160.247075,-27.082322,4742.0,75.44,CF4,0.0496,59.1,5,5,0.0966,0.0966,cluster,dense,14.5,Hydra TR1
WALLABY J104016-274630,160.069776,-27.775227,3970.1,66.99,CF4,0.0518,47.9,7,7,0.2610,0.2610,cluster,dense,14.5,Hydra TR1
WALLABY J104000-292445,160.001253,-29.412685,3766.5,63.40,CF4,0.0528,71.1,4,4,0.0726,0.0726,field,field,11.0,Hydra TR1
WALLABY J103918-265030,159.826016,-26.841685,3076.0,47.29,CF4,0.0590,72.0,4,4,0.1727,0.1727,cluster,dense,14.5,Hydra TR1
WALLABY J104004-301606,160.017632,-30.268357,3396.8,55.95,CF4,0.0553,64.7,4,4,0.2606,0.2606,field,field,11.0,Hydra TR1
WALLABY J103915-301757,159.815676,-30.299172,3755.1,62.94,CF4,0.0529,81.3,8,8,0.2807,0.2807,field,field,11.0,Hydra TR1
WALLABY J103818-285307,159.575174,-28.885287,4388.7,72.18,CF4,0.0504,72.7,4,4,0.1294,0.1294,cluster,dense,14.5,Hydra TR1
WALLABY J103651-260227,159.213094,-26.041061,2362.4,36.52,CF4,0.0657,76.2,4,4,0.0468,0.0468,cluster,dense,14.5,Hydra TR1
WALLABY J103702-273359,159.259274,-27.566538,2848.0,44.69,CF4,0.0604,69.5,5,5,0.0769,0.0769,cluster,dense,14.5,Hydra TR1
