sparc_galaxy,analog_rank,eagle_galaxy_id,match_distance,eagle_log_Mstar,eagle_log_Rhalf,eagle_Vflat
NGC5055,1,15959817,0.0392,10.868,0.742,235.9
NGC5055,2,16902853,0.0483,10.922,0.741,263.2
NGC5055,3,17636732,0.0526,10.826,0.732,252.1
NGC5055,4,17548740,0.0548,10.925,0.743,259.7
NGC5055,5,17727431,0.0571,10.866,0.749,232.4
NGC5371,1,20504298,0.0133,11.218,1.094,355.6
NGC5371,2,20695119,0.0317,11.265,1.094,348.8
NGC5371,3,19488332,0.0337,11.210,1.087,395.6
NGC5371,4,19380932,0.0501,11.285,1.100,391.0
NGC5371,5,14371824,0.0524,11.175,1.092,344.2
NGC5585,1,11893160,0.0082,9.176,0.411,96.2
NGC5585,2,11028697,0.0242,9.194,0.410,101.5
NGC5585,3,12814244,0.0280,9.149,0.417,98.7
NGC5585,4,12321176,0.0291,9.186,0.401,106.0
NGC5585,5,11616294,0.0331,9.169,0.398,94.6
NGC5985,1,15583094,0.0204,11.040,1.073,275.9
NGC5985,2,16179867,0.0306,10.996,1.078,266.7
NGC5985,3,15614724,0.0413,10.989,1.081,289.4
NGC5985,4,17167734,0.0638,10.957,1.081,256.9
NGC5985,5,14851689,0.0652,11.074,1.085,320.6
NGC6015,1,9607626,0.0066,10.200,0.585,163.8
NGC6015,2,9824020,0.0079,10.201,0.589,169.0
NGC6015,3,10172252,0.0162,10.222,0.589,163.9
NGC6015,4,9895736,0.0204,10.212,0.580,163.8
NGC6015,5,9000211,0.0251,10.233,0.586,156.3
NGC6195,1,19076566,0.0730,11.346,1.351,438.0
NGC6195,2,19835441,0.0800,11.331,1.393,388.1
NGC6195,3,19784479,0.1238,11.319,1.327,427.0
NGC6195,4,20629167,0.1592,11.180,1.327,345.7
NGC6195,5,19987957,0.1593,11.306,1.315,383.7
NGC6503,1,12217375,0.0039,9.808,0.558,121.4
NGC6503,2,11294256,0.0062,9.802,0.558,134.3
NGC6503,3,9242748,0.0083,9.803,0.557,123.0
NGC6503,4,10973338,0.0108,9.797,0.558,129.0
