galaxy,galaxy_key,source,n_points,sigma_res,mean_res,median_res,mean_log_gbar,env_dense,logMh
193-001,193-001,Catinella2005,19,0.167445,0.567072,0.508397,-11.100735,field,11.0
201-006,201-006,Catinella2005,6,0.098937,0.309736,0.361337,-10.67787,field,11.0
201117,201117,Catinella2005,6,0.100033,0.218031,0.261941,-11.145909,field,11.0
201196,201196,Catinella2005,5,0.12119,0.245185,0.294366,-11.295808,field,11.0
2085/388-059,2085/388-059,Vogt2004,1,0.0,-0.198017,-0.198017,-10.417948,dense,14.2
210015/A148,210015/A148,Vogt2004,1,0.0,0.085196,0.085196,-11.312197,field,11.0
210529/097-033,210529/097-033,Vogt2004,1,0.0,-0.128433,-0.128433,-10.019367,dense,14.8
210559/F1287,210559/F1287,Vogt2004,1,0.0,-0.243906,-0.243906,-10.107381,dense,14.8
210622/097-062,210622/097-062,Vogt2004,1,0.0,-0.276189,-0.276189,-10.606078,dense,14.8
210629/097-068,210629/097-068,Vogt2004,1,0.0,0.158609,0.158609,-10.623702,dense,14.8
210634/097-072,210634/097-072,Vogt2004,1,0.0,-0.217337,-0.217337,-10.160466,dense,14.8
210643,210643,Vogt2004,1,0.0,-0.125496,-0.125496,-10.297195,dense,14.8
210666/127-040,210666/127-040,Vogt2004,1,0.0,-0.130513,-0.130513,-10.212611,dense,14.8
210681/097-093,210681/097-093,Vogt2004,1,0.0,-0.359941,-0.359941,-10.533422,dense,14.8
210690/097-102,210690/097-102,Vogt2004,1,0.0,0.242346,0.242346,-10.955293,dense,14.8
210727/097-125,210727/097-125,Vogt2004,1,0.0,0.127987,0.127987,-10.670124,dense,14.8
210738/127-046,210738/127-046,Vogt2004,1,0.0,-0.240269,-0.240269,-10.311878,dense,14.8
210789/097-151,210789/097-151,Vogt2004,1,0.0,-0.0881,-0.0881,-10.197596,dense,14.8
210791/097-152,210791/097-152,Vogt2004,1,0.0,-0.090756,-0.090756,-10.074332,dense,14.8
210795/097-155,210795/097-155,Vogt2004,1,0.0,-0.258988,-0.258988,-10.202338,dense,14.8
210816/127-062,210816/127-062,Vogt2004,1,0.0,-0.155053,-0.155053,-9.964041,dense,14.8
211029/F1319,211029/F1319,Vogt2004,1,0.0,-0.21151,-0.21151,-10.057984,dense,14.8
211853,211853,Catinella2005,5,0.095697,0.360659,0.407615,-11.870136,field,11.0
220864/N4585,220864/N4585,Vogt2004,1,0.0,-0.239599,-0.239599,-10.094086,dense,15.0
2211/F338,2211/F338,Vogt2004,1,0.0,-0.109786,-0.109786,-10.260459,dense,14.2
221147/160-031,221147/160-031,Vogt2004,1,0.0,-0.211258,-0.211258,-10.004089,dense,15.0
221149/160-034,221149/160-034,Vogt2004,1,0.0,-0.214938,-0.214938,-10.055932,dense,15.0
221174/I837,221174/I837,Vogt2004,1,0.0,-0.188081,-0.188081,-10.161062,dense,15.0
221206/160-058,221206/160-058,Vogt2004,1,0.0,-0.271642,-0.271642,-10.250782,dense,15.0
221402,221402,Vogt2004,1,0.0,-0.28328,-0.28328,-10.2371,dense,15.0
221406/I4040,221406/I4040,Vogt2004,1,0.0,-0.280486,-0.280486,-10.216818,dense,15.0
221409,221409,Vogt2004,1,0.0,0.180654,0.180654,-11.097704,dense,15.0
221460/160-107,221460/160-107,Vogt2004,1,0.0,-0.226596,-0.226596,-10.283379,dense,15.0
221659,221659,Catinella2005,5,0.142327,0.270758,0.336611,-10.639912,field,11.0
221829,221829,Catinella2005,5,0.152602,0.170633,0.221676,-11.362078,field,11.0
221928,221928,Catinella2005,8,0.114738,0.532628,0.510277,-10.511157,field,11.0
221950,221950,Catinella2005,5,0.126867,0.316348,0.367384,-10.918505,field,11.0
222003,222003,Catinella2005,5,0.118525,0.25534,0.317492,-10.361581,field,11.0
230082/160-139,230082/160-139,Vogt2004,1,0.0,-0.276135,-0.276135,-10.575046,dense,15.0
231135,231135,Catinella2005,5,0.101292,-0.215766,-0.195493,-9.726544,field,11.0
231174,231174,Catinella2005,5,0.076215,0.550096,0.547817,-10.291606,field,11.0
231195,231195,Catinella2005,5,0.096842,0.348763,0.394909,-11.118119,field,11.0
2336/415-016,2336/415-016,Vogt2004,1,0.0,-0.357037,-0.357037,-10.50555,dense,14.2
2375/415-022,2375/415-022,Vogt2004,1,0.0,-0.147262,-0.147262,-9.870076,dense,14.2
2391/I1865,2391/I1865,Vogt2004,1,0.0,-0.186169,-0.186169,-10.122614,dense,14.2
2405/415-030,2405/415-030,Vogt2004,1,0.0,-0.175854,-0.175854,-9.913387,dense,14.2
