PlateIFU	MaNGAId	RAJ2000	DEJ2000	NSAz	NSAzdist	NSAsth50	NSAeth50r	NSAsMass	NSAeMass	NSAsn	z	zmin	zmax	MnGtarg1
"8150-9101  "	"1-389743"	148.636738	31.606731	0.021453	0.021351	3.07443	3.03861	1.11140004E10	6.9884001E9	6.0	0.021453	0.020341	0.027236	1040
"8150-3704  "	"1-389730"	148.285932	31.438304	0.021449	0.021331	3.5871	4.30784	1.99950003E9	1.61289997E9	5.19046	0.021449	0.014613	0.023609	1168
"8150-9102  "	"1-390389"	149.713874	32.073062	0.027038	0.026941	7.42824	8.20446	2.44599992E10	1.96839997E10	1.84752	0.027038	0.025448	0.034197	1040
"8150-1902  "	"1-390521"	149.781296	32.519882	0.021525	0.021437	3.07192	3.72023	4.4053002E9	4.1374999E9	3.45888	0.021525	0.018569	0.02593	1552
"8150-12704 "	"1-390514"	149.413381	32.6779	0.049918	0.049834	4.23242	5.63098	2.82830008E10	1.79330007E10	6.0	0.049918	0.024638	0.032537	2080
"8944-12705 "	"1-390054"	149.970906	33.103014	0.048969	0.048891	4.36996	5.82032	1.34960005E10	9.3508997E9	1.72135	0.048969	0.023089	0.030087	2336
"8150-12703 "	"1-390066"	149.482851	33.180344	0.037007	0.036931	6.8057	8.6438	2.90919987E9	2.5177001E9	1.68408	0.037007	0.017557	0.025282	2080
"8944-12703 "	"1-606955"	150.88346	33.756213	0.020697	0.02074	9.53912	10.8792	6.4569999E9	5.1183002E9	0.917047	0.020697	0.020569	0.027425	1040
"8944-3704  "	"1-390056"	149.990347	33.415113	0.049963	0.04989	4.71987	4.99123	1.36909998E10	1.00269998E10	1.19201	0.049963	0.024029	0.031472	2080
"8943-12705 "	"1-609414"	157.93471	35.04137	0.119496	0.11944	20.7738	22.7172	2.15340007E11	1.38380001E11	2.23366	0.119496	0.106847	0.145272	1024
"8943-6104  "	"1-558115"	157.915763	35.09289	0.119252	0.119197	6.17767	6.04946	2.4081E11	1.85919996E11	6.0	0.119252	0.115598	0.15	1024
"8943-9102  "	"1-394362"	157.921317	36.02336	0.085256	0.085218	3.92898	4.72195	7.6966003E10	6.1603E10	2.36099	0.085256	0.032216	0.05572	2080
"9516-12705 "	"3-135627933"	160.32781	38.463825					-9999.0	-9999.0					0
"8943-12704 "	"1-392670"	156.43286	36.023589	0.053765	0.053728	15.0777	12.5125	6.3696998E9	2.06549996E10	6.0	0.053765	0.025187	0.03363	2336
"8943-6101  "	"1-558143"	156.902255	35.880741	0.088895	0.088855	5.24531	5.35711	1.47820003E11	1.04679997E11	5.31475	0.088895	0.046553	0.086711	4096
"8943-6102  "	"1-392649"	156.746393	35.955312	0.053675	0.053637	3.5871	4.03744	2.38009999E10	1.75619994E10	4.86054	0.053675	0.02469	0.032635	2048
"8568-6101  "	"1-547744"	155.251009	36.151845	0.053845	0.053812	3.12716	4.06406	1.99329997E10	1.77859994E10	2.08264	0.053845	0.024768	0.032783	2336
"8568-3702  "	"1-392862"	155.356237	36.370993	0.053145	0.053115	2.20424	2.49351	2.30259999E10	1.89900001E10	4.71765	0.053145	0.02463	0.032523	2080
"8943-12701 "	"1-392720"	156.025059	35.818795	0.059047	0.059006	5.10871	5.93686	4.2797998E10	2.39299994E10	6.0	0.059047	0.026466	0.036725	2080
"8943-12702 "	"1-392691"	156.169799	36.007526	0.043481	0.043444	6.35402	6.81181	5.9463997E9	4.9321999E9	1.31397	0.043481	0.021343	0.028121	2080
"8568-9101  "	"1-392067"	155.580761	36.583038	0.025916	0.025891	6.8057	7.80782	5.6306999E10	3.36340009E10	5.6685	0.025916	0.02744	0.039607	4096
